display,A,B,randomize_trials
Instructions1,,,
Trial,baby_3ms.wav,bell_3ms.wav,1
Trial,baby_3ms.wav,brush_teeth_3ms.wav,1
Trial,baby_3ms.wav,car_engine_3ms.wav,1
Trial,baby_3ms.wav,car_horn_3ms.wav,1
Trial,baby_3ms.wav,cough_3ms.wav,1
Trial,baby_3ms.wav,drink_water_3ms.wav,1
Trial,baby_3ms.wav,foot_step_3ms.wav,1
Trial,baby_3ms.wav,frog_3ms.wav,1
Trial,baby_3ms.wav,laugh_3ms.wav,1
Trial,baby_3ms.wav,motor_3ms.wav,1
Trial,baby_3ms.wav,phone_ring_3ms.wav,1
Trial,baby_3ms.wav,sheep_3ms.wav,1
Trial,baby_3ms.wav,sizzling_pan_3ms.wav,1
Trial,baby_3ms.wav,snore_3ms.wav,1
Trial,bell_3ms.wav,brush_teeth_3ms.wav,1
Trial,bell_3ms.wav,car_engine_3ms.wav,1
Trial,bell_3ms.wav,car_horn_3ms.wav,1
Trial,bell_3ms.wav,cough_3ms.wav,1
Trial,bell_3ms.wav,drink_water_3ms.wav,1
Trial,bell_3ms.wav,foot_step_3ms.wav,1
Trial,bell_3ms.wav,frog_3ms.wav,1
Trial,bell_3ms.wav,laugh_3ms.wav,1
Trial,bell_3ms.wav,motor_3ms.wav,1
Trial,bell_3ms.wav,phone_ring_3ms.wav,1
Trial,bell_3ms.wav,sheep_3ms.wav,1
Trial,bell_3ms.wav,sizzling_pan_3ms.wav,1
Trial,bell_3ms.wav,snore_3ms.wav,1
Trial,brush_teeth_3ms.wav,car_engine_3ms.wav,1
Trial,brush_teeth_3ms.wav,car_horn_3ms.wav,1
Trial,brush_teeth_3ms.wav,cough_3ms.wav,1
Trial,brush_teeth_3ms.wav,drink_water_3ms.wav,1
Trial,brush_teeth_3ms.wav,foot_step_3ms.wav,1
Trial,brush_teeth_3ms.wav,frog_3ms.wav,1
Trial,brush_teeth_3ms.wav,laugh_3ms.wav,1
Trial,brush_teeth_3ms.wav,motor_3ms.wav,1
Trial,brush_teeth_3ms.wav,phone_ring_3ms.wav,1
Trial,brush_teeth_3ms.wav,sheep_3ms.wav,1
Trial,brush_teeth_3ms.wav,sizzling_pan_3ms.wav,1
Trial,brush_teeth_3ms.wav,snore_3ms.wav,1
Trial,car_engine_3ms.wav,car_horn_3ms.wav,1
Trial,car_engine_3ms.wav,cough_3ms.wav,1
Trial,car_engine_3ms.wav,drink_water_3ms.wav,1
Trial,car_engine_3ms.wav,foot_step_3ms.wav,1
Trial,car_engine_3ms.wav,frog_3ms.wav,1
Trial,car_engine_3ms.wav,laugh_3ms.wav,1
Trial,car_engine_3ms.wav,motor_3ms.wav,1
Trial,car_engine_3ms.wav,phone_ring_3ms.wav,1
Trial,car_engine_3ms.wav,sheep_3ms.wav,1
Trial,car_engine_3ms.wav,sizzling_pan_3ms.wav,1
Trial,car_engine_3ms.wav,snore_3ms.wav,1
Trial,car_horn_3ms.wav,cough_3ms.wav,1
Trial,car_horn_3ms.wav,drink_water_3ms.wav,1
Trial,car_horn_3ms.wav,foot_step_3ms.wav,1
Trial,car_horn_3ms.wav,frog_3ms.wav,1
Trial,car_horn_3ms.wav,laugh_3ms.wav,1
Trial,car_horn_3ms.wav,motor_3ms.wav,1
Trial,car_horn_3ms.wav,phone_ring_3ms.wav,1
Trial,car_horn_3ms.wav,sheep_3ms.wav,1
Trial,car_horn_3ms.wav,sizzling_pan_3ms.wav,1
Trial,car_horn_3ms.wav,snore_3ms.wav,1
Trial,cough_3ms.wav,drink_water_3ms.wav,1
Trial,cough_3ms.wav,foot_step_3ms.wav,1
