display,A,B,randomize_trials
Instructions1,,,
Trial,17_300ms.wav,18_300ms.wav,1
Trial,17_300ms.wav,24_300ms.wav,1
Trial,17_300ms.wav,25_300ms.wav,1
Trial,17_300ms.wav,26_300ms.wav,1
Trial,17_300ms.wav,2_300ms.wav,1
Trial,17_300ms.wav,5_300ms.wav,1
Trial,17_300ms.wav,8_300ms.wav,1
Trial,17_300ms.wav,11_300ms.wav,1
Trial,17_300ms.wav,1_300ms.wav,1
Trial,18_300ms.wav,24_300ms.wav,1
Trial,18_300ms.wav,25_300ms.wav,1
Trial,18_300ms.wav,26_300ms.wav,1
Trial,18_300ms.wav,2_300ms.wav,1
Trial,18_300ms.wav,5_300ms.wav,1
Trial,18_300ms.wav,8_300ms.wav,1
Trial,18_300ms.wav,11_300ms.wav,1
Trial,18_300ms.wav,1_300ms.wav,1
Trial,24_300ms.wav,25_300ms.wav,1
Trial,24_300ms.wav,26_300ms.wav,1
Trial,24_300ms.wav,2_300ms.wav,1
Trial,24_300ms.wav,5_300ms.wav,1
Trial,24_300ms.wav,8_300ms.wav,1
Trial,24_300ms.wav,11_300ms.wav,1
Trial,24_300ms.wav,1_300ms.wav,1
Trial,25_300ms.wav,26_300ms.wav,1
Trial,25_300ms.wav,2_300ms.wav,1
Trial,25_300ms.wav,5_300ms.wav,1
Trial,25_300ms.wav,8_300ms.wav,1
Trial,25_300ms.wav,11_300ms.wav,1
Trial,25_300ms.wav,1_300ms.wav,1
Trial,26_300ms.wav,2_300ms.wav,1
Trial,26_300ms.wav,5_300ms.wav,1
Trial,26_300ms.wav,8_300ms.wav,1
Trial,26_300ms.wav,11_300ms.wav,1
Trial,26_300ms.wav,1_300ms.wav,1
Trial,2_300ms.wav,5_300ms.wav,1
Trial,2_300ms.wav,8_300ms.wav,1
Trial,2_300ms.wav,11_300ms.wav,1
Trial,2_300ms.wav,1_300ms.wav,1
Trial,5_300ms.wav,8_300ms.wav,1
Trial,5_300ms.wav,11_300ms.wav,1
Trial,5_300ms.wav,1_300ms.wav,1
Trial,8_300ms.wav,11_300ms.wav,1
Trial,8_300ms.wav,1_300ms.wav,1
Trial,11_300ms.wav,1_300ms.wav,1
Finish,,,
