display,A,B,randomize_trials
Instructions2,,,
Trial,C4.wav,D4.wav,1
Trial,C4.wav,E4.wav,1
Trial,C4.wav,Fs4_Gb4.wav,1
Trial,C4.wav,G4.wav,1
Trial,C4.wav,Gs4_Ab4.wav,1
Trial,C4.wav,A4.wav,1
Trial,C4.wav,Cs5_Db5.wav,1
Trial,C4.wav,Ds5_Eb5.wav,1
Trial,C4.wav,1_300ms.wav,1
Trial,C4.wav,5_300ms.wav,1
Trial,C4.wav,8_300ms.wav,1
Trial,C4.wav,11_300ms.wav,1
Trial,C4.wav,17_300ms.wav,1
Trial,C4.wav,18_300ms.wav,1
Trial,C4.wav,24_300ms.wav,1
Trial,C4.wav,25_300ms.wav,1
Trial,C4.wav,26_300ms.wav,1
Trial,D4.wav,E4.wav,1
Trial,D4.wav,Fs4_Gb4.wav,1
Trial,D4.wav,G4.wav,1
Trial,D4.wav,Gs4_Ab4.wav,1
Trial,D4.wav,A4.wav,1
Trial,D4.wav,Cs5_Db5.wav,1
Trial,D4.wav,Ds5_Eb5.wav,1
Trial,D4.wav,1_300ms.wav,1
Trial,D4.wav,5_300ms.wav,1
Trial,D4.wav,8_300ms.wav,1
Trial,D4.wav,11_300ms.wav,1
Trial,D4.wav,17_300ms.wav,1
Trial,D4.wav,18_300ms.wav,1
Trial,D4.wav,24_300ms.wav,1
Trial,D4.wav,25_300ms.wav,1
Trial,D4.wav,26_300ms.wav,1
Trial,E4.wav,Fs4_Gb4.wav,1
Trial,E4.wav,G4.wav,1
Trial,E4.wav,Gs4_Ab4.wav,1
Trial,E4.wav,A4.wav,1
Trial,E4.wav,Cs5_Db5.wav,1
Trial,E4.wav,Ds5_Eb5.wav,1
Trial,E4.wav,1_300ms.wav,1
Trial,E4.wav,5_300ms.wav,1
Trial,E4.wav,8_300ms.wav,1
Trial,E4.wav,11_300ms.wav,1
Trial,E4.wav,17_300ms.wav,1
Trial,E4.wav,18_300ms.wav,1
Trial,E4.wav,24_300ms.wav,1
Trial,E4.wav,25_300ms.wav,1
Trial,E4.wav,26_300ms.wav,1
Trial,Fs4_Gb4.wav,G4.wav,1
Trial,Fs4_Gb4.wav,Gs4_Ab4.wav,1
Trial,Fs4_Gb4.wav,A4.wav,1
Trial,Fs4_Gb4.wav,Cs5_Db5.wav,1
Trial,Fs4_Gb4.wav,Ds5_Eb5.wav,1
Trial,Fs4_Gb4.wav,1_300ms.wav,1
Trial,Fs4_Gb4.wav,5_300ms.wav,1
Trial,Fs4_Gb4.wav,8_300ms.wav,1
Trial,Fs4_Gb4.wav,11_300ms.wav,1
Trial,Fs4_Gb4.wav,17_300ms.wav,1
Trial,Fs4_Gb4.wav,18_300ms.wav,1
Trial,Fs4_Gb4.wav,24_300ms.wav,1
Trial,Fs4_Gb4.wav,25_300ms.wav,1
Trial,Fs4_Gb4.wav,26_300ms.wav,1
Trial,G4.wav,Gs4_Ab4.wav,1
Trial,G4.wav,A4.wav,1
Trial,G4.wav,Cs5_Db5.wav,1
Trial,G4.wav,Ds5_Eb5.wav,1
Trial,G4.wav,1_300ms.wav,1
Trial,G4.wav,5_300ms.wav,1
Trial,G4.wav,8_300ms.wav,1
Trial,G4.wav,11_300ms.wav,1
Trial,G4.wav,17_300ms.wav,1
Trial,G4.wav,18_300ms.wav,1
Trial,G4.wav,24_300ms.wav,1
Trial,G4.wav,25_300ms.wav,1
Trial,G4.wav,26_300ms.wav,1
Trial,Gs4_Ab4.wav,A4.wav,1
Trial,Gs4_Ab4.wav,Cs5_Db5.wav,1
Trial,Gs4_Ab4.wav,Ds5_Eb5.wav,1
Trial,Gs4_Ab4.wav,1_300ms.wav,1
Trial,Gs4_Ab4.wav,5_300ms.wav,1
Trial,Gs4_Ab4.wav,8_300ms.wav,1
Trial,Gs4_Ab4.wav,11_300ms.wav,1
Trial,Gs4_Ab4.wav,17_300ms.wav,1
Trial,Gs4_Ab4.wav,18_300ms.wav,1
Trial,Gs4_Ab4.wav,24_300ms.wav,1
Trial,Gs4_Ab4.wav,25_300ms.wav,1
Trial,Gs4_Ab4.wav,26_300ms.wav,1
Trial,A4.wav,Cs5_Db5.wav,1
Trial,A4.wav,Ds5_Eb5.wav,1
Trial,A4.wav,1_300ms.wav,1
Trial,A4.wav,5_300ms.wav,1
Trial,A4.wav,8_300ms.wav,1
Trial,A4.wav,11_300ms.wav,1
Trial,A4.wav,17_300ms.wav,1
Trial,A4.wav,18_300ms.wav,1
Trial,A4.wav,24_300ms.wav,1
Trial,A4.wav,25_300ms.wav,1
Trial,A4.wav,26_300ms.wav,1
Trial,Cs5_Db5.wav,Ds5_Eb5.wav,1
Trial,Cs5_Db5.wav,1_300ms.wav,1
Trial,Cs5_Db5.wav,5_300ms.wav,1
Trial,Cs5_Db5.wav,8_300ms.wav,1
Trial,Cs5_Db5.wav,11_300ms.wav,1
Trial,Cs5_Db5.wav,17_300ms.wav,1
Trial,Cs5_Db5.wav,18_300ms.wav,1
Trial,Cs5_Db5.wav,24_300ms.wav,1
Trial,Cs5_Db5.wav,25_300ms.wav,1
Trial,Cs5_Db5.wav,26_300ms.wav,1
Trial,Ds5_Eb5.wav,1_300ms.wav,1
Trial,Ds5_Eb5.wav,5_300ms.wav,1
Trial,Ds5_Eb5.wav,8_300ms.wav,1
Trial,Ds5_Eb5.wav,11_300ms.wav,1
Trial,Ds5_Eb5.wav,17_300ms.wav,1
Trial,Ds5_Eb5.wav,18_300ms.wav,1
Trial,Ds5_Eb5.wav,24_300ms.wav,1
Trial,Ds5_Eb5.wav,25_300ms.wav,1
Trial,Ds5_Eb5.wav,26_300ms.wav,1
Trial,1_300ms.wav,5_300ms.wav,1
Trial,1_300ms.wav,8_300ms.wav,1
Trial,1_300ms.wav,11_300ms.wav,1
Trial,1_300ms.wav,17_300ms.wav,1
Trial,1_300ms.wav,18_300ms.wav,1
Trial,1_300ms.wav,24_300ms.wav,1
Trial,1_300ms.wav,25_300ms.wav,1
Trial,1_300ms.wav,26_300ms.wav,1
Trial,5_300ms.wav,8_300ms.wav,1
Trial,5_300ms.wav,11_300ms.wav,1
Trial,5_300ms.wav,17_300ms.wav,1
Trial,5_300ms.wav,18_300ms.wav,1
Trial,5_300ms.wav,24_300ms.wav,1
Trial,5_300ms.wav,25_300ms.wav,1
Trial,5_300ms.wav,26_300ms.wav,1
Trial,8_300ms.wav,11_300ms.wav,1
Trial,8_300ms.wav,17_300ms.wav,1
Trial,8_300ms.wav,18_300ms.wav,1
Trial,8_300ms.wav,24_300ms.wav,1
Trial,8_300ms.wav,25_300ms.wav,1
Trial,8_300ms.wav,26_300ms.wav,1
Trial,11_300ms.wav,17_300ms.wav,1
Trial,11_300ms.wav,18_300ms.wav,1
Trial,11_300ms.wav,24_300ms.wav,1
Trial,11_300ms.wav,25_300ms.wav,1
Trial,11_300ms.wav,26_300ms.wav,1
Trial,17_300ms.wav,18_300ms.wav,1
Trial,17_300ms.wav,24_300ms.wav,1
Trial,17_300ms.wav,25_300ms.wav,1
Trial,17_300ms.wav,26_300ms.wav,1
Trial,18_300ms.wav,24_300ms.wav,1
Trial,18_300ms.wav,25_300ms.wav,1
Trial,18_300ms.wav,26_300ms.wav,1
Trial,24_300ms.wav,25_300ms.wav,1
Trial,24_300ms.wav,26_300ms.wav,1
Trial,25_300ms.wav,26_300ms.wav,1
Finish,,,
