display,A,B,randomize_trials
Instructions1,,,
Trial,C4.wav,D4.wav,1
Trial,C4.wav,E4.wav,1
Trial,C4.wav,Fs4_Gb4.wav,1
Trial,C4.wav,G4.wav,1
Trial,C4.wav,Gs4_Ab4.wav,1
Trial,C4.wav,A4.wav,1
Trial,C4.wav,Cs5_Db5.wav,1
Trial,C4.wav,Ds5_Eb5.wav,1
Trial,C4.wav,baby_3ms.wav,1
Trial,C4.wav,bell_3ms.wav,1
Trial,C4.wav,frog_3ms.wav,1
Trial,C4.wav,car_engine_3ms.wav,1
Trial,C4.wav,cough_3ms.wav,1
Trial,C4.wav,snore_3ms.wav,1
Trial,C4.wav,sheep_3ms.wav,1
Trial,C4.wav,sizzling_pan_3ms.wav,1
Trial,C4.wav,laugh_3ms.wav,1
Trial,D4.wav,E4.wav,1
Trial,D4.wav,Fs4_Gb4.wav,1
Trial,D4.wav,G4.wav,1
Trial,D4.wav,Gs4_Ab4.wav,1
Trial,D4.wav,A4.wav,1
Trial,D4.wav,Cs5_Db5.wav,1
Trial,D4.wav,Ds5_Eb5.wav,1
Trial,D4.wav,baby_3ms.wav,1
Trial,D4.wav,bell_3ms.wav,1
Trial,D4.wav,frog_3ms.wav,1
Trial,D4.wav,car_engine_3ms.wav,1
Trial,D4.wav,cough_3ms.wav,1
Trial,D4.wav,snore_3ms.wav,1
Trial,D4.wav,sheep_3ms.wav,1
Trial,D4.wav,sizzling_pan_3ms.wav,1
Trial,D4.wav,laugh_3ms.wav,1
Trial,E4.wav,Fs4_Gb4.wav,1
Trial,E4.wav,G4.wav,1
Trial,E4.wav,Gs4_Ab4.wav,1
Trial,E4.wav,A4.wav,1
Trial,E4.wav,Cs5_Db5.wav,1
Trial,E4.wav,Ds5_Eb5.wav,1
Trial,E4.wav,baby_3ms.wav,1
Trial,E4.wav,bell_3ms.wav,1
Trial,E4.wav,frog_3ms.wav,1
Trial,E4.wav,car_engine_3ms.wav,1
Trial,E4.wav,cough_3ms.wav,1
Trial,E4.wav,snore_3ms.wav,1
Trial,E4.wav,sheep_3ms.wav,1
Trial,E4.wav,sizzling_pan_3ms.wav,1
Trial,E4.wav,laugh_3ms.wav,1
Trial,Fs4_Gb4.wav,G4.wav,1
Trial,Fs4_Gb4.wav,Gs4_Ab4.wav,1
Trial,Fs4_Gb4.wav,A4.wav,1
