display,A,B,randomize_trials
Instructions3,,,
Trial,baby_3ms.wav,bell_3ms.wav,1
Trial,baby_3ms.wav,frog_3ms.wav,1
Trial,baby_3ms.wav,car_engine_3ms.wav,1
Trial,baby_3ms.wav,cough_3ms.wav,1
Trial,baby_3ms.wav,snore_3ms.wav,1
Trial,baby_3ms.wav,sheep_3ms.wav,1
Trial,baby_3ms.wav,sizzling_pan_3ms.wav,1
Trial,baby_3ms.wav,laugh_3ms.wav,1
Trial,baby_3ms.wav,1_300ms.wav,1
Trial,baby_3ms.wav,5_300ms.wav,1
Trial,baby_3ms.wav,8_300ms.wav,1
Trial,baby_3ms.wav,11_300ms.wav,1
Trial,baby_3ms.wav,17_300ms.wav,1
Trial,baby_3ms.wav,18_300ms.wav,1
Trial,baby_3ms.wav,24_300ms.wav,1
Trial,baby_3ms.wav,25_300ms.wav,1
Trial,baby_3ms.wav,26_300ms.wav,1
Trial,bell_3ms.wav,frog_3ms.wav,1
Trial,bell_3ms.wav,car_engine_3ms.wav,1
Trial,bell_3ms.wav,cough_3ms.wav,1
Trial,bell_3ms.wav,snore_3ms.wav,1
Trial,bell_3ms.wav,sheep_3ms.wav,1
Trial,bell_3ms.wav,sizzling_pan_3ms.wav,1
Trial,bell_3ms.wav,laugh_3ms.wav,1
Trial,bell_3ms.wav,1_300ms.wav,1
Trial,bell_3ms.wav,5_300ms.wav,1
Trial,bell_3ms.wav,8_300ms.wav,1
Trial,bell_3ms.wav,11_300ms.wav,1
Trial,bell_3ms.wav,17_300ms.wav,1
Trial,bell_3ms.wav,18_300ms.wav,1
Trial,bell_3ms.wav,24_300ms.wav,1
Trial,bell_3ms.wav,25_300ms.wav,1
Trial,bell_3ms.wav,26_300ms.wav,1
Trial,frog_3ms.wav,car_engine_3ms.wav,1
Trial,frog_3ms.wav,cough_3ms.wav,1
Trial,frog_3ms.wav,snore_3ms.wav,1
Trial,frog_3ms.wav,sheep_3ms.wav,1
Trial,frog_3ms.wav,sizzling_pan_3ms.wav,1
Trial,frog_3ms.wav,laugh_3ms.wav,1
Trial,frog_3ms.wav,1_300ms.wav,1
Trial,frog_3ms.wav,5_300ms.wav,1
Trial,frog_3ms.wav,8_300ms.wav,1
