Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-fh7p,branch-k5w1,order-p2cm,checkpoint-2b62,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,Audio_Filename,Same_Different,text,embedded,Attend_Condition,Present_Absent,Absent_Present,Length,Pause,Sequence Pause,Sequence_Names,Switch_Names,Stim_Ind,Stim_Name
1,1678068337544,06/03/2023 02:05:37,1678068340692,-5,05/03/2023 21:05:40,117834,2,,,27838327,,8269433,,live,,,computer,Desktop or Laptop,Windows 10,Edge 110.0.1587.63,1920x1080,1920x937,,Perceptual Organization Pilot - Audio,73,,,,,AP_syllable_section2_4semi_10ms_468,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,
2,1678068339410,06/03/2023 02:05:39,1678068342564,-5,05/03/2023 21:05:42,117834,2,,,27838327,,8269433,,live,,,computer,Desktop or Laptop,Windows 10,Edge 110.0.1587.63,1920x1080,1920x937,,Perceptual Organization Pilot - Audio,73,,,,,AP_syllable_section2_4semi_10ms_468,AP_syllable_section2_4semi_10ms_468,1,1,1,Screen 1,advancementZone,continue_button,1780.7000000476837,null,,null,,0,1,0,null,null,false,,,text,,,"<p style=""font-size: 32px;""> In this experiement there will be 4 blocks.   Press ""Next"" to enter the block.  </p>",,,,,,,,,,,
3,1678068341928,06/03/2023 02:05:41,1678068345117,-5,05/03/2023 21:05:45,117834,2,,,27838327,,8269433,,live,,,computer,Desktop or Laptop,Windows 10,Edge 110.0.1587.63,1920x1080,1920x937,,Perceptual Organization Pilot - Audio,73,,,,,AP_syllable_section2_4semi_10ms_468,AP_syllable_section2_4semi_10ms_468,2,2,1,Screen 1,advancementZone,continue_button,2516.7999999523163,null,,null,,0,1,0,null,null,false,1,,text,,,"<p style=""font-size: 32px;""> In this task, you will hear a sequence of syllables with different pitches, a pause, then a singular syllable. Your task is to determine whether the PITCH of this singular syllable was in the previous sequence.  After hearing the singular syllable, you will be prompted to indicate whether the pitch of the syllable was ""absent"" or ""present"" from the sequence. Press ""Next"" to start trials.  </p>",,,,,,,,,,,
4,1678068342091,06/03/2023 02:05:42,1678068345152,-5,05/03/2023 21:05:45,117834,2,,,27838327,,8269433,,live,,,computer,Desktop or Laptop,Windows 10,Edge 110.0.1587.63,1920x1080,1920x937,,Perceptual Organization Pilot - Audio,73,,,,,AP_syllable_section2_4semi_10ms_468,AP_syllable_section2_4semi_10ms_468,8,1,1,Screen 1,Zone1,content_web_audio,2.200000047683716,null,,AUDIO PLAY REQUESTED,1,0,1,0,,,false,1,1,task-ap,Block_2_male_1speaker_absent_pitch_4_serial_1_1.wav,,,,### pitch,,absent,4,10,2000,"['AP_da-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-8.wav'
 'AP_ba-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-16.wav'
 'AP_boo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_12.wav'
 'AP_ga-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-12.wav']",AP_dee-changeduration_Stretch__0_4-changepitchmedian_100__0.wav,1,
5,1678068346045,06/03/2023 02:05:46,1678068349189,-5,05/03/2023 21:05:49,117834,2,,,27838327,,8269433,,live,,,computer,Desktop or Laptop,Windows 10,Edge 110.0.1587.63,1920x1080,1920x937,,Perceptual Organization Pilot - Audio,73,,,,,AP_syllable_section2_4semi_10ms_468,AP_syllable_section2_4semi_10ms_468,8,1,1,Screen 1,Zone1,content_web_audio,4038.7000000476837,null,,null,,0,1,0,null,null,false,1,1,task-ap,Block_2_male_1speaker_absent_pitch_4_serial_1_1.wav,,,,### pitch,,absent,4,10,2000,"['AP_da-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-8.wav'
 'AP_ba-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-16.wav'
 'AP_boo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_12.wav'
 'AP_ga-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-12.wav']",AP_dee-changeduration_Stretch__0_4-changepitchmedian_100__0.wav,1,
6,1678068347511,06/03/2023 02:05:47,1678068350711,-5,05/03/2023 21:05:50,117834,2,,,27838327,,8269433,,live,,,computer,Desktop or Laptop,Windows 10,Edge 110.0.1587.63,1920x1080,1920x937,,Perceptual Organization Pilot - Audio,73,,,,,AP_syllable_section2_4semi_10ms_468,AP_syllable_section2_4semi_10ms_468,8,1,2,Screen 2,buttonA,response_button_text,1497.7000000476837,null,,present,1,0,1,0,null,null,false,1,1,task-ap,Block_2_male_1speaker_absent_pitch_4_serial_1_1.wav,,,,### pitch,,absent,4,10,2000,"['AP_da-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-8.wav'
 'AP_ba-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-16.wav'
 'AP_boo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_12.wav'
 'AP_ga-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-12.wav']",AP_dee-changeduration_Stretch__0_4-changepitchmedian_100__0.wav,1,
7,1678068347692,06/03/2023 02:05:47,1678068350741,-5,05/03/2023 21:05:50,117834,2,,,27838327,,8269433,,live,,,computer,Desktop or Laptop,Windows 10,Edge 110.0.1587.63,1920x1080,1920x937,,Perceptual Organization Pilot - Audio,73,,,,,AP_syllable_section2_4semi_10ms_468,AP_syllable_section2_4semi_10ms_468,10,2,1,Screen 1,Zone1,content_web_audio,1.3000001907348633,null,,AUDIO PLAY REQUESTED,1,0,1,0,,,false,1,1,task-ap,Block_2_male_1speaker_present_pitch_4_serial_3_1.wav,,,,### pitch,,present,4,10,2000,"['AP_boo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_8.wav'
 'AP_gee-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_16.wav'
 'AP_doo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-16.wav'
 'AP_da-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_4.wav']",AP_bee-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_4.wav,3,
8,1678068351571,06/03/2023 02:05:51,1678068354773,-5,05/03/2023 21:05:54,117834,2,,,27838327,,8269433,,live,,,computer,Desktop or Laptop,Windows 10,Edge 110.0.1587.63,1920x1080,1920x937,,Perceptual Organization Pilot - Audio,73,,,,,AP_syllable_section2_4semi_10ms_468,AP_syllable_section2_4semi_10ms_468,10,2,1,Screen 1,Zone1,content_web_audio,4032.4000000953674,null,,null,,0,1,0,null,null,false,1,1,task-ap,Block_2_male_1speaker_present_pitch_4_serial_3_1.wav,,,,### pitch,,present,4,10,2000,"['AP_boo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_8.wav'
 'AP_gee-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_16.wav'
 'AP_doo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-16.wav'
 'AP_da-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_4.wav']",AP_bee-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_4.wav,3,
9,1678068352574,06/03/2023 02:05:52,1678068355774,-5,05/03/2023 21:05:55,117834,2,,,27838327,,8269433,,live,,,computer,Desktop or Laptop,Windows 10,Edge 110.0.1587.63,1920x1080,1920x937,,Perceptual Organization Pilot - Audio,73,,,,,AP_syllable_section2_4semi_10ms_468,AP_syllable_section2_4semi_10ms_468,10,2,2,Screen 2,buttonA,response_button_text,970.6999998092651,null,,present,1,0,1,0,null,null,false,1,1,task-ap,Block_2_male_1speaker_present_pitch_4_serial_3_1.wav,,,,### pitch,,present,4,10,2000,"['AP_boo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_8.wav'
 'AP_gee-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_16.wav'
 'AP_doo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-16.wav'
 'AP_da-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_4.wav']",AP_bee-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_4.wav,3,
10,1678068352696,06/03/2023 02:05:52,1678068355827,-5,05/03/2023 21:05:55,117834,2,,,27838327,,8269433,,live,,,computer,Desktop or Laptop,Windows 10,Edge 110.0.1587.63,1920x1080,1920x937,,Perceptual Organization Pilot - Audio,73,,,,,AP_syllable_section2_4semi_10ms_468,AP_syllable_section2_4semi_10ms_468,4,3,1,Screen 1,Zone1,content_web_audio,1,null,,AUDIO PLAY REQUESTED,1,0,1,0,,,false,1,1,task-ap,Block_2_female_1speaker_absent_pitch_4_serial_2_1.wav,,,,### pitch,,absent,4,10,2000,"['AI_goo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-8.wav'
 'AI_ga-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_16.wav'
 'AI_doo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-16.wav'
 'AI_bee-changeduration_Stretch__0_4-changepitchmedian_200__0.wav']",AI_boo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-12.wav,2,
