Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-fh7p,branch-k5w1,order-p2cm,checkpoint-2b62,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,Audio_Filename,Same_Different,text,embedded,Attend_Condition,Present_Absent,Absent_Present,Length,Pause,Sequence Pause,Sequence_Names,Switch_Names,Stim_Ind,Stim_Name
1,1678070462702,06/03/2023 02:41:02,1678070463680,-5,05/03/2023 21:41:03,117834,3,,,27838561,,8269515,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,2560x1440,2560x1264,,Perceptual Organization Pilot - Audio,75,,,,,AP_syllable_section2_4semi_10ms_468,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,
2,1678070464918,06/03/2023 02:41:04,1678070465933,-5,05/03/2023 21:41:05,117834,3,,,27838561,,8269515,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,2560x1440,2560x1264,,Perceptual Organization Pilot - Audio,75,,,,,AP_syllable_section2_4semi_10ms_468,AP_syllable_section2_4semi_10ms_468,1,1,1,Screen 1,advancementZone,continue_button,2238.100000143051,null,,null,,0,1,0,null,null,false,,,text,,,"<p style=""font-size: 32px; line-height: 1.2;""> In this experiment there will be 4 blocks. <br> In this task, you will hear a sequence of syllables with different pitches, a pause, then a syllable pitch pair. <br> Your task is to determine whether the SYLLABLE/PITCH in this pair is in the previous sequence. <br> After hearing the syllable pitch pair, you will be prompted to indicate whether the SYLLABLE/PITCH was ""absent"" or ""present"" from the sequence. <br> Press ""Next"" to enter the block.</p>'",,,,,,,,,,,
3,1678070466748,06/03/2023 02:41:06,1678070467777,-5,05/03/2023 21:41:07,117834,3,,,27838561,,8269515,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,2560x1440,2560x1264,,Perceptual Organization Pilot - Audio,75,,,,,AP_syllable_section2_4semi_10ms_468,AP_syllable_section2_4semi_10ms_468,11,2,1,Screen 1,advancementZone,continue_button,1837.2999999523163,null,,null,,0,1,0,null,null,false,2,,text,,,"<p style=""font-size: 32px;""> Remeber to attend PITCHes. Press ""Next"" to start trials.  </p>'",,,,,,,,,,,
4,1678070466901,06/03/2023 02:41:06,1678070467784,-5,05/03/2023 21:41:07,117834,3,,,27838561,,8269515,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,2560x1440,2560x1264,,Perceptual Organization Pilot - Audio,75,,,,,AP_syllable_section2_4semi_10ms_468,AP_syllable_section2_4semi_10ms_468,16,1,1,Screen 1,Zone1,content_web_audio,0.5,null,,AUDIO PLAY REQUESTED,1,0,1,0,,,false,2,2,task-ap,Block_2_female_1speaker_absent_pitch_6_serial_4_1.wav,,,,### pitch,,absent,6,10,2000,"['AI_goo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_12.wav'
 'AI_doo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-12.wav'
 'AI_da-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_8.wav'
 'AI_gee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-16.wav'
 'AI_boo-changeduration_Stretch__0_4-changepitchmedian_200__0.wav'
 'AI_bee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_16.wav']",AI_ga-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_4.wav,4,
5,1678070471663,06/03/2023 02:41:11,1678070472636,-5,05/03/2023 21:41:12,117834,3,,,27838561,,8269515,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,2560x1440,2560x1264,,Perceptual Organization Pilot - Audio,75,,,,,AP_syllable_section2_4semi_10ms_468,AP_syllable_section2_4semi_10ms_468,16,1,1,Screen 1,Zone1,content_web_audio,4852.399999856949,null,,null,,0,1,0,null,null,false,2,2,task-ap,Block_2_female_1speaker_absent_pitch_6_serial_4_1.wav,,,,### pitch,,absent,6,10,2000,"['AI_goo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_12.wav'
 'AI_doo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-12.wav'
 'AI_da-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_8.wav'
 'AI_gee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-16.wav'
 'AI_boo-changeduration_Stretch__0_4-changepitchmedian_200__0.wav'
 'AI_bee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_16.wav']",AI_ga-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_4.wav,4,
6,1678070481261,06/03/2023 02:41:21,1678070482284,-5,05/03/2023 21:41:22,117834,3,,,27838561,,8269515,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,2560x1440,2560x1264,,Perceptual Organization Pilot - Audio,75,,,,,AP_syllable_section2_4semi_10ms_468,AP_syllable_section2_4semi_10ms_468,16,1,2,Screen 2,buttonB,response_button_text,9644.199999809265,null,,absent,1,0,1,0,null,null,false,2,2,task-ap,Block_2_female_1speaker_absent_pitch_6_serial_4_1.wav,,,,### pitch,,absent,6,10,2000,"['AI_goo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_12.wav'
 'AI_doo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-12.wav'
 'AI_da-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_8.wav'
 'AI_gee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-16.wav'
 'AI_boo-changeduration_Stretch__0_4-changepitchmedian_200__0.wav'
 'AI_bee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_16.wav']",AI_ga-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_4.wav,4,
7,1678070481364,06/03/2023 02:41:21,1678070482290,-5,05/03/2023 21:41:22,117834,3,,,27838561,,8269515,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,2560x1440,2560x1264,,Perceptual Organization Pilot - Audio,75,,,,,AP_syllable_section2_4semi_10ms_468,AP_syllable_section2_4semi_10ms_468,23,2,1,Screen 1,Zone1,content_web_audio,0.40000009536743164,null,,AUDIO PLAY REQUESTED,1,0,1,0,,,false,2,2,task-ap,Block_2_male_1speaker_present_pitch_6_serial_5_1.wav,,,,### pitch,,present,6,10,2000,"['AP_boo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_16.wav'
 'AP_dee-changeduration_Stretch__0_4-changepitchmedian_100__0.wav'
 'AP_bee-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_8.wav'
 'AP_ga-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_4.wav'
 'AP_goo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-16.wav'
 'AP_gee-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-4.wav']",AP_da-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-4.wav,5,
8,1678070486110,06/03/2023 02:41:26,1678070487140,-5,05/03/2023 21:41:27,117834,3,,,27838561,,8269515,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,2560x1440,2560x1264,,Perceptual Organization Pilot - Audio,75,,,,,AP_syllable_section2_4semi_10ms_468,AP_syllable_section2_4semi_10ms_468,23,2,1,Screen 1,Zone1,content_web_audio,4850.400000095367,null,,null,,0,1,0,null,null,false,2,2,task-ap,Block_2_male_1speaker_present_pitch_6_serial_5_1.wav,,,,### pitch,,present,6,10,2000,"['AP_boo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_16.wav'
 'AP_dee-changeduration_Stretch__0_4-changepitchmedian_100__0.wav'
 'AP_bee-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_8.wav'
 'AP_ga-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_4.wav'
 'AP_goo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-16.wav'
 'AP_gee-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-4.wav']",AP_da-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-4.wav,5,
9,1678070492516,06/03/2023 02:41:32,1678070493542,-5,05/03/2023 21:41:33,117834,3,,,27838561,,8269515,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,2560x1440,2560x1264,,Perceptual Organization Pilot - Audio,75,,,,,AP_syllable_section2_4semi_10ms_468,AP_syllable_section2_4semi_10ms_468,23,2,2,Screen 2,buttonA,response_button_text,6397,null,,present,1,0,1,0,null,null,false,2,2,task-ap,Block_2_male_1speaker_present_pitch_6_serial_5_1.wav,,,,### pitch,,present,6,10,2000,"['AP_boo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_16.wav'
 'AP_dee-changeduration_Stretch__0_4-changepitchmedian_100__0.wav'
 'AP_bee-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_8.wav'
 'AP_ga-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_4.wav'
 'AP_goo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-16.wav'
 'AP_gee-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-4.wav']",AP_da-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-4.wav,5,
10,1678070492631,06/03/2023 02:41:32,1678070493548,-5,05/03/2023 21:41:33,117834,3,,,27838561,,8269515,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,2560x1440,2560x1264,,Perceptual Organization Pilot - Audio,75,,,,,AP_syllable_section2_4semi_10ms_468,AP_syllable_section2_4semi_10ms_468,17,3,1,Screen 1,Zone1,content_web_audio,0.40000009536743164,null,,AUDIO PLAY REQUESTED,1,0,1,0,,,false,2,2,task-ap,Block_2_female_1speaker_present_pitch_6_serial_0_1.wav,,,,### pitch,,present,6,10,2000,"['AI_ba-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_16.wav'
 'AI_bee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-4.wav'
 'AI_gee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_4.wav'
 'AI_ga-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_8.wav'
 'AI_doo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-8.wav'
 'AI_goo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_12.wav']",AI_da-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_16.wav,0,
