Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-fh7p,branch-k5w1,order-p2cm,checkpoint-2b62,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,Audio_Filename,Same_Different,text,embedded,Attend_Condition,Present_Absent,Absent_Present,Length,Pause,Sequence Pause,Sequence_Names,Switch_Names,Stim_Ind,Stim_Name
1,1678071238112,06/03/2023 02:53:58,1678071239096,-5,05/03/2023 21:53:59,117834,3,,,27838682,,8269594,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,2560x1440,2560x1264,,Perceptual Organization Pilot - Audio,75,,,,,AP_syllable_section3_4semi_10ms_468,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,
2,1678071366125,06/03/2023 02:56:06,1678071367172,-5,05/03/2023 21:56:07,117834,3,,,27838682,,8269594,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,2560x1440,2560x1264,,Perceptual Organization Pilot - Audio,75,,,,,AP_syllable_section3_4semi_10ms_468,AP_syllable_section3_4semi_10ms_468,1,1,1,Screen 1,advancementZone,continue_button,128060.80000019073,null,,null,,0,1,0,null,null,false,,,text,,,"<p style=""font-size: 32px; line-height: 1.2;""> In this experiment there will be 4 blocks. <br> In this task, you will hear a sequence of syllables with different pitches, a pause, then a syllable pitch pair. <br> Your task is to determine whether the SYLLABLE/PITCH in this pair is in the previous sequence. <br> After hearing the syllable pitch pair, you will be prompted to indicate whether the SYLLABLE/PITCH was ""absent"" or ""present"" from the sequence. <br> Press ""Next"" to enter the block.</p>'",,,,,,,,,,,
3,1678071398835,06/03/2023 02:56:38,1678071399876,-5,05/03/2023 21:56:39,117834,3,,,27838682,,8269594,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,2560x1440,2560x1264,,Perceptual Organization Pilot - Audio,75,,,,,AP_syllable_section3_4semi_10ms_468,AP_syllable_section3_4semi_10ms_468,2,2,1,Screen 1,advancementZone,continue_button,32694.900000095367,null,,null,,0,1,0,null,null,false,1,,text,,,"<p style=""font-size: 32px;""> Remeber to attend PITCHes. Press ""Next"" to start trials.  </p>'",,,,,,,,,,,
4,1678071399001,06/03/2023 02:56:39,1678071399888,-5,05/03/2023 21:56:39,117834,3,,,27838682,,8269594,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,2560x1440,2560x1264,,Perceptual Organization Pilot - Audio,75,,,,,AP_syllable_section3_4semi_10ms_468,AP_syllable_section3_4semi_10ms_468,9,1,1,Screen 1,Zone1,content_web_audio,0.7000000476837158,null,,AUDIO PLAY REQUESTED,1,0,1,0,,,false,1,1,task-ap,Block_3_male_1speaker_absent_pitch_4_serial_1_1.wav,,,,### pitch,,absent,4,10,2000,"['AP_dee-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-12.wav'
 'AP_bee-changeduration_Stretch__0_4-changepitchmedian_100__0.wav'
 'AP_da-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_16.wav'
 'AP_goo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_4.wav']",AP_ga-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_8.wav,1,
5,1678071402882,06/03/2023 02:56:42,1678071403920,-5,05/03/2023 21:56:43,117834,3,,,27838682,,8269594,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,2560x1440,2560x1264,,Perceptual Organization Pilot - Audio,75,,,,,AP_syllable_section3_4semi_10ms_468,AP_syllable_section3_4semi_10ms_468,9,1,1,Screen 1,Zone1,content_web_audio,4032,null,,null,,0,1,0,null,null,false,1,1,task-ap,Block_3_male_1speaker_absent_pitch_4_serial_1_1.wav,,,,### pitch,,absent,4,10,2000,"['AP_dee-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-12.wav'
 'AP_bee-changeduration_Stretch__0_4-changepitchmedian_100__0.wav'
 'AP_da-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_16.wav'
 'AP_goo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_4.wav']",AP_ga-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_8.wav,1,
6,1678071409835,06/03/2023 02:56:49,1678071410887,-5,05/03/2023 21:56:50,117834,3,,,27838682,,8269594,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,2560x1440,2560x1264,,Perceptual Organization Pilot - Audio,75,,,,,AP_syllable_section3_4semi_10ms_468,AP_syllable_section3_4semi_10ms_468,9,1,2,Screen 2,buttonB,response_button_text,6962.900000095367,null,,absent,1,0,1,0,null,null,false,1,1,task-ap,Block_3_male_1speaker_absent_pitch_4_serial_1_1.wav,,,,### pitch,,absent,4,10,2000,"['AP_dee-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-12.wav'
 'AP_bee-changeduration_Stretch__0_4-changepitchmedian_100__0.wav'
 'AP_da-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_16.wav'
 'AP_goo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_4.wav']",AP_ga-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_8.wav,1,
7,1678071409952,06/03/2023 02:56:49,1678071410893,-5,05/03/2023 21:56:50,117834,3,,,27838682,,8269594,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,2560x1440,2560x1264,,Perceptual Organization Pilot - Audio,75,,,,,AP_syllable_section3_4semi_10ms_468,AP_syllable_section3_4semi_10ms_468,7,2,1,Screen 1,Zone1,content_web_audio,0.40000009536743164,null,,AUDIO PLAY REQUESTED,1,0,1,0,,,false,1,1,task-ap,Block_3_male_1speaker_absent_pitch_4_serial_0_1.wav,,,,### pitch,,absent,4,10,2000,"['AP_goo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-4.wav'
 'AP_ga-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_4.wav'
 'AP_bee-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-16.wav'
 'AP_gee-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-8.wav']",AP_da-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_8.wav,0,
8,1678071413912,06/03/2023 02:56:53,1678071414924,-5,05/03/2023 21:56:54,117834,3,,,27838682,,8269594,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,2560x1440,2560x1264,,Perceptual Organization Pilot - Audio,75,,,,,AP_syllable_section3_4semi_10ms_468,AP_syllable_section3_4semi_10ms_468,7,2,1,Screen 1,Zone1,content_web_audio,4031.600000143051,null,,null,,0,1,0,null,null,false,1,1,task-ap,Block_3_male_1speaker_absent_pitch_4_serial_0_1.wav,,,,### pitch,,absent,4,10,2000,"['AP_goo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-4.wav'
 'AP_ga-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_4.wav'
 'AP_bee-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-16.wav'
 'AP_gee-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-8.wav']",AP_da-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_8.wav,0,
9,1678071415458,06/03/2023 02:56:55,1678071416467,-5,05/03/2023 21:56:56,117834,3,,,27838682,,8269594,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,2560x1440,2560x1264,,Perceptual Organization Pilot - Audio,75,,,,,AP_syllable_section3_4semi_10ms_468,AP_syllable_section3_4semi_10ms_468,7,2,2,Screen 2,buttonA,response_button_text,1538.7000000476837,null,,present,1,0,1,0,null,null,false,1,1,task-ap,Block_3_male_1speaker_absent_pitch_4_serial_0_1.wav,,,,### pitch,,absent,4,10,2000,"['AP_goo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-4.wav'
 'AP_ga-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_4.wav'
 'AP_bee-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-16.wav'
 'AP_gee-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-8.wav']",AP_da-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_8.wav,0,
10,1678071415579,06/03/2023 02:56:55,1678071416473,-5,05/03/2023 21:56:56,117834,3,,,27838682,,8269594,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,2560x1440,2560x1264,,Perceptual Organization Pilot - Audio,75,,,,,AP_syllable_section3_4semi_10ms_468,AP_syllable_section3_4semi_10ms_468,5,3,1,Screen 1,Zone1,content_web_audio,0.40000009536743164,null,,AUDIO PLAY REQUESTED,1,0,1,0,,,false,1,1,task-ap,Block_3_female_1speaker_present_pitch_4_serial_3_1.wav,,,,### pitch,,present,4,10,2000,"['AI_dee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-8.wav'
 'AI_goo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_16.wav'
 'AI_gee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_8.wav'
 'AI_da-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_4.wav']",AI_ba-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_4.wav,3,
