Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-fh7p,branch-k5w1,order-p2cm,checkpoint-2b62,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,Audio_Filename,Same_Different,text,embedded,Attend_Condition,Present_Absent,Absent_Present,Length,Pause,Sequence Pause,Sequence_Names,Switch_Names,Stim_Ind,Stim_Name
1,1677615436726,28/02/2023 20:17:16,1677615436633,-5,28/02/2023 15:17:16,117833,4,task-venc,,27667365,,8221439,,complete,,,computer,Desktop or Laptop,Ubuntu undefined,Firefox 110.0,1920x1080,1920x1080,halfway,Perceptual Organization Pilot - Audio,74,Practice Good,,ABCD,halfway,SD_syllable_section4_4semi_10ms_468,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,
2,1677615439132,28/02/2023 20:17:19,1677615439090,-5,28/02/2023 15:17:19,117833,4,task-venc,,27667365,,8221439,,complete,,,computer,Desktop or Laptop,Ubuntu undefined,Firefox 110.0,1920x1080,1920x1080,halfway,Perceptual Organization Pilot - Audio,74,Practice Good,,ABCD,halfway,SD_syllable_section4_4semi_10ms_468,SD_syllable_section4_4semi_10ms_468,1,1,1,Screen 1,advancementZone,continue_button,2399,null,,null,,0,1,0,null,null,false,,,text,,,"<p style=""font-size: 32px;""> In this experiement there will be 4 blocks.   Press ""Next"" to enter the block.  </p>",,,,,,,,,,,
3,1677615440560,28/02/2023 20:17:20,1677615440520,-5,28/02/2023 15:17:20,117833,4,task-venc,,27667365,,8221439,,complete,,,computer,Desktop or Laptop,Ubuntu undefined,Firefox 110.0,1920x1080,1920x1080,halfway,Perceptual Organization Pilot - Audio,74,Practice Good,,ABCD,halfway,SD_syllable_section4_4semi_10ms_468,SD_syllable_section4_4semi_10ms_468,20,2,1,Screen 1,advancementZone,continue_button,1407,null,,null,,0,1,0,null,null,false,3,,text,,,"<p style=""font-size: 32px;""> In this task, you will hear a sequence of syllables with different pitches, a pause, then another sequence with different pitches. Your task is to determine whether the PITCHes in the first sequence are in the same or different order than the PITCHes in the second sequence. After hearing these two sequences, you will be prompted to indicate whether these sequences are the ""same"" or ""different"". Press ""Next"" to start trials. </p>",,,,,,,,,,,
4,1677615440675,28/02/2023 20:17:20,1677615440542,-5,28/02/2023 15:17:20,117833,4,task-venc,,27667365,,8221439,,complete,,,computer,Desktop or Laptop,Ubuntu undefined,Firefox 110.0,1920x1080,1920x1080,halfway,Perceptual Organization Pilot - Audio,74,Practice Good,,ABCD,halfway,SD_syllable_section4_4semi_10ms_468,SD_syllable_section4_4semi_10ms_468,34,1,1,Screen 1,audio,content_web_audio,1,null,,AUDIO PLAY REQUESTED,1,0,1,0,,,false,3,3,task-sd,Block_4_male_1speaker_same_pitch_8_serial_6_stim1.wav,same,,,### pitch,,,8,10,2000,"['AP_ba-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-4.wav'
 'AP_bee-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-16.wav'
 'AP_goo-changeduration_Stretch__0_4-changepitchmedian_100__0.wav'
 'AP_gee-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_12.wav'
 'AP_doo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-8.wav'
 'AP_ga-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_8.wav'
 'AP_dee-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_16.wav'
 'AP_boo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-12.wav']","['AP_boo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-4.wav'
 'AP_ba-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-16.wav'
 'AP_doo-changeduration_Stretch__0_4-changepitchmedian_100__0.wav'
 'AP_dee-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_12.wav'
 'AP_gee-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-8.wav'
 'AP_goo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_8.wav'
 'AP_ga-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_16.wav'
 'AP_bee-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-12.wav']",,
5,1677615449129,28/02/2023 20:17:29,1677615449087,-5,28/02/2023 15:17:29,117833,4,task-venc,,27667365,,8221439,,complete,,,computer,Desktop or Laptop,Ubuntu undefined,Firefox 110.0,1920x1080,1920x1080,halfway,Perceptual Organization Pilot - Audio,74,Practice Good,,ABCD,halfway,SD_syllable_section4_4semi_10ms_468,SD_syllable_section4_4semi_10ms_468,34,1,1,Screen 1,audio,content_web_audio,8541,null,,null,,0,1,0,null,null,false,3,3,task-sd,Block_4_male_1speaker_same_pitch_8_serial_6_stim1.wav,same,,,### pitch,,,8,10,2000,"['AP_ba-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-4.wav'
 'AP_bee-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-16.wav'
 'AP_goo-changeduration_Stretch__0_4-changepitchmedian_100__0.wav'
 'AP_gee-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_12.wav'
 'AP_doo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-8.wav'
 'AP_ga-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_8.wav'
 'AP_dee-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_16.wav'
 'AP_boo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-12.wav']","['AP_boo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-4.wav'
 'AP_ba-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-16.wav'
 'AP_doo-changeduration_Stretch__0_4-changepitchmedian_100__0.wav'
 'AP_dee-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_12.wav'
 'AP_gee-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-8.wav'
 'AP_goo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_8.wav'
 'AP_ga-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_16.wav'
 'AP_bee-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-12.wav']",,
6,1677615450003,28/02/2023 20:17:30,1677615449944,-5,28/02/2023 15:17:29,117833,4,task-venc,,27667365,,8221439,,complete,,,computer,Desktop or Laptop,Ubuntu undefined,Firefox 110.0,1920x1080,1920x1080,halfway,Perceptual Organization Pilot - Audio,74,Practice Good,,ABCD,halfway,SD_syllable_section4_4semi_10ms_468,SD_syllable_section4_4semi_10ms_468,34,1,2,Screen 2,buttonA,response_button_text,826,null,,same,1,1,0,0,null,null,false,3,3,task-sd,Block_4_male_1speaker_same_pitch_8_serial_6_stim1.wav,same,,,### pitch,,,8,10,2000,"['AP_ba-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-4.wav'
 'AP_bee-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-16.wav'
 'AP_goo-changeduration_Stretch__0_4-changepitchmedian_100__0.wav'
 'AP_gee-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_12.wav'
 'AP_doo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-8.wav'
 'AP_ga-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_8.wav'
 'AP_dee-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_16.wav'
 'AP_boo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-12.wav']","['AP_boo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-4.wav'
 'AP_ba-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-16.wav'
 'AP_doo-changeduration_Stretch__0_4-changepitchmedian_100__0.wav'
 'AP_dee-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_12.wav'
 'AP_gee-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-8.wav'
 'AP_goo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_8.wav'
 'AP_ga-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_16.wav'
 'AP_bee-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-12.wav']",,
7,1677615450135,28/02/2023 20:17:30,1677615449978,-5,28/02/2023 15:17:29,117833,4,task-venc,,27667365,,8221439,,complete,,,computer,Desktop or Laptop,Ubuntu undefined,Firefox 110.0,1920x1080,1920x1080,halfway,Perceptual Organization Pilot - Audio,74,Practice Good,,ABCD,halfway,SD_syllable_section4_4semi_10ms_468,SD_syllable_section4_4semi_10ms_468,22,2,1,Screen 1,audio,content_web_audio,2,null,,AUDIO PLAY REQUESTED,1,0,1,0,,,false,3,3,task-sd,Block_4_female_1speaker_diff_pitch_8_serial_5_stim1.wav,different,,,### pitch,,,8,10,2000,"['AI_goo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_4.wav'
 'AI_ba-changeduration_Stretch__0_4-changepitchmedian_200__0.wav'
 'AI_doo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-8.wav'
 'AI_dee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_16.wav'
 'AI_bee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-4.wav'
 'AI_ga-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-16.wav'
 'AI_gee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_8.wav'
 'AI_boo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_12.wav']","['AI_doo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_4.wav'
 'AI_dee-changeduration_Stretch__0_4-changepitchmedian_200__0.wav'
 'AI_boo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-8.wav'
 'AI_da-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_16.wav'
 'AI_goo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-4.wav'
 'AI_bee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_8.wav'
 'AI_ba-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-16.wav'
 'AI_gee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_12.wav']",5,
8,1677615458598,28/02/2023 20:17:38,1677615458520,-5,28/02/2023 15:17:38,117833,4,task-venc,,27667365,,8221439,,complete,,,computer,Desktop or Laptop,Ubuntu undefined,Firefox 110.0,1920x1080,1920x1080,halfway,Perceptual Organization Pilot - Audio,74,Practice Good,,ABCD,halfway,SD_syllable_section4_4semi_10ms_468,SD_syllable_section4_4semi_10ms_468,22,2,1,Screen 1,audio,content_web_audio,8541,null,,null,,0,1,0,null,null,false,3,3,task-sd,Block_4_female_1speaker_diff_pitch_8_serial_5_stim1.wav,different,,,### pitch,,,8,10,2000,"['AI_goo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_4.wav'
 'AI_ba-changeduration_Stretch__0_4-changepitchmedian_200__0.wav'
 'AI_doo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-8.wav'
 'AI_dee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_16.wav'
 'AI_bee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-4.wav'
 'AI_ga-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-16.wav'
 'AI_gee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_8.wav'
 'AI_boo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_12.wav']","['AI_doo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_4.wav'
 'AI_dee-changeduration_Stretch__0_4-changepitchmedian_200__0.wav'
 'AI_boo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-8.wav'
 'AI_da-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_16.wav'
 'AI_goo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-4.wav'
 'AI_bee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_8.wav'
 'AI_ba-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-16.wav'
 'AI_gee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_12.wav']",5,
9,1677615459852,28/02/2023 20:17:39,1677615459796,-5,28/02/2023 15:17:39,117833,4,task-venc,,27667365,,8221439,,complete,,,computer,Desktop or Laptop,Ubuntu undefined,Firefox 110.0,1920x1080,1920x1080,halfway,Perceptual Organization Pilot - Audio,74,Practice Good,,ABCD,halfway,SD_syllable_section4_4semi_10ms_468,SD_syllable_section4_4semi_10ms_468,22,2,2,Screen 2,buttonA,response_button_text,1253,null,,same,1,0,1,0,null,null,false,3,3,task-sd,Block_4_female_1speaker_diff_pitch_8_serial_5_stim1.wav,different,,,### pitch,,,8,10,2000,"['AI_goo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_4.wav'
 'AI_ba-changeduration_Stretch__0_4-changepitchmedian_200__0.wav'
 'AI_doo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-8.wav'
 'AI_dee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_16.wav'
 'AI_bee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-4.wav'
 'AI_ga-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-16.wav'
 'AI_gee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_8.wav'
 'AI_boo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_12.wav']","['AI_doo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_4.wav'
 'AI_dee-changeduration_Stretch__0_4-changepitchmedian_200__0.wav'
 'AI_boo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-8.wav'
 'AI_da-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_16.wav'
 'AI_goo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-4.wav'
 'AI_bee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_8.wav'
 'AI_ba-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-16.wav'
 'AI_gee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_12.wav']",5,
10,1677615460008,28/02/2023 20:17:40,1677615459823,-5,28/02/2023 15:17:39,117833,4,task-venc,,27667365,,8221439,,complete,,,computer,Desktop or Laptop,Ubuntu undefined,Firefox 110.0,1920x1080,1920x1080,halfway,Perceptual Organization Pilot - Audio,74,Practice Good,,ABCD,halfway,SD_syllable_section4_4semi_10ms_468,SD_syllable_section4_4semi_10ms_468,25,3,1,Screen 1,audio,content_web_audio,1,null,,AUDIO PLAY REQUESTED,1,0,1,0,,,false,3,3,task-sd,Block_4_female_1speaker_same_pitch_8_serial_2_stim1.wav,same,,,### pitch,,,8,10,2000,"['AI_goo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_12.wav'
 'AI_boo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-4.wav'
 'AI_gee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_16.wav'
 'AI_ga-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_4.wav'
 'AI_bee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_8.wav'
 'AI_da-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-12.wav'
 'AI_ba-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-8.wav'
 'AI_dee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-16.wav']","['AI_gee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_12.wav'
 'AI_ba-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-4.wav'
 'AI_doo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_16.wav'
 'AI_boo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_4.wav'
 'AI_ga-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_8.wav'
 'AI_bee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-12.wav'
 'AI_dee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-8.wav'
 'AI_da-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-16.wav']",,
