Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-fh7p,branch-k5w1,order-p2cm,checkpoint-2b62,Randomise questionnaire elements?,Question Key,Response
1,1677704799464,01/03/2023 21:06:39,1677704787367,-5,01/03/2023 16:06:27,117833,4,questionnaire-t1xq,,27716363,,8234707,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,1280x720,1280x601,halfway,Consent Form,1,Practice Good,,ABCD,halfway,No,BEGIN QUESTIONNAIRE,
2,1677704808570,01/03/2023 21:06:48,1677704796527,-5,01/03/2023 16:06:36,117833,4,questionnaire-t1xq,,27716363,,8234707,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,1280x720,1263x601,halfway,Consent Form,1,Practice Good,,ABCD,halfway,No,age_confirm,1
3,1677704808721,01/03/2023 21:06:48,1677704796528,-5,01/03/2023 16:06:36,117833,4,questionnaire-t1xq,,27716363,,8234707,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,1280x720,1263x601,halfway,Consent Form,1,Practice Good,,ABCD,halfway,No,consent_read,1
4,1677704808721,01/03/2023 21:06:48,1677704796528,-5,01/03/2023 16:06:36,117833,4,questionnaire-t1xq,,27716363,,8234707,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,1280x720,1263x601,halfway,Consent Form,1,Practice Good,,ABCD,halfway,No,consent_confirm,1
5,1677704808721,01/03/2023 21:06:48,1677704796529,-5,01/03/2023 16:06:36,117833,4,questionnaire-t1xq,,27716363,,8234707,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,1280x720,1263x601,halfway,Consent Form,1,Practice Good,,ABCD,halfway,No,nativeEng_confirm,Yes
6,1677704808721,01/03/2023 21:06:48,1677704796529,-5,01/03/2023 16:06:36,117833,4,questionnaire-t1xq,,27716363,,8234707,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,1280x720,1263x601,halfway,Consent Form,1,Practice Good,,ABCD,halfway,No,nativeEng_confirm-quantised,1
7,1677704808721,01/03/2023 21:06:48,1677704796529,-5,01/03/2023 16:06:36,117833,4,questionnaire-t1xq,,27716363,,8234707,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,1280x720,1263x601,halfway,Consent Form,1,Practice Good,,ABCD,halfway,No,hearing_confirm,True
8,1677704808721,01/03/2023 21:06:48,1677704796529,-5,01/03/2023 16:06:36,117833,4,questionnaire-t1xq,,27716363,,8234707,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,1280x720,1263x601,halfway,Consent Form,1,Practice Good,,ABCD,halfway,No,hearing_confirm-quantised,1
9,1677704808721,01/03/2023 21:06:48,1677704796529,-5,01/03/2023 16:06:36,117833,4,questionnaire-t1xq,,27716363,,8234707,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,1280x720,1263x601,halfway,Consent Form,1,Practice Good,,ABCD,halfway,No,END QUESTIONNAIRE,9162
END OF FILE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
