Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-fh7p,branch-k5w1,order-p2cm,checkpoint-2b62,Randomise questionnaire elements?,Question Key,Response
1,1677704810164,01/03/2023 21:06:50,1677704798054,-5,01/03/2023 16:06:38,117833,4,questionnaire-u5k1,,27716371,,8234707,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,1280x720,1280x601,halfway,Demographics Form,1,Practice Good,,ABCD,halfway,No,BEGIN QUESTIONNAIRE,
2,1677704825321,01/03/2023 21:07:05,1677704813270,-5,01/03/2023 16:06:53,117833,4,questionnaire-u5k1,,27716371,,8234707,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,1280x720,1263x601,halfway,Demographics Form,1,Practice Good,,ABCD,halfway,No,age,31
3,1677704825449,01/03/2023 21:07:05,1677704813272,-5,01/03/2023 16:06:53,117833,4,questionnaire-u5k1,,27716371,,8234707,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,1280x720,1263x601,halfway,Demographics Form,1,Practice Good,,ABCD,halfway,No,languages,English
4,1677704825449,01/03/2023 21:07:05,1677704813272,-5,01/03/2023 16:06:53,117833,4,questionnaire-u5k1,,27716371,,8234707,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,1280x720,1263x601,halfway,Demographics Form,1,Practice Good,,ABCD,halfway,No,ethnicity,Not Hispanic or Latino
5,1677704825449,01/03/2023 21:07:05,1677704813272,-5,01/03/2023 16:06:53,117833,4,questionnaire-u5k1,,27716371,,8234707,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,1280x720,1263x601,halfway,Demographics Form,1,Practice Good,,ABCD,halfway,No,ethnicity-quantised,1
6,1677704825449,01/03/2023 21:07:05,1677704813273,-5,01/03/2023 16:06:53,117833,4,questionnaire-u5k1,,27716371,,8234707,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,1280x720,1263x601,halfway,Demographics Form,1,Practice Good,,ABCD,halfway,No,race,White
7,1677704825449,01/03/2023 21:07:05,1677704813273,-5,01/03/2023 16:06:53,117833,4,questionnaire-u5k1,,27716371,,8234707,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,1280x720,1263x601,halfway,Demographics Form,1,Practice Good,,ABCD,halfway,No,race-quantised,5
8,1677704825449,01/03/2023 21:07:05,1677704813273,-5,01/03/2023 16:06:53,117833,4,questionnaire-u5k1,,27716371,,8234707,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,1280x720,1263x601,halfway,Demographics Form,1,Practice Good,,ABCD,halfway,No,gender,Female
9,1677704825449,01/03/2023 21:07:05,1677704813273,-5,01/03/2023 16:06:53,117833,4,questionnaire-u5k1,,27716371,,8234707,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,1280x720,1263x601,halfway,Demographics Form,1,Practice Good,,ABCD,halfway,No,gender-quantised,1
10,1677704825449,01/03/2023 21:07:05,1677704813273,-5,01/03/2023 16:06:53,117833,4,questionnaire-u5k1,,27716371,,8234707,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,1280x720,1263x601,halfway,Demographics Form,1,Practice Good,,ABCD,halfway,No,END QUESTIONNAIRE,15219
END OF FILE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
