Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-fh7p,branch-k5w1,order-p2cm,checkpoint-2b62,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,Audio_Filename,Same_Different,text,embedded,Attend_Condition,Present_Absent,Absent_Present,Length,Pause,Sequence Pause,Sequence_Names,Switch_Names,Stim_Ind,Stim_Name
1,1.67416E+12,19/01/2023 19:33:17,1.67416E+12,-5,19/01/2023 14:33:20,114886,2,task-sg16,,26502185,,7826748,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1920x1080,2133x1067,halfway,Perceptual Organization Pilot - Audio,70,Practice Bad,,ABCD,halfway,SD_section2,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,
2,1.67416E+12,19/01/2023 19:33:24,1.67416E+12,-5,19/01/2023 14:33:27,114886,2,task-sg16,,26502185,,7826748,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1920x1080,2133x1067,halfway,Perceptual Organization Pilot - Audio,70,Practice Bad,,ABCD,halfway,SD_section2,SD_section2,1,1,1,Screen 1,advancementZone,continue_button,6626.6,,,,,0,1,0,,,FALSE,,,text,,,"<p style=""font-size: 32px;""> In this experiement there will be 4 blocks.   Press ""Next"" to enter the block.  </p>",,,,,,,,,,,
3,1.67416E+12,19/01/2023 19:33:26,1.67416E+12,-5,19/01/2023 14:33:29,114886,2,task-sg16,,26502185,,7826748,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1920x1080,2133x1067,halfway,Perceptual Organization Pilot - Audio,70,Practice Bad,,ABCD,halfway,SD_section2,SD_section2,9,2,1,Screen 1,advancementZone,continue_button,1731,,,,,0,1,0,,,FALSE,2,,text,,,"<p style=""font-size: 32px;""> In this task, you will hear a sequence of words with different pitches, a pause, then another sequence with different pitches. Your task is to determine whether the PITCHes in the first sequence are in the same or different order than the PITCHes in the second sequence. After hearing these two sequences, you will be prompted to indicate whether these sequences are the ""same"" or ""different"". Press ""Next"" to start trials. </p>",,,,,,,,,,,
4,1.67416E+12,19/01/2023 19:33:26,1.67416E+12,-5,19/01/2023 14:33:29,114886,2,task-sg16,,26502185,,7826748,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1920x1080,2133x1067,halfway,Perceptual Organization Pilot - Audio,70,Practice Bad,,ABCD,halfway,SD_section2,SD_section2,16,1,1,Screen 1,audio,content_web_audio,1.5,,,AUDIO PLAY REQUESTED,1,0,1,0,,,FALSE,2,2,task-sd,Block_2_male_1speaker_same_pitch_5_serial_2_stim1.wav,same,,,### pitch,,,5,100,2000,"['AP_balm-changepitchmedian_100__0-changesemitones_-9.wav'
 'AP_bean-changepitchmedian_100__0-changesemitones_-3.wav'
 'AP_dual-changepitchmedian_100__0-changesemitones_12.wav'
 'AP_goose-changepitchmedian_100__0-changesemitones_3.wav'
 'AP_boon-changepitchmedian_100__0-changesemitones_6.wav']","['AP_deem-changepitchmedian_100__0-changesemitones_-9.wav'
 'AP_gear-changepitchmedian_100__0-changesemitones_-3.wav'
 'AP_goose-changepitchmedian_100__0-changesemitones_12.wav'
 'AP_gall-changepitchmedian_100__0-changesemitones_3.wav'
 'AP_dual-changepitchmedian_100__0-changesemitones_6.wav']",,
5,1.67416E+12,19/01/2023 19:33:33,1.67416E+12,-5,19/01/2023 14:33:36,114886,2,task-sg16,,26502185,,7826748,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1920x1080,2133x1067,halfway,Perceptual Organization Pilot - Audio,70,Practice Bad,,ABCD,halfway,SD_section2,SD_section2,16,1,1,Screen 1,audio,content_web_audio,6980.9,,,,,0,1,0,,,FALSE,2,2,task-sd,Block_2_male_1speaker_same_pitch_5_serial_2_stim1.wav,same,,,### pitch,,,5,100,2000,"['AP_balm-changepitchmedian_100__0-changesemitones_-9.wav'
 'AP_bean-changepitchmedian_100__0-changesemitones_-3.wav'
 'AP_dual-changepitchmedian_100__0-changesemitones_12.wav'
 'AP_goose-changepitchmedian_100__0-changesemitones_3.wav'
 'AP_boon-changepitchmedian_100__0-changesemitones_6.wav']","['AP_deem-changepitchmedian_100__0-changesemitones_-9.wav'
 'AP_gear-changepitchmedian_100__0-changesemitones_-3.wav'
 'AP_goose-changepitchmedian_100__0-changesemitones_12.wav'
 'AP_gall-changepitchmedian_100__0-changesemitones_3.wav'
 'AP_dual-changepitchmedian_100__0-changesemitones_6.wav']",,
6,1.67416E+12,19/01/2023 19:33:36,1.67416E+12,-5,19/01/2023 14:33:39,114886,2,task-sg16,,26502185,,7826748,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1920x1080,2133x1067,halfway,Perceptual Organization Pilot - Audio,70,Practice Bad,,ABCD,halfway,SD_section2,SD_section2,16,1,2,Screen 2,buttonB,response_button_text,3731.3,,,different,1,0,1,0,,,FALSE,2,2,task-sd,Block_2_male_1speaker_same_pitch_5_serial_2_stim1.wav,same,,,### pitch,,,5,100,2000,"['AP_balm-changepitchmedian_100__0-changesemitones_-9.wav'
 'AP_bean-changepitchmedian_100__0-changesemitones_-3.wav'
 'AP_dual-changepitchmedian_100__0-changesemitones_12.wav'
 'AP_goose-changepitchmedian_100__0-changesemitones_3.wav'
 'AP_boon-changepitchmedian_100__0-changesemitones_6.wav']","['AP_deem-changepitchmedian_100__0-changesemitones_-9.wav'
 'AP_gear-changepitchmedian_100__0-changesemitones_-3.wav'
 'AP_goose-changepitchmedian_100__0-changesemitones_12.wav'
 'AP_gall-changepitchmedian_100__0-changesemitones_3.wav'
 'AP_dual-changepitchmedian_100__0-changesemitones_6.wav']",,
7,1.67416E+12,19/01/2023 19:33:36,1.67416E+12,-5,19/01/2023 14:33:39,114886,2,task-sg16,,26502185,,7826748,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1920x1080,2133x1067,halfway,Perceptual Organization Pilot - Audio,70,Practice Bad,,ABCD,halfway,SD_section2,SD_section2,14,2,1,Screen 1,audio,content_web_audio,0.400000095,,,AUDIO PLAY REQUESTED,1,0,1,0,,,FALSE,2,2,task-sd,Block_2_male_1speaker_same_pitch_5_serial_0_stim1.wav,same,,,### pitch,,,5,100,2000,"['AP_bean-changepitchmedian_100__0-changesemitones_9.wav'
 'AP_boon-changepitchmedian_100__0-changesemitones_3.wav'
 'AP_gall-changepitchmedian_100__0-changesemitones_-3.wav'
 'AP_deem-changepitchmedian_100__0.wav'
 'AP_balm-changepitchmedian_100__0-changesemitones_6.wav']","['AP_gall-changepitchmedian_100__0-changesemitones_9.wav'
 'AP_gear-changepitchmedian_100__0-changesemitones_3.wav'
 'AP_goose-changepitchmedian_100__0-changesemitones_-3.wav'
 'AP_bean-changepitchmedian_100__0.wav'
 'AP_deem-changepitchmedian_100__0-changesemitones_6.wav']",,
8,1.67416E+12,19/01/2023 19:33:43,1.67416E+12,-5,19/01/2023 14:33:46,114886,2,task-sg16,,26502185,,7826748,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1920x1080,2133x1067,halfway,Perceptual Organization Pilot - Audio,70,Practice Bad,,ABCD,halfway,SD_section2,SD_section2,14,2,1,Screen 1,audio,content_web_audio,6980.8,,,,,0,1,0,,,FALSE,2,2,task-sd,Block_2_male_1speaker_same_pitch_5_serial_0_stim1.wav,same,,,### pitch,,,5,100,2000,"['AP_bean-changepitchmedian_100__0-changesemitones_9.wav'
 'AP_boon-changepitchmedian_100__0-changesemitones_3.wav'
 'AP_gall-changepitchmedian_100__0-changesemitones_-3.wav'
 'AP_deem-changepitchmedian_100__0.wav'
 'AP_balm-changepitchmedian_100__0-changesemitones_6.wav']","['AP_gall-changepitchmedian_100__0-changesemitones_9.wav'
 'AP_gear-changepitchmedian_100__0-changesemitones_3.wav'
 'AP_goose-changepitchmedian_100__0-changesemitones_-3.wav'
 'AP_bean-changepitchmedian_100__0.wav'
 'AP_deem-changepitchmedian_100__0-changesemitones_6.wav']",,
9,1.67416E+12,19/01/2023 19:33:46,1.67416E+12,-5,19/01/2023 14:33:48,114886,2,task-sg16,,26502185,,7826748,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1920x1080,2133x1067,halfway,Perceptual Organization Pilot - Audio,70,Practice Bad,,ABCD,halfway,SD_section2,SD_section2,14,2,2,Screen 2,buttonA,response_button_text,2212.1,,,same,1,1,0,0,,,FALSE,2,2,task-sd,Block_2_male_1speaker_same_pitch_5_serial_0_stim1.wav,same,,,### pitch,,,5,100,2000,"['AP_bean-changepitchmedian_100__0-changesemitones_9.wav'
 'AP_boon-changepitchmedian_100__0-changesemitones_3.wav'
 'AP_gall-changepitchmedian_100__0-changesemitones_-3.wav'
 'AP_deem-changepitchmedian_100__0.wav'
 'AP_balm-changepitchmedian_100__0-changesemitones_6.wav']","['AP_gall-changepitchmedian_100__0-changesemitones_9.wav'
 'AP_gear-changepitchmedian_100__0-changesemitones_3.wav'
 'AP_goose-changepitchmedian_100__0-changesemitones_-3.wav'
 'AP_bean-changepitchmedian_100__0.wav'
 'AP_deem-changepitchmedian_100__0-changesemitones_6.wav']",,
10,1.67416E+12,19/01/2023 19:33:46,1.67416E+12,-5,19/01/2023 14:33:48,114886,2,task-sg16,,26502185,,7826748,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1920x1080,2133x1067,halfway,Perceptual Organization Pilot - Audio,70,Practice Bad,,ABCD,halfway,SD_section2,SD_section2,17,3,1,Screen 1,audio,content_web_audio,0.399999976,,,AUDIO PLAY REQUESTED,1,0,1,0,,,FALSE,2,2,task-sd,Block_2_male_1speaker_diff_pitch_5_serial_3_stim1.wav,different,,,### pitch,,,5,100,2000,"['AP_goose-changepitchmedian_100__0-changesemitones_-9.wav'
 'AP_gear-changepitchmedian_100__0-changesemitones_-12.wav'
 'AP_dawn-changepitchmedian_100__0-changesemitones_3.wav'
 'AP_boon-changepitchmedian_100__0-changesemitones_6.wav'
 'AP_deem-changepitchmedian_100__0.wav']","['AP_dual-changepitchmedian_100__0-changesemitones_-9.wav'
 'AP_dawn-changepitchmedian_100__0-changesemitones_-12.wav'
 'AP_deem-changepitchmedian_100__0-changesemitones_3.wav'
 'AP_balm-changepitchmedian_100__0.wav'
 'AP_gear-changepitchmedian_100__0-changesemitones_6.wav']",3,
