Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-fh7p,branch-k5w1,order-p2cm,checkpoint-2b62,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,Audio_Filename,Same_Different,text,embedded,Attend_Condition,Present_Absent,Absent_Present,Length,Pause,Sequence Pause,Sequence_Names,Switch_Names,Stim_Ind,Stim_Name
1,1.67416E+12,19/01/2023 19:53:02,1.67416E+12,-5,19/01/2023 14:53:05,114886,2,task-venc,,26502557,,7826748,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1920x1080,2133x1067,halfway,Perceptual Organization Pilot - Audio,70,Practice Bad,,ABCD,halfway,SD_section4,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,
2,1.67416E+12,19/01/2023 19:53:42,1.67416E+12,-5,19/01/2023 14:53:45,114886,2,task-venc,,26502557,,7826748,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1920x1080,2133x1067,halfway,Perceptual Organization Pilot - Audio,70,Practice Bad,,ABCD,halfway,SD_section4,SD_section4,1,1,1,Screen 1,advancementZone,continue_button,39702,,,,,0,1,0,,,FALSE,,,text,,,"<p style=""font-size: 32px;""> In this experiement there will be 4 blocks.   Press ""Next"" to enter the block.  </p>",,,,,,,,,,,
3,1.67416E+12,19/01/2023 19:53:43,1.67416E+12,-5,19/01/2023 14:53:46,114886,2,task-venc,,26502557,,7826748,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1920x1080,2133x1067,halfway,Perceptual Organization Pilot - Audio,70,Practice Bad,,ABCD,halfway,SD_section4,SD_section4,9,2,1,Screen 1,advancementZone,continue_button,1618.6,,,,,0,1,0,,,FALSE,2,,text,,,"<p style=""font-size: 32px;""> In this task, you will hear a sequence of words with different pitches, a pause, then another sequence with different pitches. Your task is to determine whether the PITCHes in the first sequence are in the same or different order than the PITCHes in the second sequence. After hearing these two sequences, you will be prompted to indicate whether these sequences are the ""same"" or ""different"". Press ""Next"" to start trials. </p>",,,,,,,,,,,
4,1.67416E+12,19/01/2023 19:53:43,1.67416E+12,-5,19/01/2023 14:53:46,114886,2,task-venc,,26502557,,7826748,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1920x1080,2133x1067,halfway,Perceptual Organization Pilot - Audio,70,Practice Bad,,ABCD,halfway,SD_section4,SD_section4,15,1,1,Screen 1,audio,content_web_audio,0.800000072,,,AUDIO PLAY REQUESTED,1,0,1,0,,,FALSE,2,2,task-sd,Block_4_male_1speaker_diff_pitch_5_serial_0_stim1.wav,different,,,### pitch,,,5,100,2000,"['AP_balm-changepitchmedian_100__0-changesemitones_9.wav'
 'AP_dual-changepitchmedian_100__0.wav'
 'AP_boon-changepitchmedian_100__0-changesemitones_12.wav'
 'AP_goose-changepitchmedian_100__0-changesemitones_-3.wav'
 'AP_deem-changepitchmedian_100__0-changesemitones_-9.wav']","['AP_goose-changepitchmedian_100__0.wav'
 'AP_dawn-changepitchmedian_100__0-changesemitones_9.wav'
 'AP_gear-changepitchmedian_100__0-changesemitones_12.wav'
 'AP_boon-changepitchmedian_100__0-changesemitones_-3.wav'
 'AP_balm-changepitchmedian_100__0-changesemitones_-9.wav']",0,
5,1.67416E+12,19/01/2023 19:53:50,1.67416E+12,-5,19/01/2023 14:53:53,114886,2,task-venc,,26502557,,7826748,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1920x1080,2133x1067,halfway,Perceptual Organization Pilot - Audio,70,Practice Bad,,ABCD,halfway,SD_section4,SD_section4,15,1,1,Screen 1,audio,content_web_audio,6981.1,,,,,0,1,0,,,FALSE,2,2,task-sd,Block_4_male_1speaker_diff_pitch_5_serial_0_stim1.wav,different,,,### pitch,,,5,100,2000,"['AP_balm-changepitchmedian_100__0-changesemitones_9.wav'
 'AP_dual-changepitchmedian_100__0.wav'
 'AP_boon-changepitchmedian_100__0-changesemitones_12.wav'
 'AP_goose-changepitchmedian_100__0-changesemitones_-3.wav'
 'AP_deem-changepitchmedian_100__0-changesemitones_-9.wav']","['AP_goose-changepitchmedian_100__0.wav'
 'AP_dawn-changepitchmedian_100__0-changesemitones_9.wav'
 'AP_gear-changepitchmedian_100__0-changesemitones_12.wav'
 'AP_boon-changepitchmedian_100__0-changesemitones_-3.wav'
 'AP_balm-changepitchmedian_100__0-changesemitones_-9.wav']",0,
6,1.67416E+12,19/01/2023 19:53:52,1.67416E+12,-5,19/01/2023 14:53:55,114886,2,task-venc,,26502557,,7826748,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1920x1080,2133x1067,halfway,Perceptual Organization Pilot - Audio,70,Practice Bad,,ABCD,halfway,SD_section4,SD_section4,15,1,2,Screen 2,buttonA,response_button_text,1804.7,,,same,1,0,1,0,,,FALSE,2,2,task-sd,Block_4_male_1speaker_diff_pitch_5_serial_0_stim1.wav,different,,,### pitch,,,5,100,2000,"['AP_balm-changepitchmedian_100__0-changesemitones_9.wav'
 'AP_dual-changepitchmedian_100__0.wav'
 'AP_boon-changepitchmedian_100__0-changesemitones_12.wav'
 'AP_goose-changepitchmedian_100__0-changesemitones_-3.wav'
 'AP_deem-changepitchmedian_100__0-changesemitones_-9.wav']","['AP_goose-changepitchmedian_100__0.wav'
 'AP_dawn-changepitchmedian_100__0-changesemitones_9.wav'
 'AP_gear-changepitchmedian_100__0-changesemitones_12.wav'
 'AP_boon-changepitchmedian_100__0-changesemitones_-3.wav'
 'AP_balm-changepitchmedian_100__0-changesemitones_-9.wav']",0,
7,1.67416E+12,19/01/2023 19:53:52,1.67416E+12,-5,19/01/2023 14:53:55,114886,2,task-venc,,26502557,,7826748,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1920x1080,2133x1067,halfway,Perceptual Organization Pilot - Audio,70,Practice Bad,,ABCD,halfway,SD_section4,SD_section4,10,2,1,Screen 1,audio,content_web_audio,0.799999952,,,AUDIO PLAY REQUESTED,1,0,1,0,,,FALSE,2,2,task-sd,Block_4_female_1speaker_same_pitch_5_serial_2_stim1.wav,same,,,### pitch,,,5,100,2000,"['AI_goose-changepitchmedian_200__0-changesemitones_-12.wav'
 'AI_gear-changepitchmedian_200__0-changesemitones_12.wav'
 'AI_gall-changepitchmedian_200__0.wav'
 'AI_bean-changepitchmedian_200__0-changesemitones_-6.wav'
 'AI_dual-changepitchmedian_200__0-changesemitones_3.wav']","['AI_bean-changepitchmedian_200__0-changesemitones_-12.wav'
 'AI_goose-changepitchmedian_200__0-changesemitones_12.wav'
 'AI_dawn-changepitchmedian_200__0.wav'
 'AI_deem-changepitchmedian_200__0-changesemitones_-6.wav'
 'AI_gear-changepitchmedian_200__0-changesemitones_3.wav']",,
8,1.67416E+12,19/01/2023 19:53:59,1.67416E+12,-5,19/01/2023 14:54:02,114886,2,task-venc,,26502557,,7826748,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1920x1080,2133x1067,halfway,Perceptual Organization Pilot - Audio,70,Practice Bad,,ABCD,halfway,SD_section4,SD_section4,10,2,1,Screen 1,audio,content_web_audio,6976.5,,,,,0,1,0,,,FALSE,2,2,task-sd,Block_4_female_1speaker_same_pitch_5_serial_2_stim1.wav,same,,,### pitch,,,5,100,2000,"['AI_goose-changepitchmedian_200__0-changesemitones_-12.wav'
 'AI_gear-changepitchmedian_200__0-changesemitones_12.wav'
 'AI_gall-changepitchmedian_200__0.wav'
 'AI_bean-changepitchmedian_200__0-changesemitones_-6.wav'
 'AI_dual-changepitchmedian_200__0-changesemitones_3.wav']","['AI_bean-changepitchmedian_200__0-changesemitones_-12.wav'
 'AI_goose-changepitchmedian_200__0-changesemitones_12.wav'
 'AI_dawn-changepitchmedian_200__0.wav'
 'AI_deem-changepitchmedian_200__0-changesemitones_-6.wav'
 'AI_gear-changepitchmedian_200__0-changesemitones_3.wav']",,
9,1.67416E+12,19/01/2023 19:54:00,1.67416E+12,-5,19/01/2023 14:54:03,114886,2,task-venc,,26502557,,7826748,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1920x1080,2133x1067,halfway,Perceptual Organization Pilot - Audio,70,Practice Bad,,ABCD,halfway,SD_section4,SD_section4,10,2,2,Screen 2,buttonA,response_button_text,1316.9,,,same,1,1,0,0,,,FALSE,2,2,task-sd,Block_4_female_1speaker_same_pitch_5_serial_2_stim1.wav,same,,,### pitch,,,5,100,2000,"['AI_goose-changepitchmedian_200__0-changesemitones_-12.wav'
 'AI_gear-changepitchmedian_200__0-changesemitones_12.wav'
 'AI_gall-changepitchmedian_200__0.wav'
 'AI_bean-changepitchmedian_200__0-changesemitones_-6.wav'
 'AI_dual-changepitchmedian_200__0-changesemitones_3.wav']","['AI_bean-changepitchmedian_200__0-changesemitones_-12.wav'
 'AI_goose-changepitchmedian_200__0-changesemitones_12.wav'
 'AI_dawn-changepitchmedian_200__0.wav'
 'AI_deem-changepitchmedian_200__0-changesemitones_-6.wav'
 'AI_gear-changepitchmedian_200__0-changesemitones_3.wav']",,
10,1.67416E+12,19/01/2023 19:54:00,1.67416E+12,-5,19/01/2023 14:54:03,114886,2,task-venc,,26502557,,7826748,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1920x1080,2133x1067,halfway,Perceptual Organization Pilot - Audio,70,Practice Bad,,ABCD,halfway,SD_section4,SD_section4,16,3,1,Screen 1,audio,content_web_audio,0.700000048,,,AUDIO PLAY REQUESTED,1,0,1,0,,,FALSE,2,2,task-sd,Block_4_male_1speaker_diff_pitch_5_serial_1_stim1.wav,different,,,### pitch,,,5,100,2000,"['AP_gall-changepitchmedian_100__0-changesemitones_6.wav'
 'AP_balm-changepitchmedian_100__0-changesemitones_3.wav'
 'AP_dual-changepitchmedian_100__0-changesemitones_-6.wav'
 'AP_bean-changepitchmedian_100__0-changesemitones_12.wav'
 'AP_boon-changepitchmedian_100__0-changesemitones_-12.wav']","['AP_gear-changepitchmedian_100__0-changesemitones_6.wav'
 'AP_deem-changepitchmedian_100__0-changesemitones_-6.wav'
 'AP_bean-changepitchmedian_100__0-changesemitones_3.wav'
 'AP_balm-changepitchmedian_100__0-changesemitones_12.wav'
 'AP_gall-changepitchmedian_100__0-changesemitones_-12.wav']",1,
