Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-fh7p,branch-k5w1,order-p2cm,checkpoint-2b62,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,Audio_Filename,Same_Different,text,embedded,Attend_Condition,Present_Absent,Absent_Present,Length,Pause,Sequence Pause,Sequence_Names,Switch_Names,Stim_Ind,Stim_Name
1,1.67416E+12,19/01/2023 19:42:00,1.67416E+12,-5,19/01/2023 14:42:03,114886,2,task-yckr,,26502352,,7826748,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1920x1080,2133x1067,halfway,Perceptual Organization Pilot - Audio,70,Practice Bad,,ABCD,halfway,SD_section3,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,
2,1.67416E+12,19/01/2023 19:44:52,1.67416E+12,-5,19/01/2023 14:44:55,114886,2,task-yckr,,26502352,,7826748,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1920x1080,2133x1067,halfway,Perceptual Organization Pilot - Audio,70,Practice Bad,,ABCD,halfway,SD_section3,SD_section3,1,1,1,Screen 1,advancementZone,continue_button,171890.7,,,,,0,1,0,,,FALSE,,,text,,,"<p style=""font-size: 32px;""> In this experiement there will be 4 blocks.   Press ""Next"" to enter the block.  </p>",,,,,,,,,,,
3,1.67416E+12,19/01/2023 19:44:53,1.67416E+12,-5,19/01/2023 14:44:56,114886,2,task-yckr,,26502352,,7826748,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1920x1080,2133x1067,halfway,Perceptual Organization Pilot - Audio,70,Practice Bad,,ABCD,halfway,SD_section3,SD_section3,45,2,1,Screen 1,advancementZone,continue_button,1132,,,,,0,1,0,,,FALSE,6,,text,,,"<p style=""font-size: 32px;""> In this task, you will hear a sequence of words with different pitches, a pause, then another sequence with different pitches. Your task is to determine whether the WORDs in the first sequence are in the same or different order than the WORDs in the second sequence. After hearing these two sequences, you will be prompted to indicate whether these sequences are the ""same"" or ""different"". Press ""Next"" to start trials. </p>",,,,,,,,,,,
4,1.67416E+12,19/01/2023 19:44:53,1.67416E+12,-5,19/01/2023 14:44:56,114886,2,task-yckr,,26502352,,7826748,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1920x1080,2133x1067,halfway,Perceptual Organization Pilot - Audio,70,Practice Bad,,ABCD,halfway,SD_section3,SD_section3,55,1,1,Screen 1,audio,content_web_audio,0.699999928,,,AUDIO PLAY REQUESTED,1,0,1,0,,,FALSE,6,6,task-sd,Block_3_male_1speaker_diff_word_6_serial_3_stim1.wav,different,,,### word,,,6,100,2000,"['AP_boon-changepitchmedian_100__0-changesemitones_12.wav'
 'AP_goose-changepitchmedian_100__0.wav'
 'AP_gall-changepitchmedian_100__0-changesemitones_-12.wav'
 'AP_gear-changepitchmedian_100__0-changesemitones_-6.wav'
 'AP_dual-changepitchmedian_100__0-changesemitones_-3.wav'
 'AP_balm-changepitchmedian_100__0-changesemitones_3.wav']","['AP_boon-changepitchmedian_100__0-changesemitones_-6.wav'
 'AP_goose-changepitchmedian_100__0-changesemitones_-3.wav'
 'AP_gall-changepitchmedian_100__0-changesemitones_12.wav'
 'AP_dual-changepitchmedian_100__0-changesemitones_6.wav'
 'AP_gear-changepitchmedian_100__0.wav'
 'AP_balm-changepitchmedian_100__0-changesemitones_-12.wav']",3,
5,1.67416E+12,19/01/2023 19:45:01,1.67416E+12,-5,19/01/2023 14:45:04,114886,2,task-yckr,,26502352,,7826748,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1920x1080,2133x1067,halfway,Perceptual Organization Pilot - Audio,70,Practice Bad,,ABCD,halfway,SD_section3,SD_section3,55,1,1,Screen 1,audio,content_web_audio,8023.6,,,,,0,1,0,,,FALSE,6,6,task-sd,Block_3_male_1speaker_diff_word_6_serial_3_stim1.wav,different,,,### word,,,6,100,2000,"['AP_boon-changepitchmedian_100__0-changesemitones_12.wav'
 'AP_goose-changepitchmedian_100__0.wav'
 'AP_gall-changepitchmedian_100__0-changesemitones_-12.wav'
 'AP_gear-changepitchmedian_100__0-changesemitones_-6.wav'
 'AP_dual-changepitchmedian_100__0-changesemitones_-3.wav'
 'AP_balm-changepitchmedian_100__0-changesemitones_3.wav']","['AP_boon-changepitchmedian_100__0-changesemitones_-6.wav'
 'AP_goose-changepitchmedian_100__0-changesemitones_-3.wav'
 'AP_gall-changepitchmedian_100__0-changesemitones_12.wav'
 'AP_dual-changepitchmedian_100__0-changesemitones_6.wav'
 'AP_gear-changepitchmedian_100__0.wav'
 'AP_balm-changepitchmedian_100__0-changesemitones_-12.wav']",3,
6,1.67416E+12,19/01/2023 19:45:05,1.67416E+12,-5,19/01/2023 14:45:08,114886,2,task-yckr,,26502352,,7826748,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1920x1080,2133x1067,halfway,Perceptual Organization Pilot - Audio,70,Practice Bad,,ABCD,halfway,SD_section3,SD_section3,55,1,2,Screen 2,buttonB,response_button_text,3666.6,,,different,1,1,0,0,,,FALSE,6,6,task-sd,Block_3_male_1speaker_diff_word_6_serial_3_stim1.wav,different,,,### word,,,6,100,2000,"['AP_boon-changepitchmedian_100__0-changesemitones_12.wav'
 'AP_goose-changepitchmedian_100__0.wav'
 'AP_gall-changepitchmedian_100__0-changesemitones_-12.wav'
 'AP_gear-changepitchmedian_100__0-changesemitones_-6.wav'
 'AP_dual-changepitchmedian_100__0-changesemitones_-3.wav'
 'AP_balm-changepitchmedian_100__0-changesemitones_3.wav']","['AP_boon-changepitchmedian_100__0-changesemitones_-6.wav'
 'AP_goose-changepitchmedian_100__0-changesemitones_-3.wav'
 'AP_gall-changepitchmedian_100__0-changesemitones_12.wav'
 'AP_dual-changepitchmedian_100__0-changesemitones_6.wav'
 'AP_gear-changepitchmedian_100__0.wav'
 'AP_balm-changepitchmedian_100__0-changesemitones_-12.wav']",3,
7,1.67416E+12,19/01/2023 19:45:05,1.67416E+12,-5,19/01/2023 14:45:08,114886,2,task-yckr,,26502352,,7826748,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1920x1080,2133x1067,halfway,Perceptual Organization Pilot - Audio,70,Practice Bad,,ABCD,halfway,SD_section3,SD_section3,53,2,1,Screen 1,audio,content_web_audio,0.800000072,,,AUDIO PLAY REQUESTED,1,0,1,0,,,FALSE,6,6,task-sd,Block_3_male_1speaker_same_word_6_serial_2_stim1.wav,same,,,### word,,,6,100,2000,"['AP_boon-changepitchmedian_100__0-changesemitones_6.wav'
 'AP_balm-changepitchmedian_100__0-changesemitones_-12.wav'
 'AP_dual-changepitchmedian_100__0-changesemitones_12.wav'
 'AP_gear-changepitchmedian_100__0-changesemitones_9.wav'
 'AP_deem-changepitchmedian_100__0-changesemitones_3.wav'
 'AP_gall-changepitchmedian_100__0-changesemitones_-3.wav']","['AP_boon-changepitchmedian_100__0.wav'
 'AP_balm-changepitchmedian_100__0-changesemitones_9.wav'
 'AP_dual-changepitchmedian_100__0-changesemitones_-9.wav'
 'AP_gear-changepitchmedian_100__0-changesemitones_6.wav'
 'AP_deem-changepitchmedian_100__0-changesemitones_-6.wav'
 'AP_gall-changepitchmedian_100__0-changesemitones_3.wav']",,
8,1.67416E+12,19/01/2023 19:45:13,1.67416E+12,-5,19/01/2023 14:45:16,114886,2,task-yckr,,26502352,,7826748,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1920x1080,2133x1067,halfway,Perceptual Organization Pilot - Audio,70,Practice Bad,,ABCD,halfway,SD_section3,SD_section3,53,2,1,Screen 1,audio,content_web_audio,8016.4,,,,,0,1,0,,,FALSE,6,6,task-sd,Block_3_male_1speaker_same_word_6_serial_2_stim1.wav,same,,,### word,,,6,100,2000,"['AP_boon-changepitchmedian_100__0-changesemitones_6.wav'
 'AP_balm-changepitchmedian_100__0-changesemitones_-12.wav'
 'AP_dual-changepitchmedian_100__0-changesemitones_12.wav'
 'AP_gear-changepitchmedian_100__0-changesemitones_9.wav'
 'AP_deem-changepitchmedian_100__0-changesemitones_3.wav'
 'AP_gall-changepitchmedian_100__0-changesemitones_-3.wav']","['AP_boon-changepitchmedian_100__0.wav'
 'AP_balm-changepitchmedian_100__0-changesemitones_9.wav'
 'AP_dual-changepitchmedian_100__0-changesemitones_-9.wav'
 'AP_gear-changepitchmedian_100__0-changesemitones_6.wav'
 'AP_deem-changepitchmedian_100__0-changesemitones_-6.wav'
 'AP_gall-changepitchmedian_100__0-changesemitones_3.wav']",,
9,1.67416E+12,19/01/2023 19:45:14,1.67416E+12,-5,19/01/2023 14:45:17,114886,2,task-yckr,,26502352,,7826748,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1920x1080,2133x1067,halfway,Perceptual Organization Pilot - Audio,70,Practice Bad,,ABCD,halfway,SD_section3,SD_section3,53,2,2,Screen 2,buttonB,response_button_text,487.3,,,different,1,0,1,0,,,FALSE,6,6,task-sd,Block_3_male_1speaker_same_word_6_serial_2_stim1.wav,same,,,### word,,,6,100,2000,"['AP_boon-changepitchmedian_100__0-changesemitones_6.wav'
 'AP_balm-changepitchmedian_100__0-changesemitones_-12.wav'
 'AP_dual-changepitchmedian_100__0-changesemitones_12.wav'
 'AP_gear-changepitchmedian_100__0-changesemitones_9.wav'
 'AP_deem-changepitchmedian_100__0-changesemitones_3.wav'
 'AP_gall-changepitchmedian_100__0-changesemitones_-3.wav']","['AP_boon-changepitchmedian_100__0.wav'
 'AP_balm-changepitchmedian_100__0-changesemitones_9.wav'
 'AP_dual-changepitchmedian_100__0-changesemitones_-9.wav'
 'AP_gear-changepitchmedian_100__0-changesemitones_6.wav'
 'AP_deem-changepitchmedian_100__0-changesemitones_-6.wav'
 'AP_gall-changepitchmedian_100__0-changesemitones_3.wav']",,
10,1.67416E+12,19/01/2023 19:45:14,1.67416E+12,-5,19/01/2023 14:45:17,114886,2,task-yckr,,26502352,,7826748,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1920x1080,2133x1067,halfway,Perceptual Organization Pilot - Audio,70,Practice Bad,,ABCD,halfway,SD_section3,SD_section3,54,3,1,Screen 1,audio,content_web_audio,0.5,,,AUDIO PLAY REQUESTED,1,0,1,0,,,FALSE,6,6,task-sd,Block_3_male_1speaker_same_word_6_serial_3_stim1.wav,same,,,### word,,,6,100,2000,"['AP_balm-changepitchmedian_100__0-changesemitones_6.wav'
 'AP_dawn-changepitchmedian_100__0-changesemitones_3.wav'
 'AP_gear-changepitchmedian_100__0-changesemitones_-6.wav'
 'AP_deem-changepitchmedian_100__0-changesemitones_12.wav'
 'AP_goose-changepitchmedian_100__0-changesemitones_-3.wav'
 'AP_bean-changepitchmedian_100__0-changesemitones_-12.wav']","['AP_balm-changepitchmedian_100__0-changesemitones_-6.wav'
 'AP_dawn-changepitchmedian_100__0-changesemitones_12.wav'
 'AP_gear-changepitchmedian_100__0-changesemitones_9.wav'
 'AP_deem-changepitchmedian_100__0-changesemitones_-12.wav'
 'AP_goose-changepitchmedian_100__0.wav'
 'AP_bean-changepitchmedian_100__0-changesemitones_-9.wav']",,
