Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-fh7p,branch-inb7,order-l841,order-bvi9,randomiser-s4k1,branch-lfp6,order-svai,branch-8j67,order-md2h,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,Audio_Filename,Same_Different,text,embedded,Attend_Condition,Present_Absent,Absent_Present,Length,Pause,Sequence Pause,Sequence_Names,Switch_Names,Stim_Ind,Stim_Name,Non_attend_dim
1,1680893337308,07/04/2023 18:48:57,1680893174106,-4,07/04/2023 14:46:14,127771,4,task-cna4,,28738692,BLIND,8554460,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1920x1200,1920x1057,,Perceptual Organization Pilot - Audio,78,,,,,SD-AP,Practice Good,AB,Practice Bad,AB,V4-AP-Instruction,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,
2,1680893362381,07/04/2023 18:49:22,1680893199227,-4,07/04/2023 14:46:39,127771,4,task-cna4,,28738692,BLIND,8554460,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1920x1200,1920x1057,,Perceptual Organization Pilot - Audio,78,,,,,SD-AP,Practice Good,AB,Practice Bad,AB,V4-AP-Instruction,V4-AP-Instruction,1,1,1,Screen 1,advancementZone,continue_button,25092,,,,,0,1,0,,,,,,text,,,"<p style=""font-size: 48px;"">In this task, you will be presented with a sequence of syllables with unique pitches, then a single syllable with a unique pitch. </p> <p style=""font-size: 48px;""> There are two different tasks you may be asked to do.  </p> <p style=""font-size: 48px;""> The first task is to remember only the syllables in the first sequence, then decide if the following singular syllable was in the first sequence or not. </p> <p style=""font-size: 48px;""> The second task is to remember only the pitches in the first sequence, then decide if the pitch of the singular syllable was in the first sequence or not. </p> <p style=""font-size: 48px;"">  After hearing both the sequence and the singular syllable, you will be prompted to reply with 'present' or 'absent'.<p style=""font-size: 48px;""> We will start with some examples. </p>",,,,,,,,,,,,
3,1680893369111,07/04/2023 18:49:29,1680893205955,-4,07/04/2023 14:46:45,127771,4,task-cna4,,28738692,BLIND,8554460,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1920x1200,1920x1057,,Perceptual Organization Pilot - Audio,78,,,,,SD-AP,Practice Good,AB,Practice Bad,AB,V4-AP-Instruction,V4-AP-Instruction,2,2,1,Screen 1,advancementZone,continue_button,6722.20000000298,,,,,0,1,0,,,,,,text,,,"<p style=""font-size: 32px;""> In this next example, listen to the pitch of the sequence and the following syllable, then reply if the pitch of the syllable was 'present' or 'absent'. </p>",,,,,,,,,,,,
4,1680893369223,07/04/2023 18:49:29,1680893205963,-4,07/04/2023 14:46:45,127771,4,task-cna4,,28738692,BLIND,8554460,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1920x1200,1920x1057,,Perceptual Organization Pilot - Audio,78,,,,,SD-AP,Practice Good,AB,Practice Bad,AB,V4-AP-Instruction,V4-AP-Instruction,3,1,1,Screen 1,Zone1,content_web_audio,0.20000000298023224,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,,task-ap,Block_5_female_1speaker_present_pitch_6_serial_3_1fixed_instruction.wav,,,,### pitch,,present,6,10,2000,"['AI_da-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_8.wav'
 'AI_da-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-16.wav'
 'AI_da-changeduration_Stretch__0_4-changepitchmedian_200__0.wav'
 'AI_da-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_4.wav'
 'AI_da-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-12.wav'
 'AI_da-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_12.wav']",AI_da-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_4.wav,3,fixed,
5,1680893373950,07/04/2023 18:49:33,1680893210814,-4,07/04/2023 14:46:50,127771,4,task-cna4,,28738692,BLIND,8554460,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1920x1200,1920x1057,,Perceptual Organization Pilot - Audio,78,,,,,SD-AP,Practice Good,AB,Practice Bad,AB,V4-AP-Instruction,V4-AP-Instruction,3,1,1,Screen 1,Zone1,content_web_audio,4850.70000000298,,,,,0,1,0,,,,,,task-ap,Block_5_female_1speaker_present_pitch_6_serial_3_1fixed_instruction.wav,,,,### pitch,,present,6,10,2000,"['AI_da-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_8.wav'
 'AI_da-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-16.wav'
 'AI_da-changeduration_Stretch__0_4-changepitchmedian_200__0.wav'
 'AI_da-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_4.wav'
 'AI_da-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-12.wav'
 'AI_da-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_12.wav']",AI_da-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_4.wav,3,fixed,
6,1680893375037,07/04/2023 18:49:35,1680893211907,-4,07/04/2023 14:46:51,127771,4,task-cna4,,28738692,BLIND,8554460,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1920x1200,1920x1057,,Perceptual Organization Pilot - Audio,78,,,,,SD-AP,Practice Good,AB,Practice Bad,AB,V4-AP-Instruction,V4-AP-Instruction,3,1,2,Screen 2,buttonA,response_button_text,1072.9000000059605,,,present,1,0,1,0,,,,,,task-ap,Block_5_female_1speaker_present_pitch_6_serial_3_1fixed_instruction.wav,,,,### pitch,,present,6,10,2000,"['AI_da-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_8.wav'
 'AI_da-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-16.wav'
 'AI_da-changeduration_Stretch__0_4-changepitchmedian_200__0.wav'
 'AI_da-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_4.wav'
 'AI_da-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-12.wav'
 'AI_da-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_12.wav']",AI_da-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_4.wav,3,fixed,
7,1680893380960,07/04/2023 18:49:40,1680893217826,-4,07/04/2023 14:46:57,127771,4,task-cna4,,28738692,BLIND,8554460,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1920x1200,1920x1057,,Perceptual Organization Pilot - Audio,78,,,,,SD-AP,Practice Good,AB,Practice Bad,AB,V4-AP-Instruction,V4-AP-Instruction,4,3,1,Screen 1,advancementZone,continue_button,5914.600000008941,,,,,0,1,0,,,,,,text,,,"<p style=""font-size: 32px;""> In the past example, the pitch of the 4th syllable was present in the probe stimulus. Let's listen to it again. Don't worry - we know this is challenging! </p>",,,,,,,,,,,,
8,1680893381067,07/04/2023 18:49:41,1680893217833,-4,07/04/2023 14:46:57,127771,4,task-cna4,,28738692,BLIND,8554460,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1920x1200,1920x1057,,Perceptual Organization Pilot - Audio,78,,,,,SD-AP,Practice Good,AB,Practice Bad,AB,V4-AP-Instruction,V4-AP-Instruction,5,2,1,Screen 1,Zone1,content_web_audio,0.20000000298023224,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,,task-ap,Block_5_female_1speaker_present_pitch_6_serial_3_1fixed_instruction.wav,,,,### pitch,,present,6,10,2000,"['AI_da-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_8.wav'
 'AI_da-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-16.wav'
 'AI_da-changeduration_Stretch__0_4-changepitchmedian_200__0.wav'
 'AI_da-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_4.wav'
 'AI_da-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-12.wav'
 'AI_da-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_12.wav']",AI_da-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_4.wav,3,fixed,
9,1680893385819,07/04/2023 18:49:45,1680893222685,-4,07/04/2023 14:47:02,127771,4,task-cna4,,28738692,BLIND,8554460,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1920x1200,1920x1057,,Perceptual Organization Pilot - Audio,78,,,,,SD-AP,Practice Good,AB,Practice Bad,AB,V4-AP-Instruction,V4-AP-Instruction,5,2,1,Screen 1,Zone1,content_web_audio,4851.100000008941,,,,,0,1,0,,,,,,task-ap,Block_5_female_1speaker_present_pitch_6_serial_3_1fixed_instruction.wav,,,,### pitch,,present,6,10,2000,"['AI_da-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_8.wav'
 'AI_da-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-16.wav'
 'AI_da-changeduration_Stretch__0_4-changepitchmedian_200__0.wav'
 'AI_da-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_4.wav'
 'AI_da-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-12.wav'
 'AI_da-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_12.wav']",AI_da-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_4.wav,3,fixed,
10,1680893386659,07/04/2023 18:49:46,1680893223523,-4,07/04/2023 14:47:03,127771,4,task-cna4,,28738692,BLIND,8554460,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1920x1200,1920x1057,,Perceptual Organization Pilot - Audio,78,,,,,SD-AP,Practice Good,AB,Practice Bad,AB,V4-AP-Instruction,V4-AP-Instruction,5,2,2,Screen 2,buttonA,response_button_text,821.5,,,present,1,0,1,0,,,,,,task-ap,Block_5_female_1speaker_present_pitch_6_serial_3_1fixed_instruction.wav,,,,### pitch,,present,6,10,2000,"['AI_da-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_8.wav'
 'AI_da-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-16.wav'
 'AI_da-changeduration_Stretch__0_4-changepitchmedian_200__0.wav'
 'AI_da-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_4.wav'
 'AI_da-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-12.wav'
 'AI_da-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_12.wav']",AI_da-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_4.wav,3,fixed,
11,1680893389270,07/04/2023 18:49:49,1680893226139,-4,07/04/2023 14:47:06,127771,4,task-cna4,,28738692,BLIND,8554460,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1920x1200,1920x1057,,Perceptual Organization Pilot - Audio,78,,,,,SD-AP,Practice Good,AB,Practice Bad,AB,V4-AP-Instruction,V4-AP-Instruction,6,4,1,Screen 1,advancementZone,continue_button,2611.300000011921,,,,,0,1,0,,,,,,text,,,"<p style=""font-size: 32px;""> In the next example, pay special attention to the pitch of the last syllable in the sequence.  </p>",,,,,,,,,,,,
