Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-fh7p,branch-inb7,order-l841,order-bvi9,randomiser-s4k1,branch-lfp6,order-svai,branch-8j67,order-md2h,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,Audio_Filename,Same_Different,text,embedded,Attend_Condition,Present_Absent,Absent_Present,Length,Pause,Sequence Pause,Sequence_Names,Switch_Names,Stim_Ind,Stim_Name,Non_attend_dim
1,1680893532051,07/04/2023 18:52:12,1680893368855,-4,07/04/2023 14:49:28,127771,4,task-ubyv,,28738754,BLIND,8554460,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1920x1200,1920x1057,,Perceptual Organization Pilot - Audio,78,,,,,SD-AP,Practice Good,AB,Practice Bad,AB,V4-AP-section1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,
2,1680893538167,07/04/2023 18:52:18,1680893375027,-4,07/04/2023 14:49:35,127771,4,task-ubyv,,28738754,BLIND,8554460,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1920x1200,1920x1057,,Perceptual Organization Pilot - Audio,78,,,,,SD-AP,Practice Good,AB,Practice Bad,AB,V4-AP-section1,V4-AP-section1,1,1,1,Screen 1,advancementZone,continue_button,6140.79999999702,,,,,0,1,0,,,,,,text,,,"<p style=""font-size: 32px; line-height: 1.2;""> In this experiment there will be 4 blocks. <br> In this task, you will hear a sequence of syllables with different pitches, a pause, then a syllable pitch pair. <br> Your task is to determine whether the SYLLABLE/PITCH in this pair is in the previous sequence. <br> After hearing the syllable pitch pair, you will be prompted to indicate whether the SYLLABLE/PITCH was ""absent"" or ""present"" from the sequence. <br> Press ""Next"" to enter the block.</p>",,,,,,,,,,,,
3,1680893540358,07/04/2023 18:52:20,1680893377194,-4,07/04/2023 14:49:37,127771,4,task-ubyv,,28738754,BLIND,8554460,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1920x1200,1920x1057,,Perceptual Organization Pilot - Audio,78,,,,,SD-AP,Practice Good,AB,Practice Bad,AB,V4-AP-section1,V4-AP-section1,15,2,1,Screen 1,advancementZone,continue_button,2161.2000000029802,,,,,0,1,0,,,,2,,text,,,"<p style=""font-size: 32px;""> Remeber to attend PITCHes. Press ""Next"" to start trials.  </p>",,,,,,,,,,,,
4,1680893540477,07/04/2023 18:52:20,1680893377203,-4,07/04/2023 14:49:37,127771,4,task-ubyv,,28738754,BLIND,8554460,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1920x1200,1920x1057,,Perceptual Organization Pilot - Audio,78,,,,,SD-AP,Practice Good,AB,Practice Bad,AB,V4-AP-section1,V4-AP-section1,22,1,1,Screen 1,Zone1,content_web_audio,0.29999999701976776,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,2,2,task-ap,Block_1_male_1speaker_absent_pitch_6_serial_0_1rand.wav,,,,### pitch,,absent,6,10,2000,"['AP_goo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_16.wav'
 'AP_dee-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-8.wav'
 'AP_boo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_12.wav'
 'AP_da-changeduration_Stretch__0_4-changepitchmedian_100__0.wav'
 'AP_ga-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_4.wav'
 'AP_doo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-16.wav']",AP_ba-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_8.wav,0,,rand
5,1680893545190,07/04/2023 18:52:25,1680893382054,-4,07/04/2023 14:49:42,127771,4,task-ubyv,,28738754,BLIND,8554460,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1920x1200,1920x1057,,Perceptual Organization Pilot - Audio,78,,,,,SD-AP,Practice Good,AB,Practice Bad,AB,V4-AP-section1,V4-AP-section1,22,1,1,Screen 1,Zone1,content_web_audio,4850.899999991059,,,,,0,1,0,,,,2,2,task-ap,Block_1_male_1speaker_absent_pitch_6_serial_0_1rand.wav,,,,### pitch,,absent,6,10,2000,"['AP_goo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_16.wav'
 'AP_dee-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-8.wav'
 'AP_boo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_12.wav'
 'AP_da-changeduration_Stretch__0_4-changepitchmedian_100__0.wav'
 'AP_ga-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_4.wav'
 'AP_doo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-16.wav']",AP_ba-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_8.wav,0,,rand
6,1680893546426,07/04/2023 18:52:26,1680893383290,-4,07/04/2023 14:49:43,127771,4,task-ubyv,,28738754,BLIND,8554460,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1920x1200,1920x1057,,Perceptual Organization Pilot - Audio,78,,,,,SD-AP,Practice Good,AB,Practice Bad,AB,V4-AP-section1,V4-AP-section1,22,1,2,Screen 2,buttonB,response_button_text,1224,,,absent,1,0,1,0,,,,2,2,task-ap,Block_1_male_1speaker_absent_pitch_6_serial_0_1rand.wav,,,,### pitch,,absent,6,10,2000,"['AP_goo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_16.wav'
 'AP_dee-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-8.wav'
 'AP_boo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_12.wav'
 'AP_da-changeduration_Stretch__0_4-changepitchmedian_100__0.wav'
 'AP_ga-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_4.wav'
 'AP_doo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-16.wav']",AP_ba-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_8.wav,0,,rand
7,1680893546540,07/04/2023 18:52:26,1680893383297,-4,07/04/2023 14:49:43,127771,4,task-ubyv,,28738754,BLIND,8554460,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1920x1200,1920x1057,,Perceptual Organization Pilot - Audio,78,,,,,SD-AP,Practice Good,AB,Practice Bad,AB,V4-AP-section1,V4-AP-section1,27,2,1,Screen 1,Zone1,content_web_audio,0.4000000059604645,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,2,2,task-ap,Block_1_male_1speaker_absent_pitch_6_serial_5_1rand.wav,,,,### pitch,,absent,6,10,2000,"['AP_boo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_16.wav'
 'AP_goo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-8.wav'
 'AP_ba-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_12.wav'
 'AP_dee-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_8.wav'
 'AP_doo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_4.wav'
 'AP_bee-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-16.wav']",AP_gee-changeduration_Stretch__0_4-changepitchmedian_100__0.wav,5,,rand
8,1680893551299,07/04/2023 18:52:31,1680893388148,-4,07/04/2023 14:49:48,127771,4,task-ubyv,,28738754,BLIND,8554460,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1920x1200,1920x1057,,Perceptual Organization Pilot - Audio,78,,,,,SD-AP,Practice Good,AB,Practice Bad,AB,V4-AP-section1,V4-AP-section1,27,2,1,Screen 1,Zone1,content_web_audio,4850.5999999940395,,,,,0,1,0,,,,2,2,task-ap,Block_1_male_1speaker_absent_pitch_6_serial_5_1rand.wav,,,,### pitch,,absent,6,10,2000,"['AP_boo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_16.wav'
 'AP_goo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-8.wav'
 'AP_ba-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_12.wav'
 'AP_dee-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_8.wav'
 'AP_doo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_4.wav'
 'AP_bee-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-16.wav']",AP_gee-changeduration_Stretch__0_4-changepitchmedian_100__0.wav,5,,rand
9,1680893552120,07/04/2023 18:52:32,1680893388978,-4,07/04/2023 14:49:48,127771,4,task-ubyv,,28738754,BLIND,8554460,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1920x1200,1920x1057,,Perceptual Organization Pilot - Audio,78,,,,,SD-AP,Practice Good,AB,Practice Bad,AB,V4-AP-section1,V4-AP-section1,27,2,2,Screen 2,buttonA,response_button_text,812.1000000089407,,,present,1,0,1,0,,,,2,2,task-ap,Block_1_male_1speaker_absent_pitch_6_serial_5_1rand.wav,,,,### pitch,,absent,6,10,2000,"['AP_boo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_16.wav'
 'AP_goo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-8.wav'
 'AP_ba-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_12.wav'
 'AP_dee-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_8.wav'
 'AP_doo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_4.wav'
 'AP_bee-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-16.wav']",AP_gee-changeduration_Stretch__0_4-changepitchmedian_100__0.wav,5,,rand
10,1680893552323,07/04/2023 18:52:32,1680893388984,-4,07/04/2023 14:49:48,127771,4,task-ubyv,,28738754,BLIND,8554460,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1920x1200,1920x1057,,Perceptual Organization Pilot - Audio,78,,,,,SD-AP,Practice Good,AB,Practice Bad,AB,V4-AP-section1,V4-AP-section1,19,3,1,Screen 1,Zone1,content_web_audio,0.20000000298023224,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,2,2,task-ap,Block_1_female_1speaker_present_pitch_6_serial_5_1rand.wav,,,,### pitch,,present,6,10,2000,"['AI_ga-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_12.wav'
 'AI_gee-changeduration_Stretch__0_4-changepitchmedian_200__0.wav'
 'AI_bee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_8.wav'
 'AI_ba-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_4.wav'
 'AI_doo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-4.wav'
 'AI_boo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-16.wav']",AI_goo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-16.wav,5,,rand
