Stim_Ind,Participant Private ID,Percent_Correctness
0.0,9281699.0,1.0
0.0,9281700.0,0.6
0.0,9281737.0,1.0
0.0,9298174.0,0.0
0.0,9298175.0,0.8
0.0,9298176.0,0.8
0.0,9298180.0,0.8
0.0,9298182.0,0.8
0.0,9298187.0,0.8
0.0,9298189.0,1.0
0.0,9298190.0,1.0
0.0,9298196.0,0.8
0.0,9298208.0,0.8
0.0,9298209.0,0.8
0.0,9298216.0,1.0
0.0,9298223.0,0.6
0.0,9298232.0,1.0
0.0,9298233.0,1.0
0.0,9298249.0,0.6
0.0,9298256.0,0.6
0.0,9298278.0,0.8
0.0,9298302.0,1.0
0.0,9298303.0,0.8
0.0,9298304.0,0.6
0.0,9298307.0,0.4
0.0,9298308.0,0.8
0.0,9298310.0,0.8
0.0,9298314.0,1.0
0.0,9298316.0,0.6
0.0,9298323.0,0.8
0.0,9298324.0,0.8
0.0,9298330.0,1.0
0.0,9298338.0,1.0
0.0,9298473.0,0.4
0.0,9298509.0,0.2
0.0,9307920.0,1.0
0.0,9307928.0,1.0
0.0,9307932.0,0.6
0.0,9307975.0,0.8
0.0,9308301.0,0.8
0.0,9308394.0,1.0
1.0,9281699.0,0.8
1.0,9281700.0,0.6
1.0,9281737.0,1.0
1.0,9298174.0,0.6
1.0,9298175.0,1.0
1.0,9298176.0,1.0
1.0,9298180.0,0.8
1.0,9298182.0,0.8
1.0,9298187.0,0.8
1.0,9298189.0,1.0
1.0,9298190.0,0.6
1.0,9298196.0,1.0
1.0,9298208.0,1.0
1.0,9298209.0,0.8
1.0,9298216.0,0.8
1.0,9298223.0,1.0
1.0,9298232.0,0.8
1.0,9298233.0,0.8
1.0,9298249.0,0.6
1.0,9298256.0,1.0
1.0,9298278.0,0.6
1.0,9298302.0,0.6
1.0,9298303.0,0.8
1.0,9298304.0,0.8
1.0,9298307.0,0.4
1.0,9298308.0,0.8
1.0,9298310.0,0.8
1.0,9298314.0,1.0
1.0,9298316.0,0.8
1.0,9298323.0,0.8
1.0,9298324.0,0.4
1.0,9298330.0,1.0
1.0,9298338.0,1.0
1.0,9298473.0,0.4
1.0,9298509.0,0.6
1.0,9307920.0,0.8
1.0,9307928.0,1.0
1.0,9307932.0,0.8
1.0,9307975.0,0.8
1.0,9308301.0,0.6
1.0,9308394.0,0.4
2.0,9281699.0,0.8
2.0,9281700.0,0.6
2.0,9281737.0,0.8
2.0,9298174.0,0.0
2.0,9298175.0,0.8
2.0,9298176.0,0.8
2.0,9298180.0,0.4
2.0,9298182.0,1.0
2.0,9298187.0,0.8
2.0,9298189.0,1.0
2.0,9298190.0,0.8
2.0,9298196.0,0.6
2.0,9298208.0,0.8
2.0,9298209.0,0.4
2.0,9298216.0,1.0
2.0,9298223.0,0.4
2.0,9298232.0,0.4
2.0,9298233.0,0.8
2.0,9298249.0,0.8
2.0,9298256.0,0.8
2.0,9298278.0,0.2
2.0,9298302.0,1.0
2.0,9298303.0,0.6
2.0,9298304.0,0.4
2.0,9298307.0,0.4
2.0,9298308.0,0.8
2.0,9298310.0,1.0
2.0,9298314.0,1.0
2.0,9298316.0,0.6
2.0,9298323.0,0.6
2.0,9298324.0,0.6
2.0,9298330.0,0.6
2.0,9298338.0,0.4
2.0,9298473.0,0.4
2.0,9298509.0,0.4
2.0,9307920.0,0.8
2.0,9307928.0,1.0
2.0,9307932.0,0.8
2.0,9307975.0,0.8
2.0,9308301.0,0.2
2.0,9308394.0,0.4
3.0,9281699.0,1.0
3.0,9281700.0,1.0
3.0,9281737.0,1.0
3.0,9298174.0,1.0
3.0,9298175.0,1.0
3.0,9298176.0,0.8
3.0,9298180.0,1.0
3.0,9298182.0,1.0
3.0,9298187.0,0.8
3.0,9298189.0,1.0
3.0,9298190.0,1.0
3.0,9298196.0,1.0
3.0,9298208.0,0.6
3.0,9298209.0,1.0
3.0,9298216.0,1.0
3.0,9298223.0,0.8
3.0,9298232.0,1.0
3.0,9298233.0,1.0
3.0,9298249.0,0.8
3.0,9298256.0,1.0
3.0,9298278.0,0.8
3.0,9298302.0,1.0
3.0,9298303.0,1.0
3.0,9298304.0,0.8
3.0,9298307.0,1.0
3.0,9298308.0,1.0
3.0,9298310.0,1.0
3.0,9298314.0,1.0
3.0,9298316.0,0.6
3.0,9298323.0,0.8
3.0,9298324.0,1.0
3.0,9298330.0,1.0
3.0,9298338.0,1.0
3.0,9298473.0,1.0
3.0,9298509.0,1.0
3.0,9307920.0,0.8
3.0,9307928.0,1.0
3.0,9307932.0,0.8
3.0,9307975.0,0.6
3.0,9308301.0,1.0
3.0,9308394.0,0.8
