Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-fh7p,branch-inb7,order-l841,order-bvi9,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,Audio_Filename,Same_Different,text,embedded,Attend_Condition,Present_Absent,Absent_Present,Length,Pause,Sequence Pause,Sequence_Names,Switch_Names,Stim_Ind,Stim_Name,Non_attend_dim
1,1.68003E+12,28/03/2023 18:53:44,1.68003E+12,-4,28/03/2023 14:53:44,127771,3,task-dew6,,28502995,,8471463,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,2560x1440,2560x1321,,Perceptual Organization Pilot - Audio,77,Practice Good,Practice Good,AB,AB,V4-AP-section1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,
2,1.68003E+12,28/03/2023 18:54:07,1.68003E+12,-4,28/03/2023 14:54:08,127771,3,task-dew6,,28502995,,8471463,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,2560x1440,2560x1321,,Perceptual Organization Pilot - Audio,77,Practice Good,Practice Good,AB,AB,V4-AP-section1,V4-AP-section1,1,1,1,Screen 1,advancementZone,continue_button,23823.9,null,,null,,0,1,0,null,null,FALSE,,,text,,,"<p style=""font-size: 32px; line-height: 1.2;""> In this experiment there will be 4 blocks. <br> In this task, you will hear a sequence of syllables with different pitches, a pause, then a syllable pitch pair. <br> Your task is to determine whether the SYLLABLE/PITCH in this pair is in the previous sequence. <br> After hearing the syllable pitch pair, you will be prompted to indicate whether the SYLLABLE/PITCH was ""absent"" or ""present"" from the sequence. <br> Press ""Next"" to enter the block.</p>",,,,,,,,,,,,
3,1.68003E+12,28/03/2023 18:54:11,1.68003E+12,-4,28/03/2023 14:54:11,127771,3,task-dew6,,28502995,,8471463,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,2560x1440,2560x1321,,Perceptual Organization Pilot - Audio,77,Practice Good,Practice Good,AB,AB,V4-AP-section1,V4-AP-section1,28,2,1,Screen 1,advancementZone,continue_button,3594,null,,null,,0,1,0,null,null,FALSE,3,,text,,,"<p style=""font-size: 32px;""> Remeber to attend SYLLABLEs (WORDS). Press ""Next"" to start trials.  </p>",,,,,,,,,,,,
4,1.68003E+12,28/03/2023 18:54:12,1.68003E+12,-4,28/03/2023 14:54:11,127771,3,task-dew6,,28502995,,8471463,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,2560x1440,2560x1321,,Perceptual Organization Pilot - Audio,77,Practice Good,Practice Good,AB,AB,V4-AP-section1,V4-AP-section1,32,1,1,Screen 1,Zone1,content_web_audio,0.5,null,,AUDIO PLAY REQUESTED,1,0,1,0,,,FALSE,3,3,task-ap,Block_1_female_1speaker_absent_word_6_serial_3_1fixed.wav,,,,### word,,absent,6,10,2000,"['AI_da-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-12.wav'
 'AI_ga-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-12.wav'
 'AI_ba-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-12.wav'
 'AI_gee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-12.wav'
 'AI_dee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-12.wav'
 'AI_goo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-12.wav']",AI_da-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-12.wav,3,,fixed
5,1.68003E+12,28/03/2023 18:54:16,1.68003E+12,-4,28/03/2023 14:54:16,127771,3,task-dew6,,28502995,,8471463,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,2560x1440,2560x1321,,Perceptual Organization Pilot - Audio,77,Practice Good,Practice Good,AB,AB,V4-AP-section1,V4-AP-section1,32,1,1,Screen 1,Zone1,content_web_audio,4851.4,null,,null,,0,1,0,null,null,FALSE,3,3,task-ap,Block_1_female_1speaker_absent_word_6_serial_3_1fixed.wav,,,,### word,,absent,6,10,2000,"['AI_da-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-12.wav'
 'AI_ga-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-12.wav'
 'AI_ba-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-12.wav'
 'AI_gee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-12.wav'
 'AI_dee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-12.wav'
 'AI_goo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-12.wav']",AI_da-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-12.wav,3,,fixed
6,1.68003E+12,28/03/2023 18:54:17,1.68003E+12,-4,28/03/2023 14:54:18,127771,3,task-dew6,,28502995,,8471463,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,2560x1440,2560x1321,,Perceptual Organization Pilot - Audio,77,Practice Good,Practice Good,AB,AB,V4-AP-section1,V4-AP-section1,32,1,2,Screen 2,buttonA,response_button_text,1411,null,,present,1,0,1,0,null,null,FALSE,3,3,task-ap,Block_1_female_1speaker_absent_word_6_serial_3_1fixed.wav,,,,### word,,absent,6,10,2000,"['AI_da-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-12.wav'
 'AI_ga-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-12.wav'
 'AI_ba-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-12.wav'
 'AI_gee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-12.wav'
 'AI_dee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-12.wav'
 'AI_goo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-12.wav']",AI_da-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-12.wav,3,,fixed
7,1.68003E+12,28/03/2023 18:54:17,1.68003E+12,-4,28/03/2023 14:54:18,127771,3,task-dew6,,28502995,,8471463,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,2560x1440,2560x1321,,Perceptual Organization Pilot - Audio,77,Practice Good,Practice Good,AB,AB,V4-AP-section1,V4-AP-section1,35,2,1,Screen 1,Zone1,content_web_audio,0.399999857,null,,AUDIO PLAY REQUESTED,1,0,1,0,,,FALSE,3,3,task-ap,Block_1_male_1speaker_absent_word_6_serial_0_1fixed.wav,,,,### word,,absent,6,10,2000,"['AP_ga-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_12.wav'
 'AP_da-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_12.wav'
 'AP_dee-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_12.wav'
 'AP_boo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_12.wav'
 'AP_goo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_12.wav'
 'AP_doo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_12.wav']",AP_doo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_12.wav,0,,fixed
8,1.68003E+12,28/03/2023 18:54:22,1.68003E+12,-4,28/03/2023 14:54:23,127771,3,task-dew6,,28502995,,8471463,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,2560x1440,2560x1321,,Perceptual Organization Pilot - Audio,77,Practice Good,Practice Good,AB,AB,V4-AP-section1,V4-AP-section1,35,2,1,Screen 1,Zone1,content_web_audio,4850.8,null,,null,,0,1,0,null,null,FALSE,3,3,task-ap,Block_1_male_1speaker_absent_word_6_serial_0_1fixed.wav,,,,### word,,absent,6,10,2000,"['AP_ga-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_12.wav'
 'AP_da-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_12.wav'
 'AP_dee-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_12.wav'
 'AP_boo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_12.wav'
 'AP_goo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_12.wav'
 'AP_doo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_12.wav']",AP_doo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_12.wav,0,,fixed
9,1.68003E+12,28/03/2023 18:54:24,1.68003E+12,-4,28/03/2023 14:54:24,127771,3,task-dew6,,28502995,,8471463,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,2560x1440,2560x1321,,Perceptual Organization Pilot - Audio,77,Practice Good,Practice Good,AB,AB,V4-AP-section1,V4-AP-section1,35,2,2,Screen 2,buttonA,response_button_text,1791.2,null,,present,1,0,1,0,null,null,FALSE,3,3,task-ap,Block_1_male_1speaker_absent_word_6_serial_0_1fixed.wav,,,,### word,,absent,6,10,2000,"['AP_ga-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_12.wav'
 'AP_da-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_12.wav'
 'AP_dee-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_12.wav'
 'AP_boo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_12.wav'
 'AP_goo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_12.wav'
 'AP_doo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_12.wav']",AP_doo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_12.wav,0,,fixed
10,1.68003E+12,28/03/2023 18:54:24,1.68003E+12,-4,28/03/2023 14:54:24,127771,3,task-dew6,,28502995,,8471463,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,2560x1440,2560x1321,,Perceptual Organization Pilot - Audio,77,Practice Good,Practice Good,AB,AB,V4-AP-section1,V4-AP-section1,39,3,1,Screen 1,Zone1,content_web_audio,0.400000095,null,,AUDIO PLAY REQUESTED,1,0,1,0,,,FALSE,3,3,task-ap,Block_1_male_1speaker_absent_word_6_serial_4_1fixed.wav,,,,### word,,absent,6,10,2000,"['AP_doo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_8.wav'
 'AP_bee-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_8.wav'
 'AP_dee-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_8.wav'
 'AP_da-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_8.wav'
 'AP_ga-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_8.wav'
 'AP_boo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_8.wav']",AP_da-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_8.wav,4,,fixed
