node,entered,exited,live,rejected,deleted
finish,3,3,0,0,0
start,3,3,0,0,0
branch-fh7p,0,0,0,0,0
task-ge4z,0,0,0,0,0
task-dew6,0,0,0,0,0
task-sg16,0,0,0,0,0
task-bklz,0,0,0,0,0
questionnaire-5dfn,3,3,0,0,0
task-5o4q,0,0,0,0,0
task-iumi,0,0,0,0,0
branch-inb7,0,0,0,0,0
order-l841,0,0,0,0,0
task-asre,0,0,0,0,0
task-7wjx,0,0,0,0,0
order-bvi9,0,0,0,0,0
randomiser-s4k1,3,3,0,0,0
task-i24r,3,3,0,0,0
task-dymb,3,3,0,0,0
branch-lfp6,3,3,0,0,0
task-7794,3,3,0,0,0
task-kmdx,3,3,0,0,0
order-svai,3,3,0,0,0
task-cna4,3,3,0,0,0
task-75vj,3,3,0,0,0
branch-8j67,3,3,0,0,0
task-ubyv,3,3,0,0,0
task-kee1,3,3,0,0,0
order-md2h,3,3,0,0,0
