Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-fh7p,branch-inb7,order-l841,order-bvi9,randomiser-s4k1,branch-lfp6,order-svai,branch-8j67,order-md2h,Randomise questionnaire elements?,Question Key,Response
1,1680894145517,07/04/2023 19:02:25,1680893982309,-4,07/04/2023 14:59:42,127771,4,questionnaire-5dfn,,28738957,BLIND,8554460,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1920x1200,1920x1057,,Debrief-Auditory,2,,,,,SD-AP,Practice Good,AB,Practice Bad,AB,No,BEGIN QUESTIONNAIRE,
2,1680894161454,07/04/2023 19:02:41,1680893998301,-4,07/04/2023 14:59:58,127771,4,questionnaire-5dfn,,28738957,BLIND,8554460,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1920x1200,1920x1057,,Debrief-Auditory,2,,,,,SD-AP,Practice Good,AB,Practice Bad,AB,No,attention,5
3,1680894161569,07/04/2023 19:02:41,1680893998302,-4,07/04/2023 14:59:58,127771,4,questionnaire-5dfn,,28738957,BLIND,8554460,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1920x1200,1920x1057,,Debrief-Auditory,2,,,,,SD-AP,Practice Good,AB,Practice Bad,AB,No,change-type-challenge,1
4,1680894161569,07/04/2023 19:02:41,1680893998302,-4,07/04/2023 14:59:58,127771,4,questionnaire-5dfn,,28738957,BLIND,8554460,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1920x1200,1920x1057,,Debrief-Auditory,2,,,,,SD-AP,Practice Good,AB,Practice Bad,AB,No,strategy,repeating them in my head
5,1680894161569,07/04/2023 19:02:41,1680893998302,-4,07/04/2023 14:59:58,127771,4,questionnaire-5dfn,,28738957,BLIND,8554460,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1920x1200,1920x1057,,Debrief-Auditory,2,,,,,SD-AP,Practice Good,AB,Practice Bad,AB,No,END QUESTIONNAIRE,15993
1,1681659833713,16/04/2023 15:43:53,1681659665616,-4,16/04/2023 11:41:05,127771,4,questionnaire-5dfn,,28896823,BLIND,8603318,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1920x1200,1920x1089,,Debrief-Auditory,2,,,,,SD-AP,Practice Good,AB,Practice Good,AB,No,BEGIN QUESTIONNAIRE,
2,1681659887001,16/04/2023 15:44:47,1681659718964,-4,16/04/2023 11:41:58,127771,4,questionnaire-5dfn,,28896823,BLIND,8603318,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1920x1200,1920x1089,,Debrief-Auditory,2,,,,,SD-AP,Practice Good,AB,Practice Good,AB,No,attention,4
3,1681659887107,16/04/2023 15:44:47,1681659718965,-4,16/04/2023 11:41:58,127771,4,questionnaire-5dfn,,28896823,BLIND,8603318,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1920x1200,1920x1089,,Debrief-Auditory,2,,,,,SD-AP,Practice Good,AB,Practice Good,AB,No,change-type-challenge,2
4,1681659887107,16/04/2023 15:44:47,1681659718965,-4,16/04/2023 11:41:58,127771,4,questionnaire-5dfn,,28896823,BLIND,8603318,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1920x1200,1920x1089,,Debrief-Auditory,2,,,,,SD-AP,Practice Good,AB,Practice Good,AB,No,strategy,Remembering the first letter of the words
5,1681659887107,16/04/2023 15:44:47,1681659718965,-4,16/04/2023 11:41:58,127771,4,questionnaire-5dfn,,28896823,BLIND,8603318,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1920x1200,1920x1089,,Debrief-Auditory,2,,,,,SD-AP,Practice Good,AB,Practice Good,AB,No,END QUESTIONNAIRE,53349
