subject,task,attend_condition,structure,dprime
1,P/A,pitch,fixed,-0.9522668278051807
2,P/A,pitch,fixed,0.0
3,P/A,pitch,fixed,0.0
4,P/A,pitch,fixed,0.21042839424792484
5,P/A,pitch,fixed,0.9522668278051803
6,P/A,pitch,fixed,0.6411556935433823
7,P/A,pitch,fixed,1.3981488653971585
8,P/A,pitch,fixed,2.406154146318327
9,P/A,pitch,fixed,0.7569931718537765
10,P/A,pitch,fixed,0.8849181444440065
11,P/A,pitch,fixed,0.43072729929545744
12,P/A,pitch,fixed,1.1052170494915392
13,P/A,pitch,fixed,-2.7755575615628914e-16
14,P/A,pitch,fixed,0.24376245090062398
15,P/A,pitch,fixed,0.24376245090062398
16,P/A,pitch,fixed,0.967421566101701
17,P/A,pitch,fixed,0.5366942668062433
18,P/A,pitch,fixed,1.0571746459261635
19,P/A,pitch,fixed,0.0
20,P/A,pitch,fixed,0.6744897501960817
1,P/A,syllable,fixed,0.7642428300205443
2,P/A,syllable,fixed,0.4208567884958497
3,P/A,syllable,fixed,0.6744897501960817
4,P/A,syllable,fixed,0.6411556935433823
5,P/A,syllable,fixed,-0.5366942668062435
6,P/A,syllable,fixed,0.9522668278051803
7,P/A,syllable,fixed,1.382994127100638
8,P/A,syllable,fixed,0.8614545985909149
9,P/A,syllable,fixed,1.1725657328527135
10,P/A,syllable,fixed,0.4208567884958497
11,P/A,syllable,fixed,0.967421566101701
12,P/A,syllable,fixed,0.415572560998937
13,P/A,syllable,fixed,0.5366942668062433
14,P/A,syllable,fixed,0.21042839424792484
15,P/A,syllable,fixed,0.0
16,P/A,syllable,fixed,1.177849960349626
17,P/A,syllable,fixed,0.29293181590561934
18,P/A,syllable,fixed,0.7085043769045564
19,P/A,syllable,fixed,1.5934225213485629
20,P/A,syllable,fixed,0.29293181590561934
1,P/A,pitch,random,0.6744897501960817
2,P/A,pitch,random,-0.22029890504753272
3,P/A,pitch,random,0.7569931718537765
4,P/A,pitch,random,-0.7569931718537762
5,P/A,pitch,random,0.6411556935433823
6,P/A,pitch,random,0.29293181590561934
7,P/A,pitch,random,1.1052170494915392
8,P/A,pitch,random,1.5934225213485629
9,P/A,pitch,random,0.22029890504753288
10,P/A,pitch,random,2.406154146318327
11,P/A,pitch,random,0.0
12,P/A,pitch,random,0.6744897501960817
13,P/A,pitch,random,0.6744897501960817
14,P/A,pitch,random,-0.21042839424792456
15,P/A,pitch,random,1.177849960349626
16,P/A,pitch,random,0.22029890504753274
17,P/A,pitch,random,1.177849960349626
18,P/A,pitch,random,-0.22029890504753272
19,P/A,pitch,random,0.0
20,P/A,pitch,random,-0.5366942668062435
1,P/A,syllable,random,1.177849960349626
2,P/A,syllable,random,0.8849181444440065
3,P/A,syllable,random,1.6419113162977828
4,P/A,syllable,random,0.8614545985909149
5,P/A,syllable,random,1.8137214263960955
6,P/A,syllable,random,0.5366942668062435
7,P/A,syllable,random,1.3981488653971585
8,P/A,syllable,random,1.3981488653971585
9,P/A,syllable,random,1.3981488653971585
10,P/A,syllable,random,0.4208567884958497
11,P/A,syllable,random,-0.2104283942479247
12,P/A,syllable,random,0.8849181444440065
13,P/A,syllable,random,0.6411556935433823
14,P/A,syllable,random,0.8849181444440065
15,P/A,syllable,random,0.8849181444440065
16,P/A,syllable,random,0.6411556935433823
17,P/A,syllable,random,1.177849960349626
18,P/A,syllable,random,1.3981488653971585
19,P/A,syllable,random,0.967421566101701
20,P/A,syllable,random,0.22029890504753274
