subject,task,attend_condition,structure,dprime
1,S/D,pitch,fixed,2.9264051924960723
2,S/D,pitch,fixed,1.366021746280955
3,S/D,pitch,fixed,2.9264051924960723
4,S/D,pitch,fixed,2.5631031310892007
5,S/D,pitch,fixed,2.9264051924960723
6,S/D,pitch,fixed,1.366021746280955
7,S/D,pitch,fixed,1.805952078252641
8,S/D,pitch,fixed,2.9264051924960723
9,S/D,pitch,fixed,2.1231727991175147
10,S/D,pitch,fixed,0.5066942062715994
11,S/D,pitch,fixed,0.5244005127080407
12,S/D,pitch,fixed,2.169254139659513
13,S/D,pitch,fixed,1.8982007300872719
14,S/D,pitch,fixed,1.5348986686804
15,S/D,pitch,fixed,1.6832424671458286
16,S/D,pitch,fixed,1.6832424671458286
17,S/D,pitch,fixed,2.5631031310892007
18,S/D,pitch,fixed,2.9264051924960723
19,S/D,pitch,fixed,2.9264051924960723
20,S/D,pitch,fixed,1.6832424671458286
1,S/D,syllable,fixed,0.7777476158438403
2,S/D,syllable,fixed,0.7777476158438403
3,S/D,syllable,fixed,2.5631031310892007
4,S/D,syllable,fixed,1.0488010254160813
5,S/D,syllable,fixed,2.1231727991175147
6,S/D,syllable,fixed,2.1231727991175147
7,S/D,syllable,fixed,1.0282044624088007
8,S/D,syllable,fixed,1.8982007300872719
9,S/D,syllable,fixed,3.2897072539029444
10,S/D,syllable,fixed,1.094968336708714
11,S/D,syllable,fixed,1.366021746280955
12,S/D,syllable,fixed,2.5631031310892007
13,S/D,syllable,fixed,1.8982007300872719
14,S/D,syllable,fixed,1.2815515655446004
15,S/D,syllable,fixed,1.366021746280955
16,S/D,syllable,fixed,0.8416212335729143
17,S/D,syllable,fixed,2.9264051924960723
18,S/D,syllable,fixed,3.2897072539029444
19,S/D,syllable,fixed,1.5348986686804
20,S/D,syllable,fixed,-2.220446049250313e-16
1,S/D,pitch,random,1.094968336708714
2,S/D,pitch,random,0.2533471031357997
3,S/D,pitch,random,2.4864748605243863
4,S/D,pitch,random,0.0
5,S/D,pitch,random,1.6832424671458286
6,S/D,pitch,random,-0.27105340957224094
7,S/D,pitch,random,1.0488010254160813
8,S/D,pitch,random,3.2897072539029444
9,S/D,pitch,random,1.094968336708714
10,S/D,pitch,random,0.7571510528365595
11,S/D,pitch,random,0.27105340957224094
12,S/D,pitch,random,1.5348986686804
13,S/D,pitch,random,1.805952078252641
14,S/D,pitch,random,-0.5066942062715994
15,S/D,pitch,random,1.5348986686804
16,S/D,pitch,random,0.5244005127080407
17,S/D,pitch,random,1.366021746280955
18,S/D,pitch,random,2.4864748605243863
19,S/D,pitch,random,0.2533471031357997
20,S/D,pitch,random,0.5066942062715994
1,S/D,syllable,random,1.1102230246251565e-16
2,S/D,syllable,random,0.5244005127080407
3,S/D,syllable,random,0.7777476158438403
4,S/D,syllable,random,0.8416212335729143
5,S/D,syllable,random,2.1231727991175147
6,S/D,syllable,random,0.5882741304371146
7,S/D,syllable,random,0.7777476158438403
8,S/D,syllable,random,2.1231727991175147
9,S/D,syllable,random,1.2815515655446004
10,S/D,syllable,random,0.8416212335729143
11,S/D,syllable,random,0.2533471031357997
12,S/D,syllable,random,1.8982007300872719
13,S/D,syllable,random,1.094968336708714
14,S/D,syllable,random,1.0488010254160813
15,S/D,syllable,random,0.2533471031357997
16,S/D,syllable,random,1.5348986686804
17,S/D,syllable,random,1.805952078252641
18,S/D,syllable,random,2.169254139659513
19,S/D,syllable,random,1.094968336708714
20,S/D,syllable,random,0.0
