subject,task,attend_condition,structure,dprime
1,P/A,pitch,random,0.5960773374629695
2,P/A,pitch,random,0.0788982718770585
3,P/A,pitch,random,0.3238376525886132
4,P/A,pitch,random,1.0136238704767153
5,P/A,pitch,random,0.619111076537757
6,P/A,pitch,random,0.34193005292676826
7,P/A,pitch,random,0.41036399838155735
8,P/A,pitch,random,-0.3314657265044988
9,P/A,pitch,random,0.40225006532172536
10,P/A,pitch,random,-0.0784124127331122
11,P/A,pitch,random,0.1568248254662244
12,P/A,pitch,random,0.17013704715029437
13,P/A,pitch,random,-0.2357230973432829
14,P/A,pitch,random,0.6394521746505131
15,P/A,pitch,random,0.0788982718770585
16,P/A,pitch,random,0.0
17,P/A,pitch,random,0.2357230973432829
18,P/A,pitch,random,0.19728959889237174
19,P/A,pitch,random,0.0788982718770585
1,P/A,syllable,random,1.5616363092149577
2,P/A,syllable,random,2.205157456322413
3,P/A,syllable,random,1.205785922983251
4,P/A,syllable,random,2.16033954962559
5,P/A,syllable,random,2.1132527066081024
6,P/A,syllable,random,0.6980093484148155
7,P/A,syllable,random,2.16033954962559
8,P/A,syllable,random,1.4122402345713074
9,P/A,syllable,random,1.774293118037752
10,P/A,syllable,random,1.771322653681334
11,P/A,syllable,random,1.3555539234034837
12,P/A,syllable,random,0.8087341462857638
13,P/A,syllable,random,0.8548341738810399
14,P/A,syllable,random,2.468360277679545
15,P/A,syllable,random,0.7364428468657267
16,P/A,syllable,random,1.5528435222958554
17,P/A,syllable,random,0.8910264764363949
18,P/A,syllable,random,1.9267711415239357
19,P/A,syllable,random,2.310542305500474
