Sequence_Names,Switch_Names,Percent_Correctness
"A#4_Bb4, C#4_Db4, D5, C4",B4,0.4878048780487805
"A#4_Bb4, D4, C4, D5",C5,0.4146341463414634
"A#4_Bb4, F4, G4, F#4_Gb4",D#5_Eb5,0.926829268292683
"A4, C4, G#4_Ab4, C5",C#4_Db4,0.6829268292682927
"B4, E4, G#4_Ab4, F4",F#4_Gb4,0.43902439024390244
"B4, G4, D#5_Eb5, C#4_Db4",D5,0.5853658536585366
"D#4_Eb4, D4, F4, D#5_Eb5",A4,0.6829268292682927
"D#4_Eb4, F#4_Gb4, D5, D4",E4,0.3902439024390244
"D4, B4, G4, D5",C5,0.5853658536585366
"D4, D#5_Eb5, E4, F#4_Gb4",D#4_Eb4,0.21951219512195122
"D5, B4, C5, E4",F#4_Gb4,0.5365853658536586
"D5, C4, A#4_Bb4, D#4_Eb4",C#4_Db4,0.5609756097560976
"D5, D#5_Eb5, E4, C#4_Db4",G#4_Ab4,0.6829268292682927
"D5, F#4_Gb4, C#4_Db4, B4",A4,0.43902439024390244
"E4, C5, D4, C#5_Db5",D#4_Eb4,0.3170731707317073
"F4, C5, D5, A4",G4,0.6341463414634146
"G#4_Ab4, F#4_Gb4, D#4_Eb4, C#4_Db4",D5,0.9512195121951219
"G4, D4, G#4_Ab4, C#4_Db4",D#5_Eb5,0.975609756097561
"G4, G#4_Ab4, C4, C#5_Db5",D#4_Eb4,0.5609756097560976
"G4, G#4_Ab4, D5, F#4_Gb4",B4,0.6341463414634146
