Sequence_Names,Switch_Names,Percent_Correctness
"11_500ms-changeduration_Stretch__0_3, 17_500ms-changeduration_Stretch__0_3, 26_500ms-changeduration_Stretch__0_3, 5_500ms-changeduration_Stretch__0_3",25_500ms-changeduration_Stretch__0_3,0.7073170731707317
"11_500ms-changeduration_Stretch__0_3, 18_500ms-changeduration_Stretch__0_3, 24_500ms-changeduration_Stretch__0_3, 1_500ms-changeduration_Stretch__0_3",8_500ms-changeduration_Stretch__0_3,0.8292682926829268
"11_500ms-changeduration_Stretch__0_3, 25_500ms-changeduration_Stretch__0_3, 1_500ms-changeduration_Stretch__0_3, 24_500ms-changeduration_Stretch__0_3",17_500ms-changeduration_Stretch__0_3,0.7560975609756098
"11_500ms-changeduration_Stretch__0_3, 25_500ms-changeduration_Stretch__0_3, 5_500ms-changeduration_Stretch__0_3, 17_500ms-changeduration_Stretch__0_3",26_500ms-changeduration_Stretch__0_3,0.7560975609756098
"11_500ms-changeduration_Stretch__0_3, 25_500ms-changeduration_Stretch__0_3, 5_500ms-changeduration_Stretch__0_3, 26_500ms-changeduration_Stretch__0_3",24_500ms-changeduration_Stretch__0_3,0.6585365853658537
"11_500ms-changeduration_Stretch__0_3, 26_500ms-changeduration_Stretch__0_3, 1_500ms-changeduration_Stretch__0_3, 8_500ms-changeduration_Stretch__0_3",25_500ms-changeduration_Stretch__0_3,0.4634146341463415
"17_500ms-changeduration_Stretch__0_3, 5_500ms-changeduration_Stretch__0_3, 11_500ms-changeduration_Stretch__0_3, 24_500ms-changeduration_Stretch__0_3",2_500ms-changeduration_Stretch__0_3,0.6097560975609756
"18_500ms-changeduration_Stretch__0_3, 24_500ms-changeduration_Stretch__0_3, 1_500ms-changeduration_Stretch__0_3, 2_500ms-changeduration_Stretch__0_3",25_500ms-changeduration_Stretch__0_3,0.6829268292682927
"1_500ms-changeduration_Stretch__0_3, 11_500ms-changeduration_Stretch__0_3, 17_500ms-changeduration_Stretch__0_3, 5_500ms-changeduration_Stretch__0_3",8_500ms-changeduration_Stretch__0_3,0.8536585365853658
"1_500ms-changeduration_Stretch__0_3, 26_500ms-changeduration_Stretch__0_3, 8_500ms-changeduration_Stretch__0_3, 2_500ms-changeduration_Stretch__0_3",25_500ms-changeduration_Stretch__0_3,0.6829268292682927
"24_500ms-changeduration_Stretch__0_3, 11_500ms-changeduration_Stretch__0_3, 5_500ms-changeduration_Stretch__0_3, 2_500ms-changeduration_Stretch__0_3",1_500ms-changeduration_Stretch__0_3,0.8048780487804879
"24_500ms-changeduration_Stretch__0_3, 1_500ms-changeduration_Stretch__0_3, 2_500ms-changeduration_Stretch__0_3, 18_500ms-changeduration_Stretch__0_3",11_500ms-changeduration_Stretch__0_3,0.8780487804878049
"24_500ms-changeduration_Stretch__0_3, 5_500ms-changeduration_Stretch__0_3, 18_500ms-changeduration_Stretch__0_3, 11_500ms-changeduration_Stretch__0_3",2_500ms-changeduration_Stretch__0_3,0.5853658536585366
"25_500ms-changeduration_Stretch__0_3, 26_500ms-changeduration_Stretch__0_3, 5_500ms-changeduration_Stretch__0_3, 1_500ms-changeduration_Stretch__0_3",18_500ms-changeduration_Stretch__0_3,0.8292682926829268
"26_500ms-changeduration_Stretch__0_3, 5_500ms-changeduration_Stretch__0_3, 24_500ms-changeduration_Stretch__0_3, 11_500ms-changeduration_Stretch__0_3",1_500ms-changeduration_Stretch__0_3,0.8780487804878049
"2_500ms-changeduration_Stretch__0_3, 11_500ms-changeduration_Stretch__0_3, 18_500ms-changeduration_Stretch__0_3, 17_500ms-changeduration_Stretch__0_3",8_500ms-changeduration_Stretch__0_3,0.8536585365853658
"5_500ms-changeduration_Stretch__0_3, 11_500ms-changeduration_Stretch__0_3, 1_500ms-changeduration_Stretch__0_3, 8_500ms-changeduration_Stretch__0_3",24_500ms-changeduration_Stretch__0_3,0.7073170731707317
"5_500ms-changeduration_Stretch__0_3, 17_500ms-changeduration_Stretch__0_3, 1_500ms-changeduration_Stretch__0_3, 26_500ms-changeduration_Stretch__0_3",24_500ms-changeduration_Stretch__0_3,0.5365853658536586
"5_500ms-changeduration_Stretch__0_3, 1_500ms-changeduration_Stretch__0_3, 25_500ms-changeduration_Stretch__0_3, 11_500ms-changeduration_Stretch__0_3",24_500ms-changeduration_Stretch__0_3,0.6585365853658537
"5_500ms-changeduration_Stretch__0_3, 2_500ms-changeduration_Stretch__0_3, 17_500ms-changeduration_Stretch__0_3, 8_500ms-changeduration_Stretch__0_3",18_500ms-changeduration_Stretch__0_3,0.43902439024390244
