Spreadsheet: A,Spreadsheet: B,Similarity_Distance
11_300ms.wav,17_300ms.wav,1.7857142857142858
11_300ms.wav,18_300ms.wav,2.625
11_300ms.wav,1_300ms.wav,3.3333333333333335
11_300ms.wav,24_300ms.wav,1.8333333333333333
11_300ms.wav,25_300ms.wav,2.1538461538461537
11_300ms.wav,26_300ms.wav,3.076923076923077
11_300ms.wav,5_300ms.wav,2.9
11_300ms.wav,8_300ms.wav,3.0
11_300ms.wav,A4.wav,4.461538461538462
11_300ms.wav,C4.wav,4.888888888888889
11_300ms.wav,Cs5_Db5.wav,4.888888888888889
11_300ms.wav,D4.wav,5.071428571428571
11_300ms.wav,Ds5_Eb5.wav,4.636363636363637
11_300ms.wav,E4.wav,5.0
11_300ms.wav,Fs4_Gb4.wav,4.555555555555555
11_300ms.wav,G4.wav,4.666666666666667
11_300ms.wav,Gs4_Ab4.wav,4.75
17_300ms.wav,11_300ms.wav,1.6666666666666667
17_300ms.wav,18_300ms.wav,1.4545454545454546
17_300ms.wav,1_300ms.wav,3.0
17_300ms.wav,24_300ms.wav,2.4545454545454546
17_300ms.wav,25_300ms.wav,2.6
17_300ms.wav,26_300ms.wav,3.0
17_300ms.wav,5_300ms.wav,3.076923076923077
17_300ms.wav,8_300ms.wav,3.0
17_300ms.wav,A4.wav,4.833333333333333
17_300ms.wav,C4.wav,4.888888888888889
17_300ms.wav,Cs5_Db5.wav,4.454545454545454
17_300ms.wav,D4.wav,4.777777777777778
17_300ms.wav,Ds5_Eb5.wav,4.0
17_300ms.wav,E4.wav,4.769230769230769
17_300ms.wav,Fs4_Gb4.wav,5.0
17_300ms.wav,G4.wav,5.230769230769231
17_300ms.wav,Gs4_Ab4.wav,4.222222222222222
18_300ms.wav,11_300ms.wav,1.9166666666666667
18_300ms.wav,17_300ms.wav,1.2222222222222223
18_300ms.wav,1_300ms.wav,3.0
18_300ms.wav,24_300ms.wav,2.5
18_300ms.wav,25_300ms.wav,2.4
18_300ms.wav,26_300ms.wav,3.3
18_300ms.wav,5_300ms.wav,3.2
18_300ms.wav,8_300ms.wav,2.7142857142857144
18_300ms.wav,A4.wav,5.2
18_300ms.wav,C4.wav,4.375
18_300ms.wav,Cs5_Db5.wav,5.0
18_300ms.wav,D4.wav,4.5
18_300ms.wav,Ds5_Eb5.wav,4.545454545454546
18_300ms.wav,E4.wav,5.125
18_300ms.wav,Fs4_Gb4.wav,4.6
18_300ms.wav,G4.wav,4.9
18_300ms.wav,Gs4_Ab4.wav,4.7
1_300ms.wav,11_300ms.wav,2.5714285714285716
1_300ms.wav,17_300ms.wav,3.6666666666666665
1_300ms.wav,18_300ms.wav,3.3333333333333335
1_300ms.wav,24_300ms.wav,2.4615384615384617
1_300ms.wav,25_300ms.wav,2.3333333333333335
1_300ms.wav,26_300ms.wav,3.6363636363636362
1_300ms.wav,5_300ms.wav,3.0
1_300ms.wav,8_300ms.wav,2.5555555555555554
1_300ms.wav,A4.wav,4.8
1_300ms.wav,C4.wav,5.2727272727272725
1_300ms.wav,Cs5_Db5.wav,5.0
1_300ms.wav,D4.wav,5.363636363636363
1_300ms.wav,Ds5_Eb5.wav,4.090909090909091
1_300ms.wav,E4.wav,5.0
1_300ms.wav,Fs4_Gb4.wav,4.875
1_300ms.wav,G4.wav,4.222222222222222
1_300ms.wav,Gs4_Ab4.wav,5.111111111111111
24_300ms.wav,11_300ms.wav,2.125
24_300ms.wav,17_300ms.wav,2.4444444444444446
24_300ms.wav,18_300ms.wav,1.875
24_300ms.wav,1_300ms.wav,2.857142857142857
24_300ms.wav,25_300ms.wav,1.8571428571428572
24_300ms.wav,26_300ms.wav,2.7
24_300ms.wav,5_300ms.wav,2.6363636363636362
24_300ms.wav,8_300ms.wav,2.0
24_300ms.wav,A4.wav,4.75
24_300ms.wav,C4.wav,4.666666666666667
24_300ms.wav,Cs5_Db5.wav,3.3333333333333335
24_300ms.wav,D4.wav,4.857142857142857
24_300ms.wav,Ds5_Eb5.wav,4.222222222222222
24_300ms.wav,E4.wav,5.285714285714286
24_300ms.wav,Fs4_Gb4.wav,4.9
24_300ms.wav,G4.wav,4.666666666666667
24_300ms.wav,Gs4_Ab4.wav,4.076923076923077
25_300ms.wav,11_300ms.wav,1.7142857142857142
25_300ms.wav,17_300ms.wav,2.6
25_300ms.wav,18_300ms.wav,2.7
25_300ms.wav,1_300ms.wav,2.75
25_300ms.wav,24_300ms.wav,2.4615384615384617
25_300ms.wav,26_300ms.wav,3.857142857142857
25_300ms.wav,5_300ms.wav,3.5714285714285716
25_300ms.wav,8_300ms.wav,2.2
25_300ms.wav,A4.wav,4.8
25_300ms.wav,C4.wav,4.75
25_300ms.wav,Cs5_Db5.wav,4.666666666666667
25_300ms.wav,D4.wav,4.7272727272727275
25_300ms.wav,Ds5_Eb5.wav,3.875
25_300ms.wav,E4.wav,4.2727272727272725
25_300ms.wav,Fs4_Gb4.wav,4.461538461538462
25_300ms.wav,G4.wav,4.666666666666667
25_300ms.wav,Gs4_Ab4.wav,5.076923076923077
26_300ms.wav,11_300ms.wav,3.0
26_300ms.wav,17_300ms.wav,2.533333333333333
26_300ms.wav,18_300ms.wav,3.2
26_300ms.wav,1_300ms.wav,3.3333333333333335
26_300ms.wav,24_300ms.wav,2.7
26_300ms.wav,25_300ms.wav,3.076923076923077
26_300ms.wav,5_300ms.wav,3.0
26_300ms.wav,8_300ms.wav,3.272727272727273
26_300ms.wav,A4.wav,5.25
26_300ms.wav,C4.wav,5.428571428571429
26_300ms.wav,Cs5_Db5.wav,4.75
26_300ms.wav,D4.wav,5.166666666666667
26_300ms.wav,Ds5_Eb5.wav,4.625
26_300ms.wav,E4.wav,4.3
26_300ms.wav,Fs4_Gb4.wav,4.7
26_300ms.wav,G4.wav,5.181818181818182
26_300ms.wav,Gs4_Ab4.wav,4.0
5_300ms.wav,11_300ms.wav,2.8
5_300ms.wav,17_300ms.wav,2.2857142857142856
