Sequence_Names,Switch_Names,Percent_Correctness
"A4, C5, D#4_Eb4, C#5_Db5",C4,0.875
"A4, D4, D#4_Eb4, F#4_Gb4",D#5_Eb5,0.875
"A4, F#4_Gb4, A#4_Bb4, D5",G#4_Ab4,0.675
"A4, F4, D4, G4",G#4_Ab4,0.4
"B4, F#4_Gb4, A4, C#5_Db5",D5,0.55
"C#4_Db4, A#4_Bb4, C5, C#5_Db5",E4,0.775
"C#4_Db4, D5, G4, C5",D4,0.45
"C4, B4, D4, E4",D#4_Eb4,0.375
"C4, D#4_Eb4, C#4_Db4, A4",E4,0.55
"C4, D4, G4, A4",B4,0.725
"D#5_Eb5, D#4_Eb4, C#4_Db4, C4",B4,0.75
"D4, C#5_Db5, G4, D5",D#4_Eb4,0.85
"D5, D#5_Eb5, C5, F#4_Gb4",C#4_Db4,0.875
"D5, D4, D#5_Eb5, G4",F#4_Gb4,0.75
"E4, A4, C#5_Db5, F4",C5,0.75
"F#4_Gb4, F4, D4, A4",C4,0.95
"F#4_Gb4, G4, D#5_Eb5, C4",F4,0.425
"F4, C5, B4, C#5_Db5",A#4_Bb4,0.5
"G#4_Ab4, D4, A4, D#4_Eb4",D5,0.925
"G#4_Ab4, F4, G4, D#5_Eb5",D5,0.4
