Sequence_Names,Switch_Names,Percent_Correctness
"bell_3ms, phone_ring_3ms, brush_teeth_3ms, baby_3ms",car_engine_3ms,0.575
"brush_teeth_3ms, baby_3ms, phone_ring_3ms, snore_3ms",foot_step_3ms,0.65
"car_engine_3ms, foot_step_3ms, bell_3ms, cough_3ms",baby_3ms,0.975
"cough_3ms, brush_teeth_3ms, car_horn_3ms, bell_3ms",phone_ring_3ms,0.875
"cough_3ms, brush_teeth_3ms, drink_water_3ms, car_engine_3ms",snore_3ms,0.9
"cough_3ms, laugh_3ms, brush_teeth_3ms, car_engine_3ms",sheep_3ms,0.675
"drink_water_3ms, baby_3ms, car_horn_3ms, brush_teeth_3ms",foot_step_3ms,0.5
"drink_water_3ms, car_horn_3ms, frog_3ms, car_engine_3ms",foot_step_3ms,0.625
"foot_step_3ms, sheep_3ms, phone_ring_3ms, motor_3ms",drink_water_3ms,0.65
"foot_step_3ms, sizzling_pan_3ms, laugh_3ms, frog_3ms",phone_ring_3ms,0.85
"frog_3ms, brush_teeth_3ms, sheep_3ms, snore_3ms",car_horn_3ms,0.875
"laugh_3ms, bell_3ms, frog_3ms, motor_3ms",car_horn_3ms,0.65
"laugh_3ms, snore_3ms, car_engine_3ms, bell_3ms",motor_3ms,0.45
"motor_3ms, cough_3ms, brush_teeth_3ms, phone_ring_3ms",baby_3ms,1.0
"motor_3ms, cough_3ms, sheep_3ms, brush_teeth_3ms",drink_water_3ms,0.8
"motor_3ms, sheep_3ms, frog_3ms, bell_3ms",foot_step_3ms,0.7
"motor_3ms, sizzling_pan_3ms, snore_3ms, drink_water_3ms",brush_teeth_3ms,0.975
"phone_ring_3ms, bell_3ms, sheep_3ms, cough_3ms",frog_3ms,0.625
"sheep_3ms, brush_teeth_3ms, sizzling_pan_3ms, snore_3ms",cough_3ms,0.925
"sheep_3ms, motor_3ms, bell_3ms, sizzling_pan_3ms",frog_3ms,0.875
