Spreadsheet: A,Spreadsheet: B,Similarity_Distance
A4.wav,C4.wav,2.090909090909091
A4.wav,Cs5_Db5.wav,1.0
A4.wav,D4.wav,1.5
A4.wav,Ds5_Eb5.wav,1.6
A4.wav,E4.wav,0.75
A4.wav,Fs4_Gb4.wav,1.2142857142857142
A4.wav,G4.wav,1.0
A4.wav,Gs4_Ab4.wav,0.5833333333333334
A4.wav,baby_3ms.wav,4.125
A4.wav,bell_3ms.wav,5.2
A4.wav,car_engine_3ms.wav,5.125
A4.wav,cough_3ms.wav,5.444444444444445
A4.wav,frog_3ms.wav,4.7272727272727275
A4.wav,laugh_3ms.wav,5.8
A4.wav,sheep_3ms.wav,5.111111111111111
A4.wav,sizzling_pan_3ms.wav,5.666666666666667
A4.wav,snore_3ms.wav,5.181818181818182
C4.wav,A4.wav,1.4444444444444444
C4.wav,Cs5_Db5.wav,2.5555555555555554
C4.wav,D4.wav,1.7142857142857142
C4.wav,Ds5_Eb5.wav,2.6363636363636362
C4.wav,E4.wav,1.8571428571428572
C4.wav,Fs4_Gb4.wav,1.5555555555555556
C4.wav,G4.wav,2.3333333333333335
C4.wav,Gs4_Ab4.wav,1.1
C4.wav,baby_3ms.wav,5.0
C4.wav,bell_3ms.wav,5.25
C4.wav,car_engine_3ms.wav,5.142857142857143
C4.wav,cough_3ms.wav,5.0
C4.wav,frog_3ms.wav,4.75
C4.wav,laugh_3ms.wav,5.0
C4.wav,sheep_3ms.wav,5.285714285714286
C4.wav,sizzling_pan_3ms.wav,5.363636363636363
C4.wav,snore_3ms.wav,5.666666666666667
Cs5_Db5.wav,A4.wav,1.25
Cs5_Db5.wav,C4.wav,1.7272727272727273
Cs5_Db5.wav,D4.wav,1.9333333333333333
Cs5_Db5.wav,Ds5_Eb5.wav,0.625
Cs5_Db5.wav,E4.wav,2.142857142857143
Cs5_Db5.wav,Fs4_Gb4.wav,1.0
Cs5_Db5.wav,G4.wav,1.5454545454545454
Cs5_Db5.wav,Gs4_Ab4.wav,1.0
Cs5_Db5.wav,baby_3ms.wav,4.25
Cs5_Db5.wav,bell_3ms.wav,5.083333333333333
Cs5_Db5.wav,car_engine_3ms.wav,5.076923076923077
Cs5_Db5.wav,cough_3ms.wav,5.666666666666667
Cs5_Db5.wav,frog_3ms.wav,5.1
Cs5_Db5.wav,laugh_3ms.wav,5.3
Cs5_Db5.wav,sheep_3ms.wav,4.7
Cs5_Db5.wav,sizzling_pan_3ms.wav,5.875
Cs5_Db5.wav,snore_3ms.wav,5.363636363636363
D4.wav,A4.wav,1.4
D4.wav,C4.wav,1.0769230769230769
D4.wav,Cs5_Db5.wav,1.0
D4.wav,Ds5_Eb5.wav,2.0
D4.wav,E4.wav,0.6923076923076923
D4.wav,Fs4_Gb4.wav,1.4444444444444444
D4.wav,G4.wav,1.25
D4.wav,Gs4_Ab4.wav,1.7777777777777777
D4.wav,baby_3ms.wav,5.454545454545454
D4.wav,bell_3ms.wav,4.625
D4.wav,car_engine_3ms.wav,5.363636363636363
D4.wav,cough_3ms.wav,5.545454545454546
D4.wav,frog_3ms.wav,5.0
D4.wav,laugh_3ms.wav,5.555555555555555
D4.wav,sheep_3ms.wav,5.4
D4.wav,sizzling_pan_3ms.wav,5.3076923076923075
D4.wav,snore_3ms.wav,5.375
Ds5_Eb5.wav,A4.wav,1.4666666666666666
Ds5_Eb5.wav,C4.wav,1.7777777777777777
Ds5_Eb5.wav,Cs5_Db5.wav,0.75
Ds5_Eb5.wav,D4.wav,1.8333333333333333
Ds5_Eb5.wav,E4.wav,1.9
Ds5_Eb5.wav,Fs4_Gb4.wav,2.090909090909091
Ds5_Eb5.wav,G4.wav,1.5833333333333333
Ds5_Eb5.wav,Gs4_Ab4.wav,1.9166666666666667
Ds5_Eb5.wav,baby_3ms.wav,5.545454545454546
Ds5_Eb5.wav,bell_3ms.wav,5.0
Ds5_Eb5.wav,car_engine_3ms.wav,5.625
Ds5_Eb5.wav,cough_3ms.wav,5.636363636363637
Ds5_Eb5.wav,frog_3ms.wav,4.9
Ds5_Eb5.wav,laugh_3ms.wav,5.714285714285714
Ds5_Eb5.wav,sheep_3ms.wav,4.818181818181818
Ds5_Eb5.wav,sizzling_pan_3ms.wav,5.3
Ds5_Eb5.wav,snore_3ms.wav,5.166666666666667
E4.wav,A4.wav,1.125
E4.wav,C4.wav,0.9230769230769231
E4.wav,Cs5_Db5.wav,1.9230769230769231
E4.wav,D4.wav,1.0
E4.wav,Ds5_Eb5.wav,2.3
E4.wav,Fs4_Gb4.wav,1.0
E4.wav,G4.wav,0.6666666666666666
E4.wav,Gs4_Ab4.wav,1.0
E4.wav,baby_3ms.wav,5.285714285714286
E4.wav,bell_3ms.wav,5.222222222222222
E4.wav,car_engine_3ms.wav,4.846153846153846
E4.wav,cough_3ms.wav,5.0
E4.wav,frog_3ms.wav,5.0
E4.wav,laugh_3ms.wav,4.75
E4.wav,sheep_3ms.wav,4.636363636363637
E4.wav,sizzling_pan_3ms.wav,5.5
E4.wav,snore_3ms.wav,5.090909090909091
Fs4_Gb4.wav,A4.wav,2.0
Fs4_Gb4.wav,C4.wav,1.0909090909090908
Fs4_Gb4.wav,Cs5_Db5.wav,1.75
Fs4_Gb4.wav,D4.wav,1.3636363636363635
Fs4_Gb4.wav,Ds5_Eb5.wav,1.3333333333333333
Fs4_Gb4.wav,E4.wav,0.5
Fs4_Gb4.wav,G4.wav,0.6428571428571429
Fs4_Gb4.wav,Gs4_Ab4.wav,0.9090909090909091
Fs4_Gb4.wav,baby_3ms.wav,4.888888888888889
Fs4_Gb4.wav,bell_3ms.wav,4.538461538461538
Fs4_Gb4.wav,car_engine_3ms.wav,5.555555555555555
Fs4_Gb4.wav,cough_3ms.wav,5.4
Fs4_Gb4.wav,frog_3ms.wav,5.333333333333333
Fs4_Gb4.wav,laugh_3ms.wav,5.4
Fs4_Gb4.wav,sheep_3ms.wav,4.6923076923076925
Fs4_Gb4.wav,sizzling_pan_3ms.wav,5.25
Fs4_Gb4.wav,snore_3ms.wav,5.5
G4.wav,A4.wav,1.0
G4.wav,C4.wav,1.6428571428571428
G4.wav,Cs5_Db5.wav,1.4444444444444444
G4.wav,D4.wav,1.4166666666666667
G4.wav,Ds5_Eb5.wav,1.625
G4.wav,E4.wav,1.4545454545454546
G4.wav,Fs4_Gb4.wav,0.5
G4.wav,Gs4_Ab4.wav,1.0
G4.wav,baby_3ms.wav,5.0
G4.wav,bell_3ms.wav,5.333333333333333
G4.wav,car_engine_3ms.wav,5.083333333333333
G4.wav,cough_3ms.wav,5.4
G4.wav,frog_3ms.wav,5.0
G4.wav,laugh_3ms.wav,5.888888888888889
G4.wav,sheep_3ms.wav,4.666666666666667
G4.wav,sizzling_pan_3ms.wav,5.545454545454546
G4.wav,snore_3ms.wav,5.0
Gs4_Ab4.wav,A4.wav,0.75
Gs4_Ab4.wav,C4.wav,2.4
