Sequence_Names,Switch_Names,Percent_Correctness
"A#4_Bb4, B4, E4, F4",A#4_Bb4,0.9024390243902439
"A#4_Bb4, D#5_Eb5, D5, A4",D#5_Eb5,0.6829268292682927
"A4, F4, A#4_Bb4, C#5_Db5",A4,0.8048780487804879
"B4, A4, G#4_Ab4, C5",C5,0.9512195121951219
"B4, E4, D#4_Eb4, G#4_Ab4",B4,0.8536585365853658
"C#4_Db4, C#5_Db5, C4, A#4_Bb4",C#5_Db5,0.7560975609756098
"C#4_Db4, E4, B4, C4",C4,0.926829268292683
"C4, D5, G#4_Ab4, C#5_Db5",D5,0.9512195121951219
"D#4_Eb4, D#5_Eb5, C4, F#4_Gb4",F#4_Gb4,0.8780487804878049
"D#4_Eb4, E4, C5, G#4_Ab4",G#4_Ab4,0.975609756097561
"D#5_Eb5, A#4_Bb4, D#4_Eb4, E4",E4,0.8780487804878049
"D#5_Eb5, C5, F#4_Gb4, E4",C5,0.6829268292682927
"D4, C4, D5, G#4_Ab4",D5,0.8292682926829268
"D4, D5, D#5_Eb5, B4",D4,0.6097560975609756
"D4, G4, A4, F4",A4,0.7073170731707317
"D5, A#4_Bb4, F4, C5",F4,0.43902439024390244
"D5, D#5_Eb5, G#4_Ab4, F4",G#4_Ab4,0.6341463414634146
"E4, C#4_Db4, A4, C#5_Db5",E4,0.7317073170731707
"E4, F4, C5, A#4_Bb4",C5,0.6585365853658537
"F4, A4, G#4_Ab4, F#4_Gb4",A4,0.8292682926829268
