Sequence_Names,Switch_Names,Percent_Correctness
"11_500ms-changeduration_Stretch__0_3, 17_500ms-changeduration_Stretch__0_3, 25_500ms-changeduration_Stretch__0_3, 24_500ms-changeduration_Stretch__0_3",17_500ms-changeduration_Stretch__0_3,0.7804878048780488
"17_500ms-changeduration_Stretch__0_3, 24_500ms-changeduration_Stretch__0_3, 18_500ms-changeduration_Stretch__0_3, 25_500ms-changeduration_Stretch__0_3",18_500ms-changeduration_Stretch__0_3,0.9512195121951219
"17_500ms-changeduration_Stretch__0_3, 24_500ms-changeduration_Stretch__0_3, 25_500ms-changeduration_Stretch__0_3, 5_500ms-changeduration_Stretch__0_3",17_500ms-changeduration_Stretch__0_3,0.7073170731707317
"17_500ms-changeduration_Stretch__0_3, 24_500ms-changeduration_Stretch__0_3, 26_500ms-changeduration_Stretch__0_3, 25_500ms-changeduration_Stretch__0_3",24_500ms-changeduration_Stretch__0_3,0.7560975609756098
"17_500ms-changeduration_Stretch__0_3, 8_500ms-changeduration_Stretch__0_3, 5_500ms-changeduration_Stretch__0_3, 25_500ms-changeduration_Stretch__0_3",17_500ms-changeduration_Stretch__0_3,0.6829268292682927
"18_500ms-changeduration_Stretch__0_3, 5_500ms-changeduration_Stretch__0_3, 2_500ms-changeduration_Stretch__0_3, 8_500ms-changeduration_Stretch__0_3",8_500ms-changeduration_Stretch__0_3,0.9024390243902439
"1_500ms-changeduration_Stretch__0_3, 24_500ms-changeduration_Stretch__0_3, 26_500ms-changeduration_Stretch__0_3, 18_500ms-changeduration_Stretch__0_3",24_500ms-changeduration_Stretch__0_3,0.7317073170731707
"1_500ms-changeduration_Stretch__0_3, 24_500ms-changeduration_Stretch__0_3, 2_500ms-changeduration_Stretch__0_3, 25_500ms-changeduration_Stretch__0_3",2_500ms-changeduration_Stretch__0_3,0.8048780487804879
"1_500ms-changeduration_Stretch__0_3, 2_500ms-changeduration_Stretch__0_3, 25_500ms-changeduration_Stretch__0_3, 5_500ms-changeduration_Stretch__0_3",1_500ms-changeduration_Stretch__0_3,0.7804878048780488
"24_500ms-changeduration_Stretch__0_3, 11_500ms-changeduration_Stretch__0_3, 25_500ms-changeduration_Stretch__0_3, 5_500ms-changeduration_Stretch__0_3",5_500ms-changeduration_Stretch__0_3,0.975609756097561
"24_500ms-changeduration_Stretch__0_3, 17_500ms-changeduration_Stretch__0_3, 2_500ms-changeduration_Stretch__0_3, 8_500ms-changeduration_Stretch__0_3",8_500ms-changeduration_Stretch__0_3,0.926829268292683
"24_500ms-changeduration_Stretch__0_3, 25_500ms-changeduration_Stretch__0_3, 26_500ms-changeduration_Stretch__0_3, 2_500ms-changeduration_Stretch__0_3",2_500ms-changeduration_Stretch__0_3,0.975609756097561
"25_500ms-changeduration_Stretch__0_3, 1_500ms-changeduration_Stretch__0_3, 8_500ms-changeduration_Stretch__0_3, 2_500ms-changeduration_Stretch__0_3",2_500ms-changeduration_Stretch__0_3,0.975609756097561
"25_500ms-changeduration_Stretch__0_3, 5_500ms-changeduration_Stretch__0_3, 26_500ms-changeduration_Stretch__0_3, 24_500ms-changeduration_Stretch__0_3",26_500ms-changeduration_Stretch__0_3,0.7804878048780488
"2_500ms-changeduration_Stretch__0_3, 24_500ms-changeduration_Stretch__0_3, 25_500ms-changeduration_Stretch__0_3, 17_500ms-changeduration_Stretch__0_3",25_500ms-changeduration_Stretch__0_3,0.8536585365853658
"2_500ms-changeduration_Stretch__0_3, 26_500ms-changeduration_Stretch__0_3, 1_500ms-changeduration_Stretch__0_3, 8_500ms-changeduration_Stretch__0_3",1_500ms-changeduration_Stretch__0_3,0.9024390243902439
"2_500ms-changeduration_Stretch__0_3, 26_500ms-changeduration_Stretch__0_3, 8_500ms-changeduration_Stretch__0_3, 5_500ms-changeduration_Stretch__0_3",2_500ms-changeduration_Stretch__0_3,0.8780487804878049
"2_500ms-changeduration_Stretch__0_3, 5_500ms-changeduration_Stretch__0_3, 1_500ms-changeduration_Stretch__0_3, 8_500ms-changeduration_Stretch__0_3",5_500ms-changeduration_Stretch__0_3,0.8292682926829268
"2_500ms-changeduration_Stretch__0_3, 5_500ms-changeduration_Stretch__0_3, 8_500ms-changeduration_Stretch__0_3, 25_500ms-changeduration_Stretch__0_3",5_500ms-changeduration_Stretch__0_3,0.9024390243902439
"8_500ms-changeduration_Stretch__0_3, 11_500ms-changeduration_Stretch__0_3, 18_500ms-changeduration_Stretch__0_3, 26_500ms-changeduration_Stretch__0_3",8_500ms-changeduration_Stretch__0_3,0.6585365853658537
