Sequence_Names,Switch_Names,Percent_Correctness
"A#4_Bb4, F4, D4, B4",F4,0.575
"A4, C#4_Db4, C#5_Db5, B4",B4,0.9
"C#4_Db4, G#4_Ab4, D#4_Eb4, A#4_Bb4",G#4_Ab4,0.475
"C#5_Db5, A4, F#4_Gb4, G4",G4,0.9
"C#5_Db5, G#4_Ab4, C#4_Db4, B4",C#5_Db5,0.8
"C4, E4, D5, G4",G4,0.825
"C5, G4, D#5_Eb5, E4",G4,0.725
"D#4_Eb4, E4, F4, D4",F4,0.75
"D#4_Eb4, G4, G#4_Ab4, D4",G#4_Ab4,0.675
"D4, C5, A#4_Bb4, C4",C4,0.9
"D5, D4, C#5_Db5, C#4_Db4",C#5_Db5,0.85
"E4, A4, F4, F#4_Gb4",A4,0.525
"E4, B4, D4, C#4_Db4",D4,0.825
"F#4_Gb4, C#4_Db4, F4, D#5_Eb5",F#4_Gb4,0.625
"F#4_Gb4, G4, D4, C#5_Db5",F#4_Gb4,0.7
"G#4_Ab4, C5, F#4_Gb4, A4",G#4_Ab4,0.85
"G#4_Ab4, D5, C5, E4",D5,0.65
"G4, D4, D#5_Eb5, F#4_Gb4",F#4_Gb4,0.8
"G4, D5, D#5_Eb5, C4",G4,0.55
"G4, G#4_Ab4, A4, A#4_Bb4",A4,0.7
