Sequence_Names,Switch_Names,Percent_Correctness
"baby_3ms, motor_3ms, sizzling_pan_3ms, cough_3ms",sizzling_pan_3ms,1.0
"bell_3ms, brush_teeth_3ms, snore_3ms, motor_3ms",motor_3ms,0.95
"bell_3ms, car_engine_3ms, frog_3ms, brush_teeth_3ms",brush_teeth_3ms,1.0
"bell_3ms, frog_3ms, motor_3ms, car_horn_3ms",bell_3ms,0.95
"bell_3ms, phone_ring_3ms, motor_3ms, sizzling_pan_3ms",sizzling_pan_3ms,1.0
"bell_3ms, sizzling_pan_3ms, phone_ring_3ms, cough_3ms",sizzling_pan_3ms,0.925
"bell_3ms, snore_3ms, motor_3ms, sizzling_pan_3ms",motor_3ms,0.975
"car_engine_3ms, cough_3ms, laugh_3ms, foot_step_3ms",laugh_3ms,1.0
"car_horn_3ms, sheep_3ms, motor_3ms, brush_teeth_3ms",motor_3ms,0.975
"drink_water_3ms, foot_step_3ms, car_engine_3ms, snore_3ms",car_engine_3ms,0.975
"drink_water_3ms, foot_step_3ms, sizzling_pan_3ms, bell_3ms",foot_step_3ms,0.925
"frog_3ms, drink_water_3ms, baby_3ms, phone_ring_3ms",drink_water_3ms,0.925
"frog_3ms, snore_3ms, foot_step_3ms, bell_3ms",frog_3ms,0.8
"laugh_3ms, bell_3ms, motor_3ms, sheep_3ms",sheep_3ms,0.95
"laugh_3ms, brush_teeth_3ms, car_engine_3ms, car_horn_3ms",laugh_3ms,0.925
"motor_3ms, snore_3ms, car_horn_3ms, foot_step_3ms",motor_3ms,0.85
"phone_ring_3ms, laugh_3ms, snore_3ms, drink_water_3ms",laugh_3ms,0.95
"phone_ring_3ms, motor_3ms, bell_3ms, car_engine_3ms",motor_3ms,0.975
"phone_ring_3ms, snore_3ms, brush_teeth_3ms, sheep_3ms",sheep_3ms,1.0
"snore_3ms, drink_water_3ms, foot_step_3ms, phone_ring_3ms",snore_3ms,1.0
