Spreadsheet: A,Spreadsheet: B,Similarity_Distance
A4.wav,As4_Bb4.wav,2.2
A4.wav,B4.wav,3.5714285714285716
A4.wav,C4.wav,4.6
A4.wav,C5.wav,2.2
A4.wav,Cs4_Db4.wav,4.153846153846154
A4.wav,Cs5_Db5.wav,3.3636363636363638
A4.wav,D4.wav,4.1
A4.wav,D5.wav,4.285714285714286
A4.wav,Ds4_Eb4.wav,4.125
A4.wav,Ds5_Eb5.wav,4.6923076923076925
A4.wav,E4.wav,3.3636363636363638
A4.wav,F4.wav,3.8
A4.wav,Fs4_Gb4.wav,2.888888888888889
A4.wav,G4.wav,3.5
A4.wav,Gs4_Ab4.wav,2.6
As4_Bb4.wav,A4.wav,3.111111111111111
As4_Bb4.wav,B4.wav,1.9090909090909092
As4_Bb4.wav,C4.wav,4.916666666666667
As4_Bb4.wav,C5.wav,2.727272727272727
As4_Bb4.wav,Cs4_Db4.wav,4.8
As4_Bb4.wav,Cs5_Db5.wav,2.923076923076923
As4_Bb4.wav,D4.wav,4.777777777777778
As4_Bb4.wav,D5.wav,4.166666666666667
As4_Bb4.wav,Ds4_Eb4.wav,3.9375
As4_Bb4.wav,Ds5_Eb5.wav,4.0
As4_Bb4.wav,E4.wav,4.555555555555555
As4_Bb4.wav,F4.wav,3.076923076923077
As4_Bb4.wav,Fs4_Gb4.wav,3.7777777777777777
As4_Bb4.wav,G4.wav,3.4
As4_Bb4.wav,Gs4_Ab4.wav,2.727272727272727
B4.wav,A4.wav,2.4166666666666665
B4.wav,As4_Bb4.wav,2.75
B4.wav,C4.wav,4.7
B4.wav,C5.wav,2.8333333333333335
B4.wav,Cs4_Db4.wav,4.5
B4.wav,Cs5_Db5.wav,3.0
B4.wav,D4.wav,4.181818181818182
B4.wav,D5.wav,3.6666666666666665
B4.wav,Ds4_Eb4.wav,3.6666666666666665
B4.wav,Ds5_Eb5.wav,3.6
B4.wav,E4.wav,3.8
B4.wav,F4.wav,3.6666666666666665
B4.wav,Fs4_Gb4.wav,3.625
B4.wav,G4.wav,3.4285714285714284
B4.wav,Gs4_Ab4.wav,2.9166666666666665
C4.wav,A4.wav,4.222222222222222
C4.wav,As4_Bb4.wav,4.285714285714286
C4.wav,B4.wav,4.0
C4.wav,C5.wav,4.7
C4.wav,Cs4_Db4.wav,1.5
C4.wav,Cs5_Db5.wav,5.0
C4.wav,D4.wav,1.8181818181818181
C4.wav,D5.wav,4.625
C4.wav,Ds4_Eb4.wav,2.6923076923076925
C4.wav,Ds5_Eb5.wav,5.090909090909091
C4.wav,E4.wav,2.8181818181818183
C4.wav,F4.wav,4.090909090909091
C4.wav,Fs4_Gb4.wav,3.6153846153846154
C4.wav,G4.wav,4.125
C4.wav,Gs4_Ab4.wav,4.2727272727272725
C5.wav,A4.wav,3.6666666666666665
C5.wav,As4_Bb4.wav,3.25
C5.wav,B4.wav,2.4615384615384617
C5.wav,C4.wav,5.444444444444445
C5.wav,Cs4_Db4.wav,5.5
C5.wav,Cs5_Db5.wav,2.375
C5.wav,D4.wav,4.75
C5.wav,D5.wav,3.5
C5.wav,Ds4_Eb4.wav,3.142857142857143
C5.wav,Ds5_Eb5.wav,2.909090909090909
C5.wav,E4.wav,4.583333333333333
C5.wav,F4.wav,4.5
C5.wav,Fs4_Gb4.wav,3.0
C5.wav,G4.wav,3.3333333333333335
C5.wav,Gs4_Ab4.wav,3.2
Cs4_Db4.wav,A4.wav,4.0
Cs4_Db4.wav,As4_Bb4.wav,3.7777777777777777
Cs4_Db4.wav,B4.wav,4.866666666666666
Cs4_Db4.wav,C4.wav,1.3076923076923077
Cs4_Db4.wav,C5.wav,5.111111111111111
Cs4_Db4.wav,Cs5_Db5.wav,5.2
Cs4_Db4.wav,D4.wav,2.3636363636363638
Cs4_Db4.wav,D5.wav,5.090909090909091
Cs4_Db4.wav,Ds4_Eb4.wav,2.375
Cs4_Db4.wav,Ds5_Eb5.wav,5.0
Cs4_Db4.wav,E4.wav,2.8181818181818183
Cs4_Db4.wav,F4.wav,3.4444444444444446
Cs4_Db4.wav,Fs4_Gb4.wav,3.0
Cs4_Db4.wav,G4.wav,3.25
Cs4_Db4.wav,Gs4_Ab4.wav,3.8
Cs5_Db5.wav,A4.wav,3.5
Cs5_Db5.wav,As4_Bb4.wav,2.8333333333333335
Cs5_Db5.wav,B4.wav,3.125
Cs5_Db5.wav,C4.wav,5.555555555555555
Cs5_Db5.wav,C5.wav,2.272727272727273
Cs5_Db5.wav,Cs4_Db4.wav,5.222222222222222
Cs5_Db5.wav,D4.wav,5.25
Cs5_Db5.wav,D5.wav,2.2
Cs5_Db5.wav,Ds4_Eb4.wav,4.3076923076923075
Cs5_Db5.wav,Ds5_Eb5.wav,2.909090909090909
Cs5_Db5.wav,E4.wav,5.0
Cs5_Db5.wav,F4.wav,4.6875
Cs5_Db5.wav,Fs4_Gb4.wav,3.625
Cs5_Db5.wav,G4.wav,4.0
Cs5_Db5.wav,Gs4_Ab4.wav,2.7142857142857144
D4.wav,A4.wav,3.7777777777777777
D4.wav,As4_Bb4.wav,4.1
D4.wav,B4.wav,4.375
D4.wav,C4.wav,1.875
D4.wav,C5.wav,4.363636363636363
