Spreadsheet: A,Spreadsheet: B,Similarity_Distance
A4.wav,A#4_Bb4.wav,2.2
A4.wav,B4.wav,3.5714285714285700
A4.wav,C4.wav,4.6
A4.wav,C5.wav,2.2
A4.wav,C#4_Db4.wav,4.153846153846150
A4.wav,C#5_Db5.wav,3.3636363636363600
A4.wav,D4.wav,4.1
A4.wav,D5.wav,4.285714285714290
A4.wav,D#4_Eb4.wav,4.125
A4.wav,D#5_Eb5.wav,4.6923076923076900
A4.wav,E4.wav,3.3636363636363600
A4.wav,F4.wav,3.8
A4.wav,F#4_Gb4.wav,2.888888888888890
A4.wav,G4.wav,3.5
A4.wav,G#4_Ab4.wav,2.6
A#4_Bb4.wav,A4.wav,3.111111111111110
A#4_Bb4.wav,B4.wav,1.9090909090909100
A#4_Bb4.wav,C4.wav,4.916666666666670
A#4_Bb4.wav,C5.wav,2.727272727272730
A#4_Bb4.wav,C#4_Db4.wav,4.8
A#4_Bb4.wav,C#5_Db5.wav,2.923076923076920
A#4_Bb4.wav,D4.wav,4.777777777777780
A#4_Bb4.wav,D5.wav,4.166666666666670
A#4_Bb4.wav,D#4_Eb4.wav,3.9375
A#4_Bb4.wav,D#5_Eb5.wav,4.0
A#4_Bb4.wav,E4.wav,4.555555555555560
A#4_Bb4.wav,F4.wav,3.076923076923080
A#4_Bb4.wav,F#4_Gb4.wav,3.7777777777777800
A#4_Bb4.wav,G4.wav,3.4
A#4_Bb4.wav,G#4_Ab4.wav,2.727272727272730
B4.wav,A4.wav,2.4166666666666700
B4.wav,A#4_Bb4.wav,2.75
B4.wav,C4.wav,4.7
B4.wav,C5.wav,2.8333333333333300
B4.wav,C#4_Db4.wav,4.5
B4.wav,C#5_Db5.wav,3.0
B4.wav,D4.wav,4.181818181818180
B4.wav,D5.wav,3.6666666666666700
B4.wav,D#4_Eb4.wav,3.6666666666666700
B4.wav,D#5_Eb5.wav,3.6
B4.wav,E4.wav,3.8
B4.wav,F4.wav,3.6666666666666700
B4.wav,F#4_Gb4.wav,3.625
B4.wav,G4.wav,3.4285714285714300
B4.wav,G#4_Ab4.wav,2.9166666666666700
C4.wav,A4.wav,4.222222222222220
C4.wav,A#4_Bb4.wav,4.285714285714290
C4.wav,B4.wav,4.0
C4.wav,C5.wav,4.7
C4.wav,C#4_Db4.wav,1.5
C4.wav,C#5_Db5.wav,5.0
C4.wav,D4.wav,1.8181818181818200
C4.wav,D5.wav,4.625
C4.wav,D#4_Eb4.wav,2.6923076923076900
C4.wav,D#5_Eb5.wav,5.090909090909090
C4.wav,E4.wav,2.8181818181818200
C4.wav,F4.wav,4.090909090909090
C4.wav,F#4_Gb4.wav,3.6153846153846200
C4.wav,G4.wav,4.125
