Spreadsheet: A,Spreadsheet: B,Similarity_Distance
baby_3ms.wav,bell_3ms.wav,3.6666666666666665
baby_3ms.wav,brush_teeth_3ms.wav,4.857142857142857
baby_3ms.wav,car_engine_3ms.wav,4.571428571428571
baby_3ms.wav,car_horn_3ms.wav,3.5555555555555554
baby_3ms.wav,cough_3ms.wav,4.777777777777778
baby_3ms.wav,drink_water_3ms.wav,3.888888888888889
baby_3ms.wav,foot_step_3ms.wav,5.0
baby_3ms.wav,frog_3ms.wav,3.5
baby_3ms.wav,laugh_3ms.wav,4.071428571428571
baby_3ms.wav,motor_3ms.wav,4.166666666666667
baby_3ms.wav,phone_ring_3ms.wav,4.666666666666667
baby_3ms.wav,sheep_3ms.wav,2.75
baby_3ms.wav,sizzling_pan_3ms.wav,4.6
baby_3ms.wav,snore_3ms.wav,4.7
bell_3ms.wav,baby_3ms.wav,4.5
bell_3ms.wav,brush_teeth_3ms.wav,4.555555555555555
bell_3ms.wav,car_engine_3ms.wav,4.333333333333333
bell_3ms.wav,car_horn_3ms.wav,2.5
bell_3ms.wav,cough_3ms.wav,4.666666666666667
bell_3ms.wav,drink_water_3ms.wav,4.538461538461538
bell_3ms.wav,foot_step_3ms.wav,4.285714285714286
bell_3ms.wav,frog_3ms.wav,4.571428571428571
bell_3ms.wav,laugh_3ms.wav,4.083333333333333
bell_3ms.wav,motor_3ms.wav,4.875
bell_3ms.wav,phone_ring_3ms.wav,4.444444444444445
bell_3ms.wav,sheep_3ms.wav,2.2222222222222223
bell_3ms.wav,sizzling_pan_3ms.wav,4.666666666666667
bell_3ms.wav,snore_3ms.wav,4.0
brush_teeth_3ms.wav,baby_3ms.wav,4.2
brush_teeth_3ms.wav,bell_3ms.wav,5.4
brush_teeth_3ms.wav,car_engine_3ms.wav,4.444444444444445
brush_teeth_3ms.wav,car_horn_3ms.wav,5.111111111111111
brush_teeth_3ms.wav,cough_3ms.wav,5.0
brush_teeth_3ms.wav,drink_water_3ms.wav,4.428571428571429
brush_teeth_3ms.wav,foot_step_3ms.wav,3.4615384615384617
brush_teeth_3ms.wav,frog_3ms.wav,4.5
brush_teeth_3ms.wav,laugh_3ms.wav,4.833333333333333
brush_teeth_3ms.wav,motor_3ms.wav,4.2
brush_teeth_3ms.wav,phone_ring_3ms.wav,4.5
brush_teeth_3ms.wav,sheep_3ms.wav,4.769230769230769
brush_teeth_3ms.wav,sizzling_pan_3ms.wav,2.75
brush_teeth_3ms.wav,snore_3ms.wav,4.076923076923077
car_engine_3ms.wav,baby_3ms.wav,4.75
car_engine_3ms.wav,bell_3ms.wav,4.615384615384615
car_engine_3ms.wav,brush_teeth_3ms.wav,4.0
car_engine_3ms.wav,car_horn_3ms.wav,4.666666666666667
car_engine_3ms.wav,cough_3ms.wav,4.909090909090909
car_engine_3ms.wav,drink_water_3ms.wav,4.0
car_engine_3ms.wav,foot_step_3ms.wav,3.6
car_engine_3ms.wav,frog_3ms.wav,4.4
car_engine_3ms.wav,laugh_3ms.wav,5.125
car_engine_3ms.wav,motor_3ms.wav,1.7272727272727273
car_engine_3ms.wav,phone_ring_3ms.wav,2.7333333333333334
car_engine_3ms.wav,sheep_3ms.wav,3.1818181818181817
car_engine_3ms.wav,sizzling_pan_3ms.wav,4.0
car_engine_3ms.wav,snore_3ms.wav,3.0
car_horn_3ms.wav,baby_3ms.wav,3.4
car_horn_3ms.wav,bell_3ms.wav,3.5454545454545454
car_horn_3ms.wav,brush_teeth_3ms.wav,4.7
car_horn_3ms.wav,car_engine_3ms.wav,4.0
car_horn_3ms.wav,cough_3ms.wav,4.818181818181818
car_horn_3ms.wav,drink_water_3ms.wav,5.2727272727272725
car_horn_3ms.wav,foot_step_3ms.wav,4.4
car_horn_3ms.wav,frog_3ms.wav,4.666666666666667
car_horn_3ms.wav,laugh_3ms.wav,4.333333333333333
car_horn_3ms.wav,motor_3ms.wav,4.222222222222222
car_horn_3ms.wav,phone_ring_3ms.wav,5.571428571428571
car_horn_3ms.wav,sheep_3ms.wav,3.375
car_horn_3ms.wav,sizzling_pan_3ms.wav,4.857142857142857
car_horn_3ms.wav,snore_3ms.wav,4.75
cough_3ms.wav,baby_3ms.wav,4.7
cough_3ms.wav,bell_3ms.wav,5.1
cough_3ms.wav,brush_teeth_3ms.wav,3.4444444444444446
cough_3ms.wav,car_engine_3ms.wav,5.0
cough_3ms.wav,car_horn_3ms.wav,3.75
cough_3ms.wav,drink_water_3ms.wav,5.0
cough_3ms.wav,foot_step_3ms.wav,3.0
cough_3ms.wav,frog_3ms.wav,4.428571428571429
cough_3ms.wav,laugh_3ms.wav,4.285714285714286
cough_3ms.wav,motor_3ms.wav,4.0
cough_3ms.wav,phone_ring_3ms.wav,5.875
cough_3ms.wav,sheep_3ms.wav,4.428571428571429
cough_3ms.wav,sizzling_pan_3ms.wav,4.555555555555555
cough_3ms.wav,snore_3ms.wav,5.0
drink_water_3ms.wav,baby_3ms.wav,5.4
drink_water_3ms.wav,bell_3ms.wav,5.333333333333333
drink_water_3ms.wav,brush_teeth_3ms.wav,4.2
drink_water_3ms.wav,car_engine_3ms.wav,3.5454545454545454
drink_water_3ms.wav,car_horn_3ms.wav,4.875
drink_water_3ms.wav,cough_3ms.wav,4.666666666666667
drink_water_3ms.wav,foot_step_3ms.wav,3.125
drink_water_3ms.wav,frog_3ms.wav,3.888888888888889
drink_water_3ms.wav,laugh_3ms.wav,4.384615384615385
drink_water_3ms.wav,motor_3ms.wav,4.571428571428571
drink_water_3ms.wav,phone_ring_3ms.wav,5.875
drink_water_3ms.wav,sheep_3ms.wav,5.25
drink_water_3ms.wav,sizzling_pan_3ms.wav,3.8
drink_water_3ms.wav,snore_3ms.wav,4.2
foot_step_3ms.wav,baby_3ms.wav,5.111111111111111
foot_step_3ms.wav,bell_3ms.wav,4.666666666666667
foot_step_3ms.wav,brush_teeth_3ms.wav,4.166666666666667
foot_step_3ms.wav,car_engine_3ms.wav,3.3333333333333335
foot_step_3ms.wav,car_horn_3ms.wav,4.75
foot_step_3ms.wav,cough_3ms.wav,4.705882352941177
foot_step_3ms.wav,drink_water_3ms.wav,4.181818181818182
foot_step_3ms.wav,frog_3ms.wav,4.8
foot_step_3ms.wav,laugh_3ms.wav,4.142857142857143
foot_step_3ms.wav,motor_3ms.wav,3.923076923076923
foot_step_3ms.wav,phone_ring_3ms.wav,5.142857142857143
foot_step_3ms.wav,sheep_3ms.wav,4.5
foot_step_3ms.wav,sizzling_pan_3ms.wav,2.3846153846153846
foot_step_3ms.wav,snore_3ms.wav,3.7777777777777777
frog_3ms.wav,baby_3ms.wav,3.909090909090909
frog_3ms.wav,bell_3ms.wav,4.916666666666667
frog_3ms.wav,brush_teeth_3ms.wav,4.666666666666667
frog_3ms.wav,car_engine_3ms.wav,3.642857142857143
frog_3ms.wav,car_horn_3ms.wav,3.8461538461538463
frog_3ms.wav,cough_3ms.wav,4.833333333333333
frog_3ms.wav,drink_water_3ms.wav,5.3
frog_3ms.wav,foot_step_3ms.wav,4.333333333333333
frog_3ms.wav,laugh_3ms.wav,4.375
frog_3ms.wav,motor_3ms.wav,4.214285714285714
frog_3ms.wav,phone_ring_3ms.wav,3.75
frog_3ms.wav,sheep_3ms.wav,3.125
frog_3ms.wav,sizzling_pan_3ms.wav,4.5
frog_3ms.wav,snore_3ms.wav,3.6363636363636362
laugh_3ms.wav,baby_3ms.wav,5.0
laugh_3ms.wav,bell_3ms.wav,5.285714285714286
laugh_3ms.wav,brush_teeth_3ms.wav,5.142857142857143
laugh_3ms.wav,car_engine_3ms.wav,4.2727272727272725
laugh_3ms.wav,car_horn_3ms.wav,4.7
laugh_3ms.wav,cough_3ms.wav,3.8333333333333335
laugh_3ms.wav,drink_water_3ms.wav,5.333333333333333
laugh_3ms.wav,foot_step_3ms.wav,3.8333333333333335
laugh_3ms.wav,frog_3ms.wav,4.909090909090909
laugh_3ms.wav,motor_3ms.wav,5.25
laugh_3ms.wav,phone_ring_3ms.wav,5.111111111111111
laugh_3ms.wav,sheep_3ms.wav,2.888888888888889
laugh_3ms.wav,sizzling_pan_3ms.wav,4.6
laugh_3ms.wav,snore_3ms.wav,5.0
motor_3ms.wav,baby_3ms.wav,4.923076923076923
motor_3ms.wav,bell_3ms.wav,5.181818181818182
motor_3ms.wav,brush_teeth_3ms.wav,4.214285714285714
motor_3ms.wav,car_engine_3ms.wav,1.625
motor_3ms.wav,car_horn_3ms.wav,4.4
motor_3ms.wav,cough_3ms.wav,4.6
motor_3ms.wav,drink_water_3ms.wav,4.5
motor_3ms.wav,foot_step_3ms.wav,5.333333333333333
motor_3ms.wav,frog_3ms.wav,4.6
motor_3ms.wav,laugh_3ms.wav,4.545454545454546
motor_3ms.wav,phone_ring_3ms.wav,2.3636363636363638
motor_3ms.wav,sheep_3ms.wav,4.0
motor_3ms.wav,sizzling_pan_3ms.wav,2.7142857142857144
motor_3ms.wav,snore_3ms.wav,4.4
phone_ring_3ms.wav,baby_3ms.wav,3.857142857142857
phone_ring_3ms.wav,bell_3ms.wav,3.2
phone_ring_3ms.wav,brush_teeth_3ms.wav,5.142857142857143
phone_ring_3ms.wav,car_engine_3ms.wav,3.5
phone_ring_3ms.wav,car_horn_3ms.wav,3.9166666666666665
phone_ring_3ms.wav,cough_3ms.wav,4.545454545454546
phone_ring_3ms.wav,drink_water_3ms.wav,4.454545454545454
phone_ring_3ms.wav,foot_step_3ms.wav,4.25
phone_ring_3ms.wav,frog_3ms.wav,3.8181818181818183
phone_ring_3ms.wav,laugh_3ms.wav,4.4
phone_ring_3ms.wav,motor_3ms.wav,2.625
phone_ring_3ms.wav,sheep_3ms.wav,3.125
phone_ring_3ms.wav,sizzling_pan_3ms.wav,4.111111111111111
