Sequence_Names,Switch_Names,Stim_Ind,Percent_Correctness
"11_500ms-changeduration_Stretch__0_3, 18_500ms-changeduration_Stretch__0_3, 2_500ms-changeduration_Stretch__0_3, 8_500ms-changeduration_Stretch__0_3","11_500ms-changeduration_Stretch__0_3, 2_500ms-changeduration_Stretch__0_3, 18_500ms-changeduration_Stretch__0_3, 8_500ms-changeduration_Stretch__0_3",1.0,0.4878048780487805
"11_500ms-changeduration_Stretch__0_3, 18_500ms-changeduration_Stretch__0_3, 8_500ms-changeduration_Stretch__0_3, 5_500ms-changeduration_Stretch__0_3","11_500ms-changeduration_Stretch__0_3, 8_500ms-changeduration_Stretch__0_3, 18_500ms-changeduration_Stretch__0_3, 5_500ms-changeduration_Stretch__0_3",1.0,0.4634146341463415
"11_500ms-changeduration_Stretch__0_3, 1_500ms-changeduration_Stretch__0_3, 18_500ms-changeduration_Stretch__0_3, 25_500ms-changeduration_Stretch__0_3","11_500ms-changeduration_Stretch__0_3, 1_500ms-changeduration_Stretch__0_3, 25_500ms-changeduration_Stretch__0_3, 18_500ms-changeduration_Stretch__0_3",2.0,0.926829268292683
"18_500ms-changeduration_Stretch__0_3, 17_500ms-changeduration_Stretch__0_3, 5_500ms-changeduration_Stretch__0_3, 1_500ms-changeduration_Stretch__0_3","18_500ms-changeduration_Stretch__0_3, 17_500ms-changeduration_Stretch__0_3, 1_500ms-changeduration_Stretch__0_3, 5_500ms-changeduration_Stretch__0_3",2.0,0.7560975609756098
"18_500ms-changeduration_Stretch__0_3, 8_500ms-changeduration_Stretch__0_3, 11_500ms-changeduration_Stretch__0_3, 25_500ms-changeduration_Stretch__0_3","18_500ms-changeduration_Stretch__0_3, 8_500ms-changeduration_Stretch__0_3, 25_500ms-changeduration_Stretch__0_3, 11_500ms-changeduration_Stretch__0_3",2.0,0.4878048780487805
"1_500ms-changeduration_Stretch__0_3, 11_500ms-changeduration_Stretch__0_3, 5_500ms-changeduration_Stretch__0_3, 18_500ms-changeduration_Stretch__0_3","1_500ms-changeduration_Stretch__0_3, 5_500ms-changeduration_Stretch__0_3, 11_500ms-changeduration_Stretch__0_3, 18_500ms-changeduration_Stretch__0_3",1.0,0.2682926829268293
"1_500ms-changeduration_Stretch__0_3, 18_500ms-changeduration_Stretch__0_3, 5_500ms-changeduration_Stretch__0_3, 8_500ms-changeduration_Stretch__0_3","1_500ms-changeduration_Stretch__0_3, 18_500ms-changeduration_Stretch__0_3, 8_500ms-changeduration_Stretch__0_3, 5_500ms-changeduration_Stretch__0_3",2.0,0.7073170731707317
"1_500ms-changeduration_Stretch__0_3, 24_500ms-changeduration_Stretch__0_3, 8_500ms-changeduration_Stretch__0_3, 18_500ms-changeduration_Stretch__0_3","1_500ms-changeduration_Stretch__0_3, 24_500ms-changeduration_Stretch__0_3, 18_500ms-changeduration_Stretch__0_3, 8_500ms-changeduration_Stretch__0_3",2.0,0.7317073170731707
"1_500ms-changeduration_Stretch__0_3, 25_500ms-changeduration_Stretch__0_3, 8_500ms-changeduration_Stretch__0_3, 5_500ms-changeduration_Stretch__0_3","1_500ms-changeduration_Stretch__0_3, 25_500ms-changeduration_Stretch__0_3, 5_500ms-changeduration_Stretch__0_3, 8_500ms-changeduration_Stretch__0_3",2.0,0.5609756097560976
"1_500ms-changeduration_Stretch__0_3, 26_500ms-changeduration_Stretch__0_3, 8_500ms-changeduration_Stretch__0_3, 17_500ms-changeduration_Stretch__0_3","1_500ms-changeduration_Stretch__0_3, 8_500ms-changeduration_Stretch__0_3, 26_500ms-changeduration_Stretch__0_3, 17_500ms-changeduration_Stretch__0_3",1.0,0.3170731707317073
