Sequence_Names,Switch_Names,Stim_Ind,Percent_Correctness
"A#4_Bb4, A4, F4, C#4_Db4","A#4_Bb4, A4, C#4_Db4, F4",2.0,0.9024390243902439
"A#4_Bb4, D5, C5, F#4_Gb4","A#4_Bb4, C5, D5, F#4_Gb4",1.0,0.9512195121951219
"A4, D#4_Eb4, C4, D4","D#4_Eb4, A4, C4, D4",0.0,0.9024390243902439
"B4, C#4_Db4, D4, G4","C#4_Db4, B4, D4, G4",0.0,0.9024390243902439
"C#4_Db4, C4, D5, A#4_Bb4","C#4_Db4, D5, C4, A#4_Bb4",1.0,1.0
"C#4_Db4, E4, C#5_Db5, D#5_Eb5","C#4_Db4, E4, D#5_Eb5, C#5_Db5",2.0,0.926829268292683
"C#5_Db5, B4, F4, A4","C#5_Db5, B4, A4, F4",2.0,0.9512195121951219
"C#5_Db5, C4, C5, D#4_Eb4","C#5_Db5, C4, D#4_Eb4, C5",2.0,0.975609756097561
"C#5_Db5, C4, D#5_Eb5, A#4_Bb4","C4, C#5_Db5, D#5_Eb5, A#4_Bb4",0.0,0.8292682926829268
"D#5_Eb5, C#5_Db5, C4, B4","D#5_Eb5, C4, C#5_Db5, B4",1.0,0.8292682926829268
"D5, A4, D4, F4","A4, D5, D4, F4",0.0,0.9024390243902439
"D5, D#5_Eb5, C#5_Db5, G#4_Ab4","D5, C#5_Db5, D#5_Eb5, G#4_Ab4",1.0,0.9024390243902439
"E4, A4, G#4_Ab4, F4","E4, A4, F4, G#4_Ab4",2.0,0.9024390243902439
"E4, C4, A#4_Bb4, B4","C4, E4, A#4_Bb4, B4",0.0,0.6341463414634146
"F#4_Gb4, C4, B4, D#4_Eb4","F#4_Gb4, B4, C4, D#4_Eb4",1.0,0.9024390243902439
"F4, C#5_Db5, D#5_Eb5, G4","C#5_Db5, F4, D#5_Eb5, G4",0.0,0.8780487804878049
"G#4_Ab4, D5, G4, D#4_Eb4","G#4_Ab4, G4, D5, D#4_Eb4",1.0,0.9512195121951219
"G4, D#5_Eb5, D5, A#4_Bb4","G4, D#5_Eb5, A#4_Bb4, D5",2.0,0.926829268292683
