Sequence_Names,Switch_Names,Percent_Correctness
"A#4_Bb4, F4, F#4_Gb4, G#4_Ab4","A#4_Bb4, F4, F#4_Gb4, G#4_Ab4",0.9512195121951219
"A4, D#5_Eb5, G#4_Ab4, C4","A4, D#5_Eb5, G#4_Ab4, C4",0.9024390243902439
"B4, E4, A4, D5","B4, E4, A4, D5",0.8780487804878049
"C#4_Db4, A#4_Bb4, F4, G#4_Ab4","C#4_Db4, A#4_Bb4, F4, G#4_Ab4",0.9512195121951219
"C#4_Db4, B4, A#4_Bb4, C5","C#4_Db4, B4, A#4_Bb4, C5",0.8780487804878049
"C#5_Db5, C4, D#4_Eb4, D4","C#5_Db5, C4, D#4_Eb4, D4",0.975609756097561
"C5, B4, C4, C#4_Db4","C5, B4, C4, C#4_Db4",0.8780487804878049
"C5, C4, B4, F4","C5, C4, B4, F4",0.926829268292683
"C5, E4, D4, C#5_Db5","C5, E4, D4, C#5_Db5",0.926829268292683
"D#5_Eb5, C5, C#4_Db4, A#4_Bb4","D#5_Eb5, C5, C#4_Db4, A#4_Bb4",0.8536585365853658
"D#5_Eb5, G#4_Ab4, C5, B4","D#5_Eb5, G#4_Ab4, C5, B4",0.975609756097561
"D4, F#4_Gb4, A#4_Bb4, F4","D4, F#4_Gb4, A#4_Bb4, F4",0.975609756097561
"D5, D4, F4, B4","D5, D4, F4, B4",0.975609756097561
"F#4_Gb4, A#4_Bb4, G#4_Ab4, G4","F#4_Gb4, A#4_Bb4, G#4_Ab4, G4",0.9512195121951219
"F#4_Gb4, B4, D5, D4","F#4_Gb4, B4, D5, D4",0.926829268292683
"F#4_Gb4, C4, A#4_Bb4, D4","F#4_Gb4, C4, A#4_Bb4, D4",0.8292682926829268
"F#4_Gb4, D4, C4, D5","F#4_Gb4, D4, C4, D5",0.926829268292683
"G4, C#4_Db4, E4, D#5_Eb5","G4, C#4_Db4, E4, D#5_Eb5",0.975609756097561
