Sequence_Names,Switch_Names,Percent_Correctness
"18_500ms-changeduration_Stretch__0_3, 1_500ms-changeduration_Stretch__0_3, 11_500ms-changeduration_Stretch__0_3, 26_500ms-changeduration_Stretch__0_3","18_500ms-changeduration_Stretch__0_3, 1_500ms-changeduration_Stretch__0_3, 11_500ms-changeduration_Stretch__0_3, 26_500ms-changeduration_Stretch__0_3",0.926829268292683
"18_500ms-changeduration_Stretch__0_3, 24_500ms-changeduration_Stretch__0_3, 11_500ms-changeduration_Stretch__0_3, 26_500ms-changeduration_Stretch__0_3","18_500ms-changeduration_Stretch__0_3, 24_500ms-changeduration_Stretch__0_3, 11_500ms-changeduration_Stretch__0_3, 26_500ms-changeduration_Stretch__0_3",0.926829268292683
"18_500ms-changeduration_Stretch__0_3, 26_500ms-changeduration_Stretch__0_3, 8_500ms-changeduration_Stretch__0_3, 24_500ms-changeduration_Stretch__0_3","18_500ms-changeduration_Stretch__0_3, 26_500ms-changeduration_Stretch__0_3, 8_500ms-changeduration_Stretch__0_3, 24_500ms-changeduration_Stretch__0_3",0.8536585365853658
"18_500ms-changeduration_Stretch__0_3, 2_500ms-changeduration_Stretch__0_3, 25_500ms-changeduration_Stretch__0_3, 17_500ms-changeduration_Stretch__0_3","18_500ms-changeduration_Stretch__0_3, 2_500ms-changeduration_Stretch__0_3, 25_500ms-changeduration_Stretch__0_3, 17_500ms-changeduration_Stretch__0_3",0.8536585365853658
"1_500ms-changeduration_Stretch__0_3, 11_500ms-changeduration_Stretch__0_3, 2_500ms-changeduration_Stretch__0_3, 5_500ms-changeduration_Stretch__0_3","1_500ms-changeduration_Stretch__0_3, 11_500ms-changeduration_Stretch__0_3, 2_500ms-changeduration_Stretch__0_3, 5_500ms-changeduration_Stretch__0_3",0.9512195121951219
"1_500ms-changeduration_Stretch__0_3, 25_500ms-changeduration_Stretch__0_3, 18_500ms-changeduration_Stretch__0_3, 11_500ms-changeduration_Stretch__0_3","1_500ms-changeduration_Stretch__0_3, 25_500ms-changeduration_Stretch__0_3, 18_500ms-changeduration_Stretch__0_3, 11_500ms-changeduration_Stretch__0_3",0.8048780487804879
"1_500ms-changeduration_Stretch__0_3, 8_500ms-changeduration_Stretch__0_3, 17_500ms-changeduration_Stretch__0_3, 18_500ms-changeduration_Stretch__0_3","1_500ms-changeduration_Stretch__0_3, 8_500ms-changeduration_Stretch__0_3, 17_500ms-changeduration_Stretch__0_3, 18_500ms-changeduration_Stretch__0_3",0.9024390243902439
"1_500ms-changeduration_Stretch__0_3, 8_500ms-changeduration_Stretch__0_3, 25_500ms-changeduration_Stretch__0_3, 17_500ms-changeduration_Stretch__0_3","1_500ms-changeduration_Stretch__0_3, 8_500ms-changeduration_Stretch__0_3, 25_500ms-changeduration_Stretch__0_3, 17_500ms-changeduration_Stretch__0_3",0.8536585365853658
"24_500ms-changeduration_Stretch__0_3, 18_500ms-changeduration_Stretch__0_3, 2_500ms-changeduration_Stretch__0_3, 26_500ms-changeduration_Stretch__0_3","24_500ms-changeduration_Stretch__0_3, 18_500ms-changeduration_Stretch__0_3, 2_500ms-changeduration_Stretch__0_3, 26_500ms-changeduration_Stretch__0_3",0.8536585365853658
"24_500ms-changeduration_Stretch__0_3, 8_500ms-changeduration_Stretch__0_3, 2_500ms-changeduration_Stretch__0_3, 5_500ms-changeduration_Stretch__0_3","24_500ms-changeduration_Stretch__0_3, 8_500ms-changeduration_Stretch__0_3, 2_500ms-changeduration_Stretch__0_3, 5_500ms-changeduration_Stretch__0_3",0.8292682926829268
