Component Name,Participant Private ID,Spreadsheet: A,Spreadsheet: B,Response
Rating Scale,9280259.0,Cs5_Db5.wav,E4.wav,3
Rating Scale,9280259.0,D4.wav,E4.wav,2
Rating Scale,9280259.0,A4.wav,C4.wav,3
Rating Scale,9280259.0,G4.wav,Fs4_Gb4.wav,2
Rating Scale,9280259.0,Gs4_Ab4.wav,G4.wav,2
Rating Scale,9280259.0,E4.wav,C4.wav,2
Rating Scale,9280259.0,G4.wav,Cs5_Db5.wav,2
Rating Scale,9280259.0,Fs4_Gb4.wav,E4.wav,1
Rating Scale,9280259.0,Ds5_Eb5.wav,A4.wav,3
Rating Scale,9280259.0,C4.wav,Fs4_Gb4.wav,2
Rating Scale,9280259.0,G4.wav,E4.wav,1
Rating Scale,9280259.0,C4.wav,Cs5_Db5.wav,2
Rating Scale,9280259.0,Gs4_Ab4.wav,A4.wav,1
Rating Scale,9280259.0,Gs4_Ab4.wav,Fs4_Gb4.wav,1
Rating Scale,9280259.0,D4.wav,C4.wav,1
Rating Scale,9280259.0,Gs4_Ab4.wav,D4.wav,2
Rating Scale,9280259.0,G4.wav,C4.wav,2
Rating Scale,9280259.0,Cs5_Db5.wav,Fs4_Gb4.wav,3
Rating Scale,9280259.0,Ds5_Eb5.wav,E4.wav,3
Rating Scale,9280259.0,Ds5_Eb5.wav,Gs4_Ab4.wav,3
Rating Scale,9280259.0,Fs4_Gb4.wav,D4.wav,1
Rating Scale,9280259.0,C4.wav,Ds5_Eb5.wav,3
Rating Scale,9280259.0,G4.wav,D4.wav,2
Rating Scale,9280259.0,Fs4_Gb4.wav,A4.wav,3
Rating Scale,9280259.0,Ds5_Eb5.wav,G4.wav,3
Rating Scale,9280259.0,G4.wav,A4.wav,2
Rating Scale,9280259.0,Cs5_Db5.wav,Gs4_Ab4.wav,2
Rating Scale,9280259.0,A4.wav,D4.wav,3
Rating Scale,9280259.0,Cs5_Db5.wav,A4.wav,2
Rating Scale,9280259.0,E4.wav,A4.wav,2
Rating Scale,9280259.0,Cs5_Db5.wav,Ds5_Eb5.wav,1
Rating Scale,9280259.0,E4.wav,Gs4_Ab4.wav,1
Rating Scale,9280259.0,Gs4_Ab4.wav,C4.wav,3
Rating Scale,9280259.0,Cs5_Db5.wav,D4.wav,3
Rating Scale,9280259.0,Ds5_Eb5.wav,Fs4_Gb4.wav,3
Rating Scale,9280259.0,Ds5_Eb5.wav,D4.wav,3
Rating Scale,9280673.0,E4.wav,Fs4_Gb4.wav,0
Rating Scale,9280673.0,Cs5_Db5.wav,C4.wav,3
Rating Scale,9280673.0,Ds5_Eb5.wav,Cs5_Db5.wav,0
Rating Scale,9280673.0,Cs5_Db5.wav,D4.wav,4
Rating Scale,9280673.0,G4.wav,Gs4_Ab4.wav,1
Rating Scale,9280673.0,E4.wav,G4.wav,2
Rating Scale,9280673.0,D4.wav,Gs4_Ab4.wav,2
Rating Scale,9280673.0,D4.wav,Fs4_Gb4.wav,6
Rating Scale,9280673.0,Ds5_Eb5.wav,E4.wav,1
Rating Scale,9280673.0,C4.wav,Ds5_Eb5.wav,3
Rating Scale,9280673.0,Gs4_Ab4.wav,A4.wav,2
Rating Scale,9280673.0,Fs4_Gb4.wav,G4.wav,2
Rating Scale,9280673.0,G4.wav,C4.wav,3
Rating Scale,9280673.0,Ds5_Eb5.wav,D4.wav,2
Rating Scale,9280673.0,E4.wav,Gs4_Ab4.wav,2
Rating Scale,9280673.0,Gs4_Ab4.wav,Ds5_Eb5.wav,1
Rating Scale,9280673.0,Fs4_Gb4.wav,Gs4_Ab4.wav,1
Rating Scale,9280673.0,D4.wav,A4.wav,1
Rating Scale,9280673.0,C4.wav,Gs4_Ab4.wav,2
Rating Scale,9280673.0,C4.wav,E4.wav,3
Rating Scale,9280673.0,Gs4_Ab4.wav,Cs5_Db5.wav,1
Rating Scale,9280673.0,Ds5_Eb5.wav,G4.wav,4
Rating Scale,9280673.0,E4.wav,D4.wav,0
Rating Scale,9280673.0,E4.wav,Cs5_Db5.wav,3
Rating Scale,9280673.0,A4.wav,Cs5_Db5.wav,2
Rating Scale,9280673.0,A4.wav,E4.wav,1
Rating Scale,9280673.0,C4.wav,Fs4_Gb4.wav,1
Rating Scale,9280673.0,D4.wav,C4.wav,3
Rating Scale,9280673.0,G4.wav,D4.wav,2
Rating Scale,9280673.0,Cs5_Db5.wav,G4.wav,3
Rating Scale,9280673.0,Ds5_Eb5.wav,A4.wav,1
Rating Scale,9280673.0,A4.wav,Fs4_Gb4.wav,1
Rating Scale,9280673.0,Ds5_Eb5.wav,Fs4_Gb4.wav,3
