Component Name,Participant Private ID,Spreadsheet: A,Spreadsheet: B,Response
Rating Scale,9280259.0,cough_3ms.wav,sizzling_pan_3ms.wav,6
Rating Scale,9280259.0,sheep_3ms.wav,snore_3ms.wav,6
Rating Scale,9280259.0,snore_3ms.wav,sizzling_pan_3ms.wav,6
Rating Scale,9280259.0,laugh_3ms.wav,frog_3ms.wav,6
Rating Scale,9280259.0,car_engine_3ms.wav,snore_3ms.wav,6
Rating Scale,9280259.0,sheep_3ms.wav,bell_3ms.wav,6
Rating Scale,9280259.0,laugh_3ms.wav,bell_3ms.wav,6
Rating Scale,9280259.0,sheep_3ms.wav,car_engine_3ms.wav,6
Rating Scale,9280259.0,sizzling_pan_3ms.wav,bell_3ms.wav,6
Rating Scale,9280259.0,frog_3ms.wav,baby_3ms.wav,6
Rating Scale,9280259.0,snore_3ms.wav,laugh_3ms.wav,6
Rating Scale,9280259.0,bell_3ms.wav,frog_3ms.wav,6
Rating Scale,9280259.0,baby_3ms.wav,sheep_3ms.wav,6
Rating Scale,9280259.0,laugh_3ms.wav,sizzling_pan_3ms.wav,6
Rating Scale,9280259.0,bell_3ms.wav,snore_3ms.wav,6
Rating Scale,9280259.0,frog_3ms.wav,sizzling_pan_3ms.wav,6
Rating Scale,9280259.0,sheep_3ms.wav,frog_3ms.wav,6
Rating Scale,9280259.0,cough_3ms.wav,baby_3ms.wav,6
Rating Scale,9280259.0,cough_3ms.wav,snore_3ms.wav,6
Rating Scale,9280259.0,sizzling_pan_3ms.wav,car_engine_3ms.wav,6
Rating Scale,9280259.0,car_engine_3ms.wav,bell_3ms.wav,6
Rating Scale,9280259.0,bell_3ms.wav,baby_3ms.wav,6
Rating Scale,9280259.0,baby_3ms.wav,car_engine_3ms.wav,6
Rating Scale,9280259.0,frog_3ms.wav,car_engine_3ms.wav,6
Rating Scale,9280259.0,frog_3ms.wav,snore_3ms.wav,6
Rating Scale,9280259.0,snore_3ms.wav,baby_3ms.wav,6
Rating Scale,9280259.0,baby_3ms.wav,laugh_3ms.wav,6
Rating Scale,9280259.0,sheep_3ms.wav,cough_3ms.wav,6
Rating Scale,9280259.0,car_engine_3ms.wav,cough_3ms.wav,6
Rating Scale,9280259.0,sheep_3ms.wav,laugh_3ms.wav,5
Rating Scale,9280259.0,car_engine_3ms.wav,laugh_3ms.wav,6
Rating Scale,9280259.0,sheep_3ms.wav,sizzling_pan_3ms.wav,6
Rating Scale,9280259.0,laugh_3ms.wav,cough_3ms.wav,6
Rating Scale,9280259.0,cough_3ms.wav,frog_3ms.wav,6
Rating Scale,9280259.0,cough_3ms.wav,bell_3ms.wav,6
Rating Scale,9280259.0,sizzling_pan_3ms.wav,baby_3ms.wav,6
Rating Scale,9280673.0,sheep_3ms.wav,snore_3ms.wav,5
Rating Scale,9280673.0,bell_3ms.wav,sheep_3ms.wav,6
Rating Scale,9280673.0,sizzling_pan_3ms.wav,sheep_3ms.wav,6
Rating Scale,9280673.0,bell_3ms.wav,snore_3ms.wav,6
Rating Scale,9280673.0,baby_3ms.wav,frog_3ms.wav,6
Rating Scale,9280673.0,bell_3ms.wav,cough_3ms.wav,6
Rating Scale,9280673.0,bell_3ms.wav,frog_3ms.wav,6
Rating Scale,9280673.0,frog_3ms.wav,sizzling_pan_3ms.wav,6
Rating Scale,9280673.0,laugh_3ms.wav,snore_3ms.wav,6
Rating Scale,9280673.0,car_engine_3ms.wav,frog_3ms.wav,6
Rating Scale,9280673.0,sizzling_pan_3ms.wav,baby_3ms.wav,6
Rating Scale,9280673.0,snore_3ms.wav,frog_3ms.wav,6
Rating Scale,9280673.0,cough_3ms.wav,baby_3ms.wav,6
Rating Scale,9280673.0,snore_3ms.wav,car_engine_3ms.wav,6
Rating Scale,9280673.0,bell_3ms.wav,sizzling_pan_3ms.wav,6
Rating Scale,9280673.0,bell_3ms.wav,baby_3ms.wav,6
Rating Scale,9280673.0,laugh_3ms.wav,sheep_3ms.wav,6
Rating Scale,9280673.0,snore_3ms.wav,sizzling_pan_3ms.wav,6
Rating Scale,9280673.0,snore_3ms.wav,baby_3ms.wav,6
