Component Name,Participant Private ID,Spreadsheet: A,Spreadsheet: B,Response
Rating Scale,9280399.0,5_300ms.wav,11_300ms.wav,1
Rating Scale,9280399.0,5_300ms.wav,18_300ms.wav,1
Rating Scale,9280399.0,8_300ms.wav,5_300ms.wav,0
Rating Scale,9280399.0,17_300ms.wav,25_300ms.wav,1
Rating Scale,9280399.0,5_300ms.wav,24_300ms.wav,1
Rating Scale,9280399.0,8_300ms.wav,1_300ms.wav,1
Rating Scale,9280399.0,24_300ms.wav,18_300ms.wav,1
Rating Scale,9280399.0,24_300ms.wav,1_300ms.wav,0
Rating Scale,9280399.0,25_300ms.wav,5_300ms.wav,6
Rating Scale,9280399.0,1_300ms.wav,17_300ms.wav,1
Rating Scale,9280399.0,1_300ms.wav,11_300ms.wav,1
Rating Scale,9280399.0,5_300ms.wav,17_300ms.wav,1
Rating Scale,9280399.0,25_300ms.wav,26_300ms.wav,1
Rating Scale,9280399.0,1_300ms.wav,5_300ms.wav,1
Rating Scale,9280399.0,26_300ms.wav,5_300ms.wav,1
Rating Scale,9280399.0,24_300ms.wav,17_300ms.wav,1
Rating Scale,9280399.0,24_300ms.wav,26_300ms.wav,1
Rating Scale,9280399.0,1_300ms.wav,18_300ms.wav,1
Rating Scale,9280399.0,11_300ms.wav,24_300ms.wav,1
Rating Scale,9280399.0,25_300ms.wav,1_300ms.wav,1
Rating Scale,9280399.0,17_300ms.wav,26_300ms.wav,1
Rating Scale,9280399.0,8_300ms.wav,24_300ms.wav,1
Rating Scale,9280399.0,26_300ms.wav,18_300ms.wav,1
Rating Scale,9280399.0,25_300ms.wav,11_300ms.wav,1
Rating Scale,9280399.0,26_300ms.wav,1_300ms.wav,1
Rating Scale,9280399.0,11_300ms.wav,18_300ms.wav,1
Rating Scale,9280399.0,25_300ms.wav,24_300ms.wav,1
Rating Scale,9280399.0,17_300ms.wav,18_300ms.wav,1
Rating Scale,9280399.0,17_300ms.wav,11_300ms.wav,1
Rating Scale,9280399.0,17_300ms.wav,8_300ms.wav,1
Rating Scale,9280399.0,8_300ms.wav,26_300ms.wav,1
Rating Scale,9280399.0,25_300ms.wav,8_300ms.wav,1
Rating Scale,9280399.0,8_300ms.wav,18_300ms.wav,0
Rating Scale,9280399.0,26_300ms.wav,11_300ms.wav,0
Rating Scale,9280399.0,18_300ms.wav,25_300ms.wav,0
Rating Scale,9280399.0,11_300ms.wav,8_300ms.wav,0
Rating Scale,9280417.0,8_300ms.wav,11_300ms.wav,6
Rating Scale,9280417.0,18_300ms.wav,26_300ms.wav,3
Rating Scale,9280417.0,1_300ms.wav,24_300ms.wav,3
Rating Scale,9280417.0,26_300ms.wav,24_300ms.wav,4
Rating Scale,9280417.0,11_300ms.wav,26_300ms.wav,3
Rating Scale,9280417.0,25_300ms.wav,26_300ms.wav,3
Rating Scale,9280417.0,17_300ms.wav,8_300ms.wav,2
Rating Scale,9280417.0,25_300ms.wav,8_300ms.wav,3
Rating Scale,9280417.0,8_300ms.wav,5_300ms.wav,2
Rating Scale,9280417.0,1_300ms.wav,17_300ms.wav,3
Rating Scale,9280417.0,1_300ms.wav,18_300ms.wav,3
Rating Scale,9280417.0,5_300ms.wav,24_300ms.wav,4
Rating Scale,9280417.0,26_300ms.wav,17_300ms.wav,3
Rating Scale,9280417.0,8_300ms.wav,18_300ms.wav,3
Rating Scale,9280417.0,18_300ms.wav,5_300ms.wav,2
Rating Scale,9280417.0,11_300ms.wav,24_300ms.wav,2
